qstr_Next_Page|다음 페이지
qstr__{s64}_tries_to_calm| {s64}은(는) 주민들을 진정시키려 했지만, 소용이 없었습니다. 몇몇의 주민들은 경제적 격변에 거리에서 난동을!
qstr__{s64}_tells_the_Kni| {s64}은(는) 새벽의 기사단에게 당신의 명령을 말합니다. 그리고 그들은 결코 기뻐하지 않습니다.
qstr_Astraea_Zealots!|아스트레이아 광신자들!
qstr_Zealots!|Zealots!
qstr__{s64}_rejoices_at_y| {s64}은(는) 당신의 결정에 크게 기뻐합니다. 지역 농부들은 당신의 이름을 칭송합니다.
qstr__{s64}_happily_order| {s64}은(는) 기뻐하며 작은 성지건설을 명령합니다.
qstr__{s64}_orders_that_the_| {s64}은(는) 유노미아 여신들의 성지 건설을 명령합니다.
qstr__The_Knights_of_the_| 새벽의 기사단은 그들의 성지인 아스트라이어의 성지건설이 아닌, 이 지역의 다른 작은 성지들을 파괴하는것에 매우 기뻐합니다
qstr__The_shrine_is_built| 성지가 건설되었지만, 추종자들은 거의 없습니다.
qstr__{s64}_oversees_the_| {s64}은(는) 성지 건설을 감독하고 있습니다. 하지만, 완공되고 얼마 지나지 않아 약탈과 훼손이 발생할 것입니다. 사람들은 방문하기를 꺼려합니다.
qstr__{s64}_tries_to_calm_| {s64}은(는) 주민들을 진정시키려 했지만, 소용이 없었습니다. 몇몇의 주민들이 경제적 격변에 거리에서 난동을 부림!
qstr__{s64}_infoms_the_Kn| {s64}은(는) 새벽의 기사단에게 그들의 성지 건설을 시작하라고 알립니다. 그들이 다른 성지를 파괴하려 할 때, 광범위한 저항이 발생!
qstr__Zealots_take_arms_a| 광신도들이 당신에게 적대감을 표시하며 무기를 들었습니다!
qstr__{s64}_succeeds_in_s| {s64}은(는) 순례자들을 쫓아 보내는데 성공합니다.
qstr__{s64}_is_unable_to_de| {s64}은(는) 순례자들을 잘 다루지 못합니다. 그런 부당한 대우들은 일반 주민들을 불행하게 합니다.
qstr__{s64}_sends_for_the| {s64}은(는) 심각한 병에 걸린 사람들을 위해 광휘의 기사단의 의사를 서둘러 보냈습니다. 지역 주민들은 당신의 행동에 행복해 합니다.
qstr__{s64}_is_unable_to_e| {s64}은(는) 광휘의 기사단에 도움을 요청할 수 없었습니다. {s54}의 주민들은 행복하지 못합니다.
qstr__{s64}_manages_to_fi| {s64}은(는) 심각한 병에 걸린 사람들을 위해 가까스로 힐러들을 찾았고, 서둘라서 병을 치료했습니다. 지역 주민들은 당신의 행동에 행복해 합니다.
qstr__{s64}_is_unable_to_en| {s64}은(는) 어떤 치유사에게도 도움을 요청하지 못했고, {s54}의 주민들은 행복하지 못합니다.
qstr__{s64}_repents_and_m| {s64}은(는) 후회를 하고, 심각한 병에 걸린 사람들을 치료해 줄 약초상들과 다른 치유사들을 찾을 수 있었습니다. 지역 주민들은 당신의 행동에 행복해 합니다.
qstr__{s64}_prays_for_rep| {s64}은(는) 신에게 회개의 기도를 합습니다만 결과적으로, 많은 주민들이 병으로 고통받았습니다. {s54}의 주민들은 행복하지 못합니다.
qstr__{s64}_somehow_manages_t| {s64}은(는) 어떻게든 심각한 병에 걸린 사람들을 치료해 줄 약초상들과 다른 치유사들을 찾을 수 있었습니다.
qstr__{s64}_has_no_idea_w| {s64}은(는) 어떻게 해야 할지 아무런 생각도 나지 않았습니다. 결과적으로, 많은 주민들이 병으로 고통받았습니다. {s54}의 주민들은 행복하지 못합니다.
qstr_Mettenheim_Plunderer|메텐하임 약탈자들
qstr_Veccavi_Hunters|베카비안 사냥꾼들
qstr_Jatu_Mercenary_Raide|자투 용병 습격자들
qstr_Mercenary_War_Band|용병 전쟁부대
qstr_Barclay_Mercenary_Ad|바클레이 용병 모험가들
qstr_Melitine_Mercenary_A|멜리틴 용병 모험가들
qstr_Singalian_Mercenary_|싱갈족 용병 노예상들
qstr__{s64}_informs_the_M| 그 용병단은 이동중이라고 {s64}이(가) 알립니다.
qstr__{s64}_informs_the_Me| 그 용병단은 곧 떠나려 한다고 {s64}이(가) 알랍니다.
qstr__Your_generosity_att| 당신의 관대함은 추가적인 용병들이 당신의 편으로 끌어들였습니다.
qstr_{s14}|{s14}
qstr__The_{s20}_is_offend| {s20}은(는) 불쾌해 합니다!
qstr__The_Mercenary_compa| {s54}에서 용병단은 당신의 군세에 합류합니다.
qstr__{s64}_found_the_thi| {s64}은(는) 도둑을 찾았습니다. 그는 어쩔수 없는 상황에서 도둑질을 했기에 주민들은 당신이 그의 죄를 가볍게 다뤄주기를 원합니다.
qstr__{s64}_fails_to_find_t| {s64}은(는) 범인을 찾는데 실패했습니다. 시민들이 그 실패에 대해서 투덜거립니다.
qstr__{s64}_improves_the_| {s64}은(는) 정찰을 강화하여 이런 종류의 추가적으로 발생하지 않도록 막아, 주민들이 안전하다고 느끼도록 합니다.
qstr__{s64}_manages_to_se| {s64}은(는) 많은 집들을 수색해서 가까스로 도둑을 찾아냈습니다. 그것은 짧지만 공정한 시도였습니다. 주민들은 안도감을 느낍니다.
qstr__{s64}_fails_to_find_th| {s64}은(는) 범인을 찾는데 실패했고, 수색에 참여한 많은 주민들을 속상하게 했습니다.
qstr__{s64}_puts_out_the_| {s64}은(는) 포상을 하기로 했고, 도둑은 발견되어 바로 처형되었습니다. 주민들은 감사해합니다.
qstr__Even_with_the_200_d| 200 디나르를 포상으로 내걸었음에도 불구하고, 도둑은 어디에서도 찾을수 없었습니다. {s64}은 범인을 찾는데 실패했습니다. 시민들이 그 실패에 대해서 투덜거립니다.
qstr__{s64}_is_able_to_en| {s64}은(는) 수리가 가능하다며 2,500 디나르의 도움을 요청했습니다.
qstr__{s64}_obtains_the_s| {s64}은(는) 건설중인 벽이 그들에게로 떨어질 때, 두 작업원이 죽었다고 합니다.
qstr__{s64}_is_somehow_ab| {s64}은(는) 자신의 기계공 기술로 어떻게든 수리해낼 수 있다고 합니다.
qstr__{s64}_understands_y| {s64}은(는) 당신의 상황을 이해한다고 하며, 수리는 아직 끝나지 않았다고 합니다.
qstr__{s64}_spreads_the_d| {s64}은(는) 당신의 부대에 디나르를 좀 뿌린다면, 탈영병이 발생하지 않을것이라고 합니다.
qstr__{s64}_somehow_manages_to| {s64}은(는) 말이 잘 나오지 않아, 당신의 부대에게 혼동스런 명령을 해버렸습니다. 이 일은 조금 불행한 결과입니다.
qstr__{s64}_spreads_the_w| {s64}은(는) 소문을 퍼트렸고, 모든 탈영병들이 이 지역에서 도망쳤습니다. 좋은 소식은 당신이 1 디나르조차 지불할 필요가 없다는 것이지요!
qstr__{s64}_passes_along_| {s64}은(는) 당신의 정보를 널리 퍼트렸고, 운명은 휴식을 선사합니다.
qstr__{s64}_informs_you_t| {s64}은(는) 성문 밖에 탈영병들이 있다고 알립니다!
qstr_Brigand_Deserters!|탈영한 강도들!
qstr__{s64}_somehow_manages_to_| {s64}은(는) 2,000 디나르로 어떻게든 상인 대표를 납득시켰습니다. 그 무역로가 설치되었고, 번영에 큰 보너스가 되는 위업이 되었습니다.
qstr__{s64}_reports_that_t| {s64}은(는) 상인 대표가 당신의 제안을 비웃으며 바로 떠나버렸다고 보고합니다.
qstr__{s64}_sets_up_the_n| {s64}은(는) 무역로 설치에 필요한 형태로 문서를 준비하고 접촉을 가졌습니다. 그것은 {s54}의 번영에 큰 보너스가 되었습니다.
qstr__Somehow_{s64}_has_m| 어쨌든 {s64}은(는) 상인 대표를 모욕하게 되었고, 그들은 화가나서 씩씩거리며 떠나버렸습니다. 무역로는 설치되지 못 했습니다.
qstr__The_trade_delegatio| 상인 대표는 즉시 떠났습니다.
qstr_Obliterated|말소됨
qstr_Destroyed|파괴됨
qstr_Crushed|진압됨
qstr_Fading|희미해져감
qstr_Weakened|약세
qstr_Healthy|상당함
qstr_Strong|강성함
qstr_Overwhelming|압도적
qstr_Invincible|천하무적
qstr_Nothing_as_there_is_|더 이상 존재하는 기사단이 없습니다.
qstr_{s8}_from_{s7}.|{s7} -> {s8}
qstr_{s6}_from_{s8}.|{s8} -> {s6}
qstr__I_promise_that_your|너의 패배가 영광스러울거라 약속하지!
qstr__Then_let_us_test_ou|전투로 우리의 힘을 시험해보자!
qstr__To_Arms!| To Arms!
qstr___Very_well:_Let_us_|좋아, 모두 전투에 임하라!
qstr__You_don_t_look_all_|내 눈엔 별로 강해 보이지 않는구나!
qstr__If_we_must_let_us_d|그래야만 한다면, 우린 영광스럽게 죽을것이다!
qstr__You_will_join_your_|네놈은 곧 조상과 함께할 것이다!
qstr__You_don_t_look_part|네놈은 별로 위협적으로 보이지 않는구나.
qstr__Better_to_die_in_ba|네놈처럼 구더기같이 사느니 전장에서 죽겠다.
qstr__I_ve_seen_more_frig|난 사창가에서 너보다 끔찍한 광경들을 봐왔지.
qstr__If_I_were_afraid_of|너 같은 놈들을 두려워 하느니, 차라리 내 스스로 머리에 칼을 꽂겠다.
qstr__Make_peace_with_you|할 수 있을 때, 신께 기도나 드리시지.
qstr__Do_you_really_think|넌 우리가 두려워 할거라 생각하나? 하!
qstr__I_hope_Hell_has_eno|지옥에 네놈과 네 조상에게 충분한 자리가 있길 바란다.
qstr__If_you_think_you_ca|네놈이 이 전투에서 이길 수 있다고 생각한다면, 네놈 등에 화살이 얼마 없는 것도 모르는 것이다.
qstr__You_intend_to_fight|네가 나한테 싸움을 걸겠다고? 뭐야, 술에 취한 건가 아니면 그냥 바보인건가?
qstr__You!__Stand_aside_m|네 이놈! 수도사들 옆에 서서 제대로 된 예의나 보여라!
qstr__I_challenge_you_war|내가 너에게 전사로서 도전하겠다! 무기로써 명예를 증명하라, 아니면 죽음을 준비해라!
qstr__Hail_and_well_met!_|만세, 잘 만났다. 이놈! 너의 긴 여정이 준비되었다. 바로 다음생으로의 여정!
qstr__Ah_good!__Just_in_t|좋아! 내 무기를 시험해볼 때로군!
qstr__Have_at_thee_knave!|싸우자, 악당아!
qstr__It_s_been_a_boring_|오늘은 지루한 하루였어. 그러니 너와 싸워 지루함을 달랠거야.
qstr__Challenge_me_will_y|내게 도전한다고? 널 도륙내서 간을 씹어먹을테다, 멍청한 놈.
qstr__You_look_a_bit_lost|정신이 나갔구나. 네 창조주를 찾도록 조금 도와줄까? 당장 해주지, 얼간아!
qstr__More_Blood!| More Blood!
qstr_no_tidbits_of_value|가치있는 토막 소식도 없어요
qstr_no_information_of_in|그다지 쓸만한 정보는 없어요
qstr_no_interesting_news|흥미로운 소식이 없어요
qstr_no_new_rumors_to_rep|알릴만한 새로운 뜬 소문이 없어요
qstr_no_new_information|새로운 정보가 없어요
qstr_very_little_worth_re|쓰잘데기없는 이야기 밖에 들은바가 없어요
qstr_nothing_but_worthles|가치없는 소문과, 어부의 부인에 관한 이야기 같은 쓸모없는 것 밖에 없었어요
qstr_nothing_but_innuendo|쓸모없는 이야기 밖에 없었어요
qstr_no_news_worth_repeat|반복할 가치도 없는 소식 밖에 없었어요
qstr__My_{reg63?Captain:L|{reg63?부대장님:아가씨},
qstr__Business_has_been_b|종업에 매진하느라
qstr__Well_in_truth_{play|사실 말이죠 {playername}님,
qstr__Hmmm_{playername}._|음... {playername}님, 이야기거리가 떨어졌군요.
qstr__My_good_{playername|{playername}님, 최근에 매우 바빴습니다.
qstr__I_am_sorry_{playern|죄송합니다. {playername}님,
qstr_._Try_next_week.|. 다음에 다시 물어봐 주세요.
qstr_._Perhaps_you_should|. 한번 다른 사람에게 물어보세요.
qstr_._You_might_have_bet|. 다른 사람에게 물어보면 뭔가 나오겠지요.
qstr_._Ask_me_later_say_i|. 다음에 물어보세요, 4일이나 7일이 지난 후에.
qstr_._I_am_sure_there_ar|. 다른이들이 당신이 찾는 정보를 가지고 있다고 확신해요.
qstr_._Perhaps_later_I_wi|. 다음에 만날때까지, 좀 더 흥미로운 정보를 모으도록 하지요.
qstr_._Come_back_another_|. 다른 시간에 다시 와주세요.
qstr_.|.
qstr__{s2}_I_have_heard_{| {s2} 이런저런 이야기를 들었지만, {s5}{s6}
qstr__{s2}_there_have_bee| {s2} 최근에는 {s5}{s6}
qstr__{s2}_I_have_to_say_| {s2} 저는 {s5}{s6}
qstr__{s2}_few_people_hav| {s2} 저는 몇몇 사람들이 이야기하는 것을 들었는데, {s5}{s6}
qstr__{s2}_I_have_been_il| {s2} 며칠간 몸이 아파서 쉬었거든요. {s5}{s6}
qstr__{s2}_I_have_been_bu| {s2} 전 뱃짐을 옮기느라 바빠서 {s5}{s6}
qstr__{s2}_I_haven_t_had_| {s2} 시간이 없어 그런걸 듣지 못 했어요, 불행히도 손님을 위한 {s5}{s6}
qstr__{s2}_I_have_been_bus| {s2} 저와 조수들은 바빴어요. 그래서 당신에게 알려주기에 {s5}{s6}
qstr__Ah!_It_is_unfortuna| 아! 죄송하게 되었습니다, {reg63?나리:아가씨}.
qstr__More_is_the_pity_go| 안타깝게도, {reg63?나리:부인}.
qstr__I_have_been_idle_to| 한 동안 일을 쉬었습니다.
qstr__I_have_been_busy_wi| 저는 개인적인 최근의 문제로 바빴었습니다. 그리고
qstr__My_ears_and_eyes_ha| 제 눈과 귀는 항상 열려 있습니다. 하지만
qstr__I_am_sorry| 죄송합니다.
qstr_no_information_of_va|그다지 가치있는 정보가 없군요.
qstr_very_little_interest|아주 조금 흥미로운 소식
qstr_no_valuable_news|그다지 가치있는 이야기가 없군요.
qstr_only_worthless_whisp|가치없는 소곤거림 밖에 없어요.
qstr_nothing_but_the_chan|날씨의 변화나, 취해서 부르는 노랫말 같이 별 것 아닌 정보 밖에 없군요.
qstr_only_unconfirmed_whi|가치없는 헛소문만 들었습니다.
qstr_only_unsubstantiated| 근거없는 소문 밖에 없어요.
qstr_._I_am_sorry_my_frie| 이 세상에서 일어나는 모든 일들을 바로 전해들을 수는 없는 법이지요.
qstr_._These_things_happe| 며칠 뒤에는 그럴듯한 소문이 들려오겠지요.
qstr_._That_will_change_h| 언제나 그렇듯 굉장한 소문도 들을 수 있게 될 겁니다. 나중을 기대하세요.
qstr_.__If_you_are_in_a_h| 뭔가 듣고 싶다면 상인들이나 관리들에게 말을 걸어보세요.
qstr_._Never_fear_my_ear_| 걱정마세요. 제 귀는 언제나 열려있으니, 곧 무언가를 들을 수 있을겁니다. 결국 이게 제 일이니까요!
qstr_._Let_me_snoop_about| 제가 염탐하거나 정보를 캐고 다닐 시간을 주십시오. 좀 더 정보를 모아서 며칠 뒤에 알려드리겠습니다.
qstr_._Perhaps_you_should_| 다른날 다시 찾아와 주세요. 세상에 술과 음유시인들이 있는한 소문은 언제나 돌고 돌기 마련입니다.
qstr__{s2}_I_have_to_admi| {s2} 지금은 {s5}{s6}
qstr__{s2}_so_few_people_| {s2} 이번에는 소문이 별로 돌지 않았습니다. {s5}{s6}
qstr__{s2}_I_have_encount| {s2} 최근에 몇몇 사람들을 만나봤습니다. {s5}{s6}
qstr__{s2}_I_have_been_en| {s2} 최근 비밀스런 임무를 맡아서 {s5}{s6}
qstr__{s2}_I_wish_I_had_b| {s2} 당신을 위한 좀 더 나은 소식을 가지고 있기를 바랍니다만, 운명이 허락치 않는군요, 전 {s5}{s6}
qstr__{s2}_I_have_been_oc| {s2} 제 사업이 너무 바빠서 들은게 별로 없습니다. {s5}{s6}
qstr__Ah!_It_is_an_unluck| 이번은 재수가 더럽게도 없었습니다.
qstr__Sad_tales_good_{reg| 안타깝게도,
qstr__I_have_been_too_bus| 고기 장사를 하느라 바빴습니다. 그리고
qstr__My_ears_are_open_bu| 제 귀는 열려있습니다만
qstr_so_little_coherent_i|가치있는 정보들은 거의 없군요.
qstr_no_gossip_of_interes|흥미로운 소문은 없습니다.
qstr_very_little_interesti|전해주기에는 사소한 소문들 밖에 없습니다.
qstr_only_worthless_slave|그저 쓸모없는 노예 이야기 밖에 없네요.
qstr_nothing_but_the_crie| 전쟁이 만든 미망인들의 흐느낌과 노예들 소식 밖에는 들은 것이 없군요.
qstr_only_the_wild_tales_| 금방 잊혀질 사소한 이야기 밖에 없습니다.
qstr_only_minor_gossip_an| 쓰잘데기 없는 소문이나 이 끝없는 전쟁에 관한 이야기 밖에 없군요.
qstr_._I_am_sorry_my_prof| 죄송합니다. 제 일은 거리낌 없이 노예를 만드는 것 뿐이니까요. 그들의 사연은 알 바 아닙니다.
qstr_._Information_like_w| 쓸만한 정보를 찾는거라면 다음 주 쯤이나 되서 들어올 겁니다.
qstr_._Pity_too_as_I_coul| 안타깝네요. 아시다시피 전 정신을 일 깨우려고 재미있는 소문을 이용하긴 하는데요.
qstr_._If_you_are_in_a_hu| 급하면 상인들에게 물어보시거나 다른 선술집을 찾아가 보세요.
qstr_._If_you_want_to_kno| 쓸만한 이야기를 듣고 싶으면 선술집에서 방황하는 정보원들을 찾아보십시오. 
qstr_._Those_guild_rats_n| 길드의 쥐새끼들은 갤리선 노잡이 노예들에나 관심이 있지 아무것도 이야기 해주지 않는다니까요!
qstr_._Hell_I_am_bound_to| 다음주 쯤에 찾아오면 아마 괜찮은 소식 한두개 쯤은 건질 수 있을겁니다.
qstr_._Perhaps_you_should_c| 다음주에 다시 방문해 주세요.
qstr__{s2}_I_must_tell_yo| {s2} 제가 말씀드리고자 하는건 말이죠, {s5}{s6}
qstr__{s2}_so_few_people_h| {s2} 최근 귀동냥에 관해 말씀드리죠. {s5}{s6}
qstr__{s2}_I_have_encounte| {s2} 최근에 노예상 일로 너무 바빴습니다. 그래서 지금은 {s5}{s6}
qstr__{s2}_I_have_been_sp| {s2} 길드 마스터를 방문 했었습니다. {s5} {s6}
qstr__{s2}_I_wish_that_my| {s2} 지금 쓸만한 소식이 없군요. {s5}{s6}
qstr__{s2}_I_have_been_ov| {s2} 혹사당한 노예들이 도망쳐 버렸지요. {s5} {s6}
qstr_no_news|소식 없음
qstr_only_worthless_infor| 가치없는 정보에 지나지 않습니다.
qstr_nothing_but_soldiers| 단지 병사들의 잡담과 요리에 관한 소문입니다.
qstr_unsubstantiated_goss| 근거 없는 소문입니다.
qstr__My_{reg63?Lord:Lady| {reg63?나리:아가씨},
qstr__Castle_business_is_| 관리할 일이 너무 많이 들어오고 있습니다.
qstr__Of_course_good_{reg| 물론 좋습니다. 선량한 {reg63?나리:아가씨},
qstr__My_sources_are_mute| 제 정보원으로부터 별 말 없었습니다.
qstr_._I_am_sorry_{reg63?| 죄송합니다 {reg63?나리:아가씨}, 다음에는 더 잘 듣도록 노력하겠습니다.
qstr_._Perhaps_you_should_a| 다른 사람에게 물어보는게 좋겠군요. 첩자 같은?
qstr_._Have_you_tried_see| 선술집에서 정보를 수집해 보셨습니까?
qstr_._Have_you_thought_o| 상인과 접촉해보시는것이 좋을거 같군요, 그들은 다양한 종류의 여행자들과 만날 기회가 많아, 많은 소문과 소식거리를 알고 있을 것입니다.
qstr_._I_am_sure_that_the| 나는 그들이 당신이 찾고 있는 정보를 가지고 있다고 확신합니다.
qstr_._I_am_not_a_rumor_m| 저는 뜬소문을 퍼트리는 사람이 아닙니다 {reg63?나리:아가씨}, 그래서 저는 소문에 신경쓰질 않습니다.
qstr_._Perhaps_you_should_co| 당신은 다른 때에 다시 와야 겠군요. 이 홀 안에서 우연히 듣게 되는 사실이 있다는걸 누군가는 절대 모르지요.
qstr__{s2}_few_people_have| {s2} 몇 몇 사람들은 소문을 들었습니다. 전 {s5}{s6}를 들었습니다
qstr__{s2}_I_have_been_busy| {s2} 전 성에서 바쁘게 지냈습니다. 그래서 {s5}{s6}를 들었습니다
qstr__{s2}_I_have_not_had| {s2} 난 한가하게 남의 소문이나 듣는 사람이 아닙니다. 그래서 저는 당신을 위해 {s5}를 준비했습니다 {s6}
qstr__{s2}_I_wish_I_had_be| {s2} 좋은 소식을 전해드리고 싶습니다만, 안타깝게도 제게는 {s5} {s6}
qstr__{s2}_I_have_been_busy_| {s2} 나는 접대, 요리, 청소로 매우 바빴습니다, 그래서 난 {s5} {s6}
qstr__a_little_something| 작은 이야기
qstr__a_rumor| 소문
qstr__an_interesting_tale| 흥미로운 이야기
qstr__something_of_intere| 구미가 당기는 이야기
qstr__some_dark_whispers| 사악한 이야기
qstr__a_piece_of_informat| 괜찮은 이야기
qstr__a_newsworthy_story| 화제가 될만한 이야기
qstr__some_troubling_news| 약간 곤란한 정보
qstr__some_worthwhile_inf| 가치있는 정보
qstr__a_story| 이야기
qstr__Ah_yes!__I_do_know{|아 예! 저는 당신의 관심을 끄는{s9}를 알고 있습니다.
qstr__I_m_glad_you_asked_|물어봐 주셔서 기쁘네요, {playername} {reg63?나리:아가씨}.
qstr__As_a_matter_of_fact|{s9}가 하나 들어오긴 했습니다.
qstr__Funny_you_should_as|마침 물어보시니 재밌네요.
qstr__Hmm.._yes!__I_did_h|흠... 아! 최근에{s9}를 들었습니다.
qstr__Ha!__Yes_I_did_run_|하! 예, 저는 당신이 찾고있는{s9}를 가지고 있습니다.
qstr__Well_yes_I_have_bee|음, 맞아요. 당신에게 말해줄{s9}가 있습니다.
qstr__{s2}_I_have_been_so|{s2} 이 뱃짐들로 너무 바빴더니 거의 잊을 뻔 했네요!
qstr__{s2}_Almost_slipped|{s2} 거의 까먹을뻔 했네요!
qstr__{s2}_Terrible_it_is|{s2} 끔찍해요 그게, 제가 하려는 말이! 이건 듣는 사람마다 밤잠을 설치게 하죠!
qstr__{s2}_A_sad_state_of|{s2} 슬픈 이야기이기도 하죠.
qstr__{s2}_Gives_me_the_c|{s2} 그건 나를 공포에 떨게 하죠. 제 등골이 오싹해 진다니까요!
qstr__{s2}_Nasty_bit_of_b|{s2} 약간 성가신 이야기이기도 하죠.
qstr__{s2}_Makes_me_wonde|{s2} 주변 사람들이 알고 있는지에 대해 의문이 드는 것이죠.
qstr__{s2}_It_makes_me_gl|{s2} 이 성벽 안에서 안전하게 말 할 수 있어 기쁘네요!
qstr__{s2}_May_the_fates_|{s2} 운명이 우리를 지켜주기를, {reg63?나리:아가씨}.
qstr__Ah!_Well_met.| 아! 잘 만났습니다.
qstr__Well_met_Captain.| 잘 만났습니다.
qstr__Ah!_I_am_glad_you_a| 아! 잘 물어보셨습니다.
qstr__Well_my_{reg63?Lord| 좋습니다, {reg63?나리:아가씨}, 전 운명의 여신이 당신 편이라 믿습니다.
qstr__Please_keep_your_vo| 목소리를 낮추세요.
qstr__Please_sit_down_wit| 여기 앉으세요, {reg63?나리:아가씨}.
qstr__My_{reg63?lord:Lady| 목소리를 줄이세요 {reg63?나리:아가씨}, 정보가 힘인데, 듣는 이가 많습니다.
qstr__Well_met_my_{reg63?| 잘 맞났습니다, {reg63?나리:아가씨} {playername}.
qstr__{reg63?Lord:Lady}_{| {reg63?나리:아가씨} {playername}, 딱 좋은 시간에 찾아왔군요.
qstr__Ah_yes.__You_have_c| 아 그래. 딱 좋은 시기에 오셨군요.
qstr__{s10}__I_have{s9}_f| {s10} 당신에게 전해줄 {s9}이(가) 있습니다.
qstr__{s10}__I_was_told{s| {s10} 당신을 신뢰하니 {s9}을(를) 들려드리죠.
qstr__{s10}__I_trust_you_| {s10} 다른 사람에게 떠벌리고 다니지 않겠다고 약속한다면, {s9}을(를) 들려드리죠.
qstr__{s10}_I_do_indeed_h| {s10} 당신에게 들려줄 {s9}이(가) 있습니다.
qstr__{s10}__I_was_privy_| {s10} 이 {s9}를 들려드리죠.
qstr__{s10}__I_did_run_ac| {s10} 당신에게 들려줄 {s9}을(를) 가져왔습니다. 
qstr__{s10}__Well{s9}_was| {s10} {s9}이(가) 있습니다.
qstr__{s2}_It_is_a_good_t| {s2} 이런일들을 잡아낼 수 있다니, 제 귀가 참 쓸만하다고 볼 수 있지요.
qstr__{s2}_Very_interesti| {s2} 매우 흥미로운 소식입니다. 반드시 말해야 겠습니다!
qstr__{s2}_I_hope_you_use| {s2} 당신이 이 정보를 잘 쓰길 바랍니다.
qstr__{s2}_Important_info| {s2} 와인같이 중요한 정보입니다. 쉽게 흐르지 않는 일이죠. 
qstr__{s2}_Come_sit_down_| {s2} 이리와서 앉으시죠 그리고 내 자세한 이야기를 해드리죠.
qstr__{s2}_It_never_cease| {s2} 사람들이 아는 것이나 공유하고 싶은 것들은 모두 저를 통해 흐르지요.
qstr__{s2}_I_know_you_wil| {s2} 적어도 당신에게 약간이라도 유용할거라 믿습니다.
qstr__{s2}_Perhaps_I_will| {s2} 아마 여기에 좀 오래 머무를 것 같습니다, 여행이 더 위험할수록 말이죠.
qstr__{s2}_Please_use_wha| {s2} 잘 듣고 잘 사용하시기 바랍니다. 
qstr__a_little_morsel| 작은 이야기
qstr__a_nasty_little_rumo| 불쾌한 소문
qstr__an_interesting_yarn| 흥미로운 이야기
qstr__a_tidbit_of_interes| 맛깔나는 이야기
qstr__a_whisper_of_inform| 은밀한 정보
qstr__a_second_hand_story| 건너들은 이야기
qstr__some_secret_gossip| 비밀스런 소문
qstr__Ah!_Hello_Captain.| 아! 안녕하십니까.
qstr__Aye.._that_I_have.| 있어요.
qstr__You_are_in_luck.| 운이 좋군요.
qstr__Yes_my_{reg63?Lord:| {reg63?나리:아가씨}, 들어보세요.
qstr__Please_keep_your_voi| 쉿, 속삭이듯 말하세요.
qstr__Aye_I_have_an_ear_a| 예, 괜찮은 이야기를 들은게 하나 있죠.
qstr__My_{reg63?lord:Lady}| 목숨이 중요하다 생각되면 속삭이듯 말하십시오, {reg63?나리:아가씨}.
qstr__Well_met_my_{reg63?l| 반갑습니다. {playername} {reg63?나리:아가씨}. 만약 길드가 내가 정보를 팔고 있다는걸 안다면, 우리 둘 다 위험해 질 겁니다.
qstr__{reg63?Lord:Lady}_{p| {reg63?나리:아가씨} {playername} 당신은 운이 좋군요.
qstr__Preserve_me_from_sh| 속박에서 날 구해주십쇼, 그리고 축복해주세요, 난 당신이 원하는걸 갖고 있습니다.
qstr__{s10}__I_was_told{s9| {s10} 저는 이 {s9}에 관해 전 신뢰를 지키겠다고 약속했었습니다.
qstr__{s10}__Yes_this_mus| {s10} 이건 꼭 비밀로 지켜주셔야 합니다. {s9}을(를) 들을 수 있었지요.
qstr__{s10}__I_was_fortun| {s10} 이 정보가 제게 들어와서 정말 기쁘군요. {s9}입니다.
qstr__{s10}__I_was_in_the| {s10} 소문은 잘 듣는것도 중요하지만 적당한 장소에서 작당한 시간에 맞춰 듣는것도 중요하죠. 저는 {s9}를 들을 수 있었습니다. 
qstr__{s10}__I_did_come_a| {s10} 저는 {s9}를 들을 수 있었습니다. 아마 당신에게 쓸만한 정보가 될겁니다.
qstr__{s10}__Well{s9}_was_| {s10} 좋아요. {s9}를 들었습니다.
qstr__{s2}_I_meet_all_sor| {s2} 전 온갖 종류의 노역꾼들을 만나 봤습니다. 그네들 대부분은 무엇이든 말하고 싶어 안달난 사람 같다니까요.
qstr__{s2}_I_hope_that_th| {s2} 전 이 정보가 당신에게 들을만한 가치가 있으면 좋겠습니다.
qstr__{s2}_This_is_someth| {s2} 이건 제 동료들도 듣길 원하는 정보입니다.
qstr__{s2}_I_am_glad_that| {s2} 전 당신이 조심성 있게 말해서 좋습니다. 보이는게 전부는 아니죠.
qstr__{s2}_I_put_myself_i| {s2} 이걸 다른사람들에게 말하고 다니는건 꽤 위험한 짓이긴 한데, 돈보다 중요한게 또 어디있겠습니까. 
qstr__{s2}_Let_us_keep_th| {s2} 이 얘기는 우리 끼리 만 알도록 합시다, 어떠신가요?
qstr__{s2}_By_the_way_be_| {s2} 그건 그렇고, 조심하십쇼. 최근 길드가 당신의 활동에 대해 물어보기 시작했습니다.
qstr__{s2}_I_must_make_a_| {s2} 이 정보는 제가 보고서를 작성해서 길드에 보내야 합니다만, 먼저 알려드리죠.
qstr__{s2}_Please_tell_no| {s2} 아무에게도 말하지 마세요. 우리 길드는 개인적으로 정보를 팔고 뒷돈 챙기는 것을 싫어하거든요.
qstr__a_little_rumor| 작은 소문
qstr__a_tale| 이야기
qstr__a_sliver_of_informa| 귀중한 정보
qstr__some_gossip| 이야기거리
