xstr_no_string|NO STRING!
str_comment_intro_female_noble_liege|남자들을 전투에 몰아넣는 여자를 만나는 건 흔한 일은 아니오. 하지만 지금은 암울하고 파란만장한 시대이고, 나는 검을 쥔 이 두 손을 뒤로 물리지 않을 것이오, 이 손의 주인은 용감한 왕께 충성을 다해야 하겠지.
str_comment_intro_female_noble_martial|나는 당신의 깃발을 전에 본적이 없군. 그러나 당신은 귀족 아가씨가 분명하군요. 부디 저를 기억해 두시오.
str_comment_intro_female_noble_badtempered|나는 당신의 깃발을 전에 본적이 없어. 우리 땅에 들어온 또 다른 이방인이 틀림없군, 길을 잘못 들어서 이 땅에 왔나 보지?
str_comment_intro_female_noble_pitiless|난 당신이 귀족의 문장이 새겨진 깃발을 가진 것을 알고 있지만, 처음보는 것이로군. 여편네, 이건 알아두시오, 펜도르에서 전쟁을 이끄는건 남자들이고, 당신이 이 당연한 이치을 뒤집어 엎으려 한다면, 당신의 머리가 통째로 창에 박혀있는걸 보게 될거야! 다른 반란군들의 머리와 마찬가지로 말이지!
str_comment_intro_female_noble_cunning|여자가 펜도르의 전장에서 기회를 노리고 있다는 얘기는 들어본 적도 없고, 흔한 일도 아니지. 나는 당신의 성공에 대해 관심이 많소.
str_comment_intro_female_noble_sadistic|당신은 귀족 계급으로 보이는군, 하지만 그 깃발을 알아보지는 못하겠네. 확실히, 우리 해안에 온 또 다른 이방인이 분명해. 여자들이 말을 타고 전쟁에 참가할 정도로 나약한 남자들이 사는 땅에서 왔을 거라는 건 의심한 필요도 없겠군!
str_comment_intro_female_noble_goodnatured|당신이 귀족 문장 깃발을 가진 것을 봤다오, 그러나 문장을 알아볼 수는 없었네. 나의 무지를 용서해주게, 아가씨! 서로 안면을 터 둘 좋은 기회이군.
str_comment_intro_female_noble_upstanding|여자가 전쟁에 나타나는건 매일 있는 일이 아니지. 실수하지 마시오, 아가씨, 당신은 스스로를 보호하기 위한 모든 권리가 있지만, 난 당신이 전투에 나서기로 한 결정에 대해 마음 편한 척은 못하겠군. 난 여자들이 얌전하고 연약한 면들을 맡아주어야 한다고 믿고 있어서, 여자들까지 전쟁에 나서지는 말았으면 하네.
str_comment_intro_female_admiring_liege|남자들을 전투에 몰아넣는 여자를 만나는 건 흔한 일은 아니오. 하지만 지금은 암울하고 파란만장한 시대이고, 나는 검을 쥔 이 두 손을 뒤로 물리지 않을 것이오, 이 손의 주인은 용감한 왕께 충성을 다해야 하겠지.
str_comment_intro_female_admiring_martial|안녕하시오, 레이디. 당신의 품행으로부터 흔한 아가씨는 아니라는 건 알겠지만, 전 당신이 제 칭송을 기분 나쁘게 보지 말아줬으면 좋겠군요.
str_comment_intro_female_badtempered_admiring|헤에. 이거 끌리는데. 아가씨가 완전무장을 했군. 음, 굉장히 이상한 광경이야, 하지만 당신의 경우엔, 내 마음을 설레게 하는 것 같기도 하구려.
str_comment_intro_female_pitiless_admiring|여자가 전쟁에 빠져든 건 흔치 않은 일이군. 조심하시오, 아가씨. 굉장히 험한 세상이요, 그리고 당신같은 미인이 칼날에 상하게 되는 건 보고 싶지 않군요.
str_comment_intro_female_cunning_admiring|안녕하시오, 아가씨. 내가 전쟁에서 여자를 보게되는 건 흔치않다고 말하더라도, 너무 내 말을 확대 해석하지는 마시오. 언젠가는 당신 같은 용기와 혼을 가진 딸의 아빠가 되는걸 나도 바라고 있는지도 모르오.
str_comment_intro_female_sadistic_admiring|이게 대체 어쩐 일인지! 여자, 그것도 전쟁에 나선 여자라니! 음, 난 감히 당신과 같은 괜찮은 자들이 사슬 갑옷에 끼인 사내들에게 여성과의 접촉을 느끼게 해줄 기회를 줄 수 있게 되었다는 말을 하고 싶군요.
str_comment_intro_female_admiring_goodnatured|아가씨, 무예도 당신의 미모만큼 뛰어나다면, 분명 적들도 당신을 두려워 할겁니다!
str_comment_intro_female_admiring_upstanding|안녕하십니까, 아가씨. 당신의 옷과 갑옷에 묻은 먼지에도 불구하고, 저는 당신의 고귀한 성적 매력에는 전혀 부족함이 없다는 걸 느낄 수 있군요.
str_comment_intro_female_common_liege|남자들을 전투에 몰아넣는 여자를 만나는 건 흔한 일은 아니지. 하지만 지금은 암울하고 파란만장한 시대이고, 난 검을 쥔 이 두 손을 뒤로 물리지 않을 것이네, 이 손의 주인은 용감한 왕께 충성을 다해야 하겠지.
str_comment_intro_female_common_martial|이건 말해야겠군, 아가씨 조심하게나, 이 위험한 세상에 말을 몰고 돌아다니는 것 말이지. 당신이 좀 더... 어.... 정착된 생활을 원한다면, 내 부하들중에서 괜찮은 남편을 찾아줄 수 있을거라 확신하네.
str_comment_intro_female_common_badtempered|그런데, 아가씨. 네 남편은 자기 무기와 갑옷을 제 아내가 훔쳐간 걸 알고는 있나? 집에 돌아가게 되면 죽도록 얻어맞게 될거라고 장담하지!
str_comment_intro_female_common_pitiless|이건 말세야, 여자들마저도 도적이 되어서, 전쟁의 폐허에서 찌꺼기를 주우러 다니는 그 흔한 말세 말이지.
str_comment_intro_female_common_cunning|여자가 펜도르의 전장에서 기회를 노리고 있다는 얘기는 들어본적도 없고, 흔한 일도 아니지. 나는 당신이 성공하게 될지 궁금하군.
str_comment_intro_female_common_sadistic|여자잖아, 전쟁에 뛰어든 여자 말이지! 음, 넌 우리 부대에 속한 전사라 불리는 자들보다도 여자답지 않아 보이는군.
str_comment_intro_female_common_goodnatured|당신을 보면, 스스로 앞가림은 잘 할 것처럼 보이는군. 그래도 신중하게나, 아가씨.
str_comment_intro_female_common_upstanding|여자가 전쟁에 나타나는건 매일 있는일이 아니지. 실수하지 말게 아가씨, 자네는 스스로를 보호하기 위한 모든 권리가 있다만, 난 자네가 전투에 나서기로 한 결정에 대해 마음이 편하지는 않군. 나는 여자들에게 남아있는 얌전하고 연약한 면들이나 신경써주어야 한다고 믿고 있어서, 여자들까지 전쟁에 나서지는 말았으면 좋겠어.
str_rejoinder_intro_female_common_badtempered|이 무기들은 내가 전투를 통해 빼앗은 것이오. 이 검날들이 잘 드는지 한번 시험해 보고 싶나?
str_rejoinder_intro_female_noble_sadistic|내 조국은 신경쓰지 마시오. 여기 펜도르는, 개들이 사람들을 전쟁에 이끄는 것처럼 보이는군.
str_rejoinder_intro_female_common_sadistic|그리고 경, 당신은 내 말보다 더 '자투'스럽군.
str_rejoinder_intro_female_noble_pitiless|난 그 당연한 이치을 고칠 것이오, 그래서 당신이 더 이상 궁둥이로 지껄이지 못하게 할 생각이지.
str_rejoinder_intro_female_common_pitiless|사실, 요즘은 말세가 맞아, 도적놈들 조차도 자기 자신을 '경'이라 부르며 귀족 호칭을 쓰는 세상 말이지.
str_rejoinder_intro_noble_sadistic|난 지금 당신의 깃발를 빼앗게 될지도 모르겠군. 당신의 가축과 당신의 삶까지도 말이야.
str_rejoinder_intro_female_pitiless_admiring|내가 당신의 잘생긴 코에 상쳐를 낸다면 기분이 좋아 질 것 같군, 경.
str_rejoinder_intro_female_common_upstanding|내 칼의 유연함을 느끼고 싶나?
str_rejoinder_intro_female_noble_upstanding|내 칼의 유연함을 느끼고 싶나?
str_rejoinder_intro_female_common_martial|난 이런 개집에 사는 놈들보다는 괜찮은 남편을 구할 수 있소.
str_rejoinder_intro_female_sadistic_admiring|당신은 말의 마구에 뭔가를 덕지덕지 붙여놓은 것 같은 인상을 주는 인간일 뿐이오.
str_rejoinder_intro_female_badtempered_admiring|만약 날 보고 심기가 복잡해진 거라면, 당신의 눈알을 갈라내버리게 되어 기쁘군.
str_comment_you_raided_my_village_enemy_benevolent|넌 나의 보호 아래에 있는 {s51}의 무고한 내 백성을 죽였어! 난 당신의 악행을 더 이상 봐줄 수 없군! 그러므로 난 너를 벌할 것이다!
str_comment_you_raided_my_village_enemy_spiteful|넌 {s51}에서 내 재산을 파괴하고 내 백성들을 죽였어! 난 피로 보상받겠다! 
str_comment_you_raided_my_village_enemy_coldblooded|넌 {s51}에서 내 재산을 파괴하고 백성들을 죽였어! 니가 이런 더러운 짓거리를 또 하기 전에 한번 더 생각해보는 습관을 만들어주지!
str_comment_you_raided_my_village_enemy|넌 {s51}에서 내 재산을 파괴하고 백성들을 죽였어! 너의 범죄에 대한 값을 지불해라!
str_comment_you_raided_my_village_unfriendly_spiteful|넌 {s51}에서 내 재산을 파괴하고 내 백성들을 죽였어! 다시 해보시지? 그러면 난 널 물고기의 내장을 발라 버리듯 널 베겠어!
str_comment_you_raided_my_village_friendly|넌 {s51}에서 내 재산을 파괴하고 백성들을 죽였어! 이 중대한 긴장은 우리의 우정에 걸림돌이 될 것이네!
str_comment_you_raided_my_village_default|넌 {s51}에서 내 재산을 파괴하고 백성들을 죽였어! 만일 네가 이와 같은 더러운 행동을 계속한다면 우린 싸워야만 할 것이다!
str_comment_you_stole_cattles_from_my_village_enemy_benevolent|나는 당신이 {s51}에서 내 보호 아래에 있는 농부로부터 가축을 절취한다고 들었지. 난 당신을 범죄의 이유를 물어 벌할 것이야!
str_comment_you_stole_cattles_from_my_village_enemy_spiteful|나는 당신이 {s51}에 사는 내 주민으로부터 가축을 절취한다고 들었네. 내 마을사람들의 재산을 훔치다니, 당신은 이 수치스러운 행동의 결과로 벌금을 내야만 할것이네.
str_comment_you_stole_cattles_from_my_village_enemy_coldblooded|나는 당신이 {s51}에 사는 내 주민으로부터 가축을 절취한다고 들었네. 내 마을사람들의 재산을 훔치다니. 내 수입을 깎아내리기 전에 당신의 행동을 주저하게 만들어주지.
str_comment_you_stole_cattles_from_my_village_enemy|나는 당신이 {s51}에 사는 내 주민으로부터 가축을 절취한다고 들었네, 나의 마을사람들의 재산을 훔치다니, 당신은 이 수취스러운 행동의 결과로 벌금을 내야만 할것이네.
str_comment_you_stole_cattles_from_my_village_unfriendly_spiteful|나는 당신이 {s51}에 사는 내 주민으로부터 가축을 절취한다고 들었네. 자네가 그짓거리를 다시 한다면 막 건진 물고기처럼 내장을 끄집어 주지.
str_comment_you_stole_cattles_from_my_village_friendly|나는 당신이 {s51}에 사는 내 주민으로부터 가축을 절취한다고 들었네. 이것은 우리의 우정을 무덤으로 끌고 가는 짓이야.
str_comment_you_stole_cattles_from_my_village_default|난 당신이 {s51}에 사는 내 주민으로부터 가축을 절취한다고 들었네. 자네가 그 행동을 계속한다면, 주먹다짐을 하는 우리를 보게 되겠지...
str_comment_you_robbed_my_village_enemy_coldblooded|넌 {s51}의 거주자들로부터 강탈을 했다! 나는 그 행위를 나에 대한 중대한 개인적인 도발이라고 생각 할 수밖엔 없군!
str_comment_you_robbed_my_village_enemy|넌 내 보호하의 {s51} 농부로부터 약탈을 감행했어! 그러므로 난 너를 벌할 것이다!
str_comment_you_robbed_my_village_friendly_spiteful|난 {s51}의 거주자들에게서 약간의 음식을 가져갔다고 알고 있네. 글쎄... 난 자네에게 한 두조각 쯤 주는 건 상관치 않네만, 명심하게나. 내가 그들의 구슬픈 울음소리를 들어야한다는 것을!
str_comment_you_robbed_my_village_friendly|나는 {s51}의 거주자들로부터 당신이 보급을 원한다는 보고를 받았네. 난 자네가 그러지 않았을 거라고 생각하고 싶군! 그리고 자네도 그만큼 필사적으로 곤궁하지 않다고 믿고도 싶고!
str_comment_you_robbed_my_village_default|넌 나의 {s51}의 거주민들로부터 강도짓을 했어! 만일 네가 이 짓거리를 계속해서 해댄다면, 전쟁을 선포하는 수 밖엔 없다!
str_comment_you_accosted_my_caravan_enemy|넌 나의 보호아래에 있는 상단을 강탈했어! 그러나 너의 그 더러운 행위는 곧 끝날 것이야! 
str_comment_you_accosted_my_caravan_default|네가 내 보호하의 상단들을 강탈해대고 있단 소릴 들었지! 그 행위가 반드시 종결되어야만 한다고 생각하지 않나?
str_comment_you_helped_villagers_benevolent|내가 듣기로는 당신이 {s51}에 있는 나의 농노들에게 자비를 베풀었다더군. 영주이자 보호자로서 나의 의무를 소홀히 하고 있었네. 따라서 자네의 행동에 깊이 감사하네.
str_comment_you_helped_villagers_friendly_cruel|내가 듣기로는 당신이 {s51}에 있는 나의 농노들에게 자비를 베풀었다더군. 자네가 마음을 써준 것에는 감사하지만 나의 권위를 함부로 깎아내지 않았으면 좋겠네.
str_comment_you_helped_villagers_friendly|내가 듣기로는 당신이 {s51}에 있는 나의 농노들에게 자비를 베풀었다더군. 어려운 시기네. 그리고 자네의 뜻을 나도 알고 있네. 그래서 앞으로 난 자네가 그들의 조력자로서 주는 임무를 주지 않을거네.
str_comment_you_helped_villagers_unfriendly_spiteful|내가 듣기로는 당신이 {s51}에 있는 나의 농노들에게 자비를 베풀었다더군. 우습게도 그건 자네가 나의 이름있는 가신들을 더럽히는거네 .난 자네가 좀 더 자네의 일에 자각을 가졌으면 하는군.
str_comment_you_helped_villagers_cruel|내가 듣기로는 당신이 {s51}에 있는 나의 농노들에게 자비를 베풀었다더군. 농노에게 주군이란 보호자라네, 그들이 곤란에 빠졌을때 당연히 내가 해줘야만 하는 것이지. 자네의 뜻은 좋아, 하지만 자네의 행동은 그래도 나의 권위를 깎아내는거네. 이만 이곳을 떠나주면 고맙겠네.
str_comment_you_helped_villagers_default|내가 듣기로는 당신이 {s51}에 있는 나의 농노들에게 자비를 베풀었다더군. 어려운 시기네. 그리고 자네의 뜻을 나도 알고 있네. 하지만 버릇이 되지 않도록 하게. 난 그들의 영주이자 보호자로서 그들이 이방인을 조력자로 찾는 걸 좋아하지 않네.
str_comment_you_give_castle_in_my_control|당신은 {s51}을(를) 내게 내리는 결정을 후회하지 않을 것입니다. 내가 그것을 지켜낼 것이란 걸 당신은 믿으십시오.
str_comment_you_captured_a_castle_allied_friendly|자네가 {s51}을(를) 포위하고 점령한 것을 들었네. 죽이는군. 난 자네를 친구라고 부르는게 자랑스럽네!
str_comment_you_captured_a_castle_allied_spiteful|자네가 {s51}을(를) 포위하고 점령한 것을 들었네. 잘했네! 조만간에, 우린 모든 그들의 성을 점령하여 파괴하고, 그들의 전리품을 빼앗고, 그들의 슬픈 미망인들이 우리의 술잔에 술을 따를 것이네.
str_comment_you_captured_a_castle_allied_unfriendly_spiteful|자네가 {s51}을(를) 포위하고 점령한 것을 들었네. 괜찮군. 비천한 자들이 말하기를 개들도 날이 있다더군. 즐길 수 있는 동안 충분히 즐기게, 자네가 속한 곳에서 높은 분이 자네를 추운 곳으로 내보내기 전에 말일세.
str_comment_you_captured_a_castle_allied_unfriendly|자네가 {s51}을(를) 포위하고 점령한 것을 들었네. 우리가 과거에 어떠했던 간에 자네에게 축하의 말을 하고 싶군.
str_comment_you_captured_a_castle_allied|자네가 {s51}을(를) 포위하고 점령한 것을 들었네. 우리가 그들을 분주하게 만들었어!
str_comment_you_captured_my_castle_enemy_spiteful|자네가 나의 영역인 {s51}에 침입한 걸 들었네. 자네가 지하 감옥을 좋아하면 좋겠군. 왜냐면 앞으로 해마다 많은 시간을 거기서 보내야 할거니 말일세.
str_comment_you_captured_my_castle_enemy_chivalrous|나의 정당한 영지인 {s51}을(를) 자네가 소유하고 있지. 난 자네가 내게 그걸 돌려 받을 수 있는 기회를 줬으면 하네!
str_comment_you_captured_my_castle_enemy|자네는 내게 소속된 영지를 가지고 있네, {s51}. 난 자네가 그걸 포기하게 만들걸세.
str_comment_we_defeated_a_lord_unfriendly_spiteful|내가 보기에 자네는 {s54}에서의 우리의 승리에 대한 기억으로 술을 찾을거 같군. 좋아, 술을 아끼게 그건 앞으로 있을 자네의 완패로 인해 더렵혀질 명예에 부어야 하네.
str_comment_we_defeated_a_lord_unfriendly|난 우리가 {s54}에 맞서 어떻게 싸웠는지 잊지 않을거네. 하지만 나는 우리 사이에 있던 다른 일들에 대한 입장차이도 잊지 않겠네.
str_comment_we_defeated_a_lord_cruel|{s54}와의 전투에서의 승리는 대단한 것이오. 그렇지 않소?^우린 그의 군대를 까마귀들을 위한 축하연으로 만들었소.
str_comment_we_defeated_a_lord_quarrelsome|난 우리가 어떻게 {s54}을(를) 기진맥진하게 만들었는지 잊고 싶지 않네. 너무도 즐거웠지.
str_comment_we_defeated_a_lord_upstanding|난 {s54}에서의 승리를 잊지 않을거요. 한번 더 하늘에 감사의 인사를 하고 우리가 너무 자만하지 않기를 비네.
str_comment_we_defeated_a_lord_default|{s54}와의 전투에서의 승리는 대단하오. 안 그런가?^난 당신의 옆에서 싸웠다는 것을 영예롭게 여기겠소.
str_comment_we_fought_in_siege_unfriendly_spiteful|내가 보기엔 자네는 {s54}에서의 우리의 점령에 대한 기억으로 술을 찾을 것 같군. 그러나, 술을 아끼게. 그건 앞으로 있을 자네의 완패로 인해 더렵혀질 명예에 부어야 하네.
str_comment_we_fought_in_siege_unfriendly|난 우리가 어떻게 {s51}을(를) 몰아쳤는지 잊지 않을거요. 하지만 나는 우리 사이에 있던 다른 일들에 대한 입장차이도 잊지 않겠네.
str_comment_we_fought_in_siege_cruel|난 어떻게 우리가 {s51}의 방어선을 부수고 그 방어자들에게 칼을 쑤셔 넣었는지 잊지 않을거요. 이건 정말 달콤한 기억이오.
str_comment_we_fought_in_siege_quarrelsome|우리가 {s51}의 방어선을 넘었을 때, 적들이 어떻게 비명을 질렀는지 기억하시오? 그들은 아마 자신들이 안전하다고 생각했을거요! 우리가 그들의 얼굴에 썩은 웃음을 새겨넣은 것이지! 
str_comment_we_fought_in_siege_upstanding|난 {s51}에서 일어난 우리의 점령전을 잊지 않을거요. 다시 한번 하늘에 감사의 인사를 전하고 우리가 너무 자만하지 않기를 비네.
str_comment_we_fought_in_siege_default|난 {s51}을(를) 우리가 함께 점령한 것을 잊지 않을거요. 난 자네의 옆에서 싸웠다는 것을 영예롭게 여기겠소.
str_comment_we_fought_in_major_battle_unfriendly_spiteful|내가 보기엔 자네는 {s51}에서의 대단한 승리에 대한 기억으로 술을 찾는 것 같군. 하지만, 술을 아끼게. 그건 앞으로 있을 수많은 완패로 인해 더렵혀질 명예에 부어야 하네.
str_comment_we_fought_in_major_battle_unfriendly|난 {s51} 근처에서 겪은 대전투에서 우리가 함께 어떻게 싸웠는지 영원히 잊지 않을거요. 하지만 난 우리 사이에 있던 다른 일들에 대한 입장차이도 잊지 않겟네.
str_comment_we_fought_in_major_battle_cruel|난 {s51} 근처에서 겪은 대전투를 평생동안 잊지 않을거요. 특히 우리가 적의 진영을 뚫어냈을 때, 그들이 우리 앞에서 비명을 지르며 도망가는 광경을 말이요. 그건 정말 달콤한 기억이었어.
str_comment_we_fought_in_major_battle_quarrelsome|{s51} 근처에서 벌인 싸움은 괜찮았던것 같네, 특히 우리가 그 사생아들을 도망가게 만들었을 때가 짜릿했지!
str_comment_we_fought_in_major_battle_upstanding|난 우리가 {s51} 근처의 대전투에서 어떻게 싸웠는지 잊지 않을거네. 다시 한번 하늘에 감사의 기도를 올리고 우리가 너무 자만하지 않기를 기원하네.
str_comment_we_fought_in_major_battle_default|난 우리가 {s51} 근처의 대전투에서 나란히 서서 어떻게 싸웠는지 잊지 않을거네. 난 자네의 옆에서 싸웠다는 것을 영예롭게 여길 것이오.
str_comment_you_defeated_a_lord_allied_liege|그래, 그대가 그들이 {s54}(이)라 부르는 악인과 칼을 맞대었고 승리를 거둔 게 알려졌네. 난 그 소식을 듣고 매우 행복했어.
str_comment_you_defeated_a_lord_allied_unfriendly_spiteful|그대가 {s54}와(과) 싸웠고 이긴 것을 들었네. 쥐구멍에도 볕들 날이 있나보지?
str_comment_you_defeated_a_lord_allied_spiteful|그대가 개같은 {s54}와(과) 싸웠고 물리친 것을 들었네. 아, 그 놈이 자비를 달라며 애원하는 것을 들을 수만 있다면.
str_comment_you_defeated_a_lord_allied_unfriendly_chivalrous|그대가 {s54}와(과) 싸우고 물리친 것을 들었네. 희망하건데 그대가 불명예스러운 방법을 써서 이기지는 않았길 비네.
str_comment_you_defeated_a_lord_allied|그대가 {s54}와(과) 싸우고 물리친 것을 들었소. 그대가 승리에 기뻐했으면 좋겠군.
str_comment_you_defeated_me_enemy_chivalrous|최근에 우리가 만났을 때, 난 자네가 승리한 것을 시기하지는 않았네. 하지만 난 만회할 다음 기회를 기다리고 있지!
str_comment_you_defeated_me_enemy_spiteful|난 자네를 다시 만나기를 기다리고 있었네. 자네의 계략은 나에게 두번은 통하지 않을거고 난 자비를 외치는 자네의 목소리를 음미하며 들을 것이네.
str_comment_you_defeated_me_enemy|최근에 우리가 만났을 때, {playername}, 자네는 나보다 나았었지. 하지만 장담컨데 다시는 그렇게 되지 않을 것이네!
str_comment_i_defeated_you_enemy_spiteful|나아져서 왔나? 날 자네와 다시 싸우게 만드는군, 난 자네의 창자를 나의 사냥개들에게 줄 것이야. 
str_comment_i_defeated_you_enemy_chivalrous|나에게 자네 용기를 시험하러 다시 오셨군, {playername}?
str_comment_i_defeated_you_enemy_benevolent|그래서 자네는 다시 내게 도전하려는건가? 저번엔 아무것도 배우지 못했나 보군?
str_comment_i_defeated_you_enemy_coldblooded|자네는 완고한 사람이군, 하지만 불쾌해.
str_comment_i_defeated_you_enemy|자네가 나와의 격차를 배울려면 얼마나 더 많이 자네를 응징해야겠나?
str_comment_we_were_defeated_unfriendly_spiteful|최근에 자네를 봤을 때, 자네는 {s54}에게 두들겨 맞고 있었지. 난 그 비참함에 그만 자네를 비난하고 말았네. 자네가 얼마나 불쌍했으면 살려줬겠나.
str_comment_we_were_defeated_unfriendly|최근에 내가 자네를 봤을 때, 자네는 {s54}에게 두들겨 맞고 있었네. 흠, 난 자네가 거기서 살아남는걸 보았지.
str_comment_we_were_defeated_cruel|최근에 내가 자네를 보았을 때, 자네는 {s54}에게 두들겨 맞고 있었네. 걱정하지 말게나. 우리가 그를 찾아서 그가 승리에 목메이게끔 만들어 놓겠네.
str_comment_we_were_defeated_default|최근에 내가 자네를 보았을 때, 자네는 {s54}에게 두들겨 맞고 있었네. 이렇게 자네가 건강하게 살아 있는 걸 보니 기분이 좋군.
str_comment_you_were_defeated_allied_friendly_spiteful|자네가 {s54}에게 힘든 일을 겪었다고 들었네. 걱정하지 말게, 친구. 내가 자네를 위해서 그를 찾아서 그의 머리를 자네에게 선물로 가져다주지.
str_comment_you_were_defeated_allied_unfriendly_cruel| {s54}에게 자네의 부대가 양처럼 학살당했다는 것을 들었네. 하지만 자네는 이렇게 살아있지 않은가. 이거 참 실망스럽군.
str_comment_you_were_defeated_allied_spiteful| {s54}이(가) 자네를 발바닥에 붙은 개미처럼 눌러버린 것을 들었네. 하! 성장하기 전에 어린애들은 게임을 해서는 안돼, 꼬맹이 {reg63?소년:소녀}!
str_comment_you_were_defeated_allied_pitiless|난 {s54}이(가) 자네를 패배시킨 것을 들었네,그리고 자네의 부대는 뿔뿔이 흩어졌지. 그것 참 안 된 일이야.
str_comment_you_were_defeated_allied_unfriendly_upstanding|{s54}이(가) 자네를 패배시킨 것을 들었네. 아마도 하늘이 자네가 저지른 악행들을 벌하기 위해 이런 방법으로 꾸짖는거라는 걸 자네는 고려해봐야 할거야.
str_comment_you_were_defeated_allied_unfriendly|난 {s54}이(가) 자네를 패배시킨 것을 들었네. 이봐, 우리 병사들이 너무 죽지않게 노력 좀 하게, 알았나?
str_comment_you_were_defeated_allied|{s54}이(가) 자네를 패배시킨 것을 들었네. 하지만 용기를 가지게 상황은 곧 바뀔 것이네!
str_comment_you_helped_my_ally_unfriendly_chivalrous|자네가 {s54}을(를) 패배 직전에서 구했다는 것을 들었네. 내가 자네를 어떻게 생각하든, 그 행동은 칭찬을 해줘야겠군.
str_comment_you_helped_my_ally_unfriendly|[relevence should be zero, and this message should not appear]
str_comment_you_helped_my_ally_liege|자네가 나의 가신인 {s54}을(를) 패배 직전에서 구한 것을 들었네.
str_comment_you_helped_my_ally_unfriendly_spiteful|자네가 우리의 바보같은 {s54}을(를) 구하러 갔다는걸 들었네. 자네, 그를 보니 애처로운 아가씨가 생각나지 않던가? 아무것도 아니네. 그건 일상적인 실수니 말일세. 
str_comment_you_helped_my_ally_spiteful|자네가 {s54}을(를) 패배에서 구했다는 것을 들었네. 내 생각에는 자네가 그에게 살아남는 방법을 배우게 해야할 것 같군.
str_comment_you_helped_my_ally_chivalrous|난 자네가 {s54}을(를) 궁지에서 빼냈다고 들었네. 정말로 고귀한 행동이네. 
str_comment_you_helped_my_ally_default|자네가 {s54}을(를) 궁지에서 빼냈다고 들었네. 잘했네!
str_comment_you_abandoned_us_unfriendly_spiteful|당신은 벌레 새끼야! {s54}을(를) 앞에 두고 우리 군을 버려두고 떠나버렸지, 안 그래? 네 상판에 침을 뱉어버리고 싶군.
str_comment_you_abandoned_us_unfriendly_pitiless|음... 자네는 나를 {s54}와(과)의 전장 한가운데 내버려두었지, 안 그렇소? 난 자네가 배신자의 무덤에 파묻히는 걸 똑똑이 바라볼거네.
str_comment_you_abandoned_us_spiteful|자네가 {s54}와의 전투 도중에 사라지더군... 자네에게 좋은 변명이 있길 바라네. 자네의 창자가 빠져 나오던가? 아니면 공포에 너무 떨어서 무기를 들고 있기 힘들어지던가?
str_comment_you_abandoned_us_chivalrous|무슨 일이요? 자네 {s54}을(를) 상대하던 전투 도중에 사라져버리더군. 내 유일한 희망은 자네가 서있기도 힘든 심각한 부상이라는 거였네. 아마 나는 겁쟁이들쪽으로 전투에 참가한 것을 부끄러워했을거네.
str_comment_you_abandoned_us_benefitofdoubt|무슨 일이오? 자네는 {s54}을(를) 상대하던 전투 도중에 사라져버리더군.. 난 자네가 부상당했다고 생각했었는데 그렇지는 않은거 같은데 말야.
str_comment_you_abandoned_us_default|무슨 일이요? 어떤 때는 우리와 함께 {s54}와(과) 싸우고 있더니, 다음 전투에서는 당신을 어디서도 찾을 수가 없더군.
str_comment_you_ran_from_me_enemy_spiteful|마지막으로 우리가 만났을 때, 자넨 내 부하들에게 매맞은 개처럼 도망가더군. 나에게 다시 찾아온 건 되갚으러 온건가 아니면 자비를 바라며 애원하러 온건가?
str_comment_you_ran_from_me_enemy_chivalrous|최근 우리가 만났을 때, 자네 나로부터 도망갔지. 일어서는 법을 배워서 신사처럼 싸워라!
str_comment_you_ran_from_me_enemy_benevolent|지난 번에 당신을 만났을 때, 다시는 싸우고 싶지 않았네.
str_comment_you_ran_from_me_enemy_coldblooded|지난번 우리가 만났을 때, 당신은 도망갔지. 그건 현명한 결정이었소.
str_comment_you_ran_from_me_enemy| 지난번 우리가 마주쳤을 때, 당신은 운좋게 도망칠 수 있었지만 그런 행운은 두 번 다시 없을 것이오.
str_comment_you_ran_from_foe_allied_chivalrous|그들이 말해주었지. {s54}(으)로부터, 당신 부대를 남겨둔 채 도망쳤다고 말이네. 이게 차리리 거짓말이길 기도했네. 이건 우리 모두에게 불명예라네.
str_comment_you_ran_from_foe_allied_upstanding|그들이 말해주었네. {s54}(으)로부터, 당신 부대를 남겨둔채 도망쳤다고 말이지. 난 소문을 믿는 편은 아니지만, 절망적인 조치를 취할 수 밖에 없는 상황에서 병력을 남기는 것은 사기에 큰 영향을 주는 거라고 확고하게 주장해왔네. 그러나 난 당신이 그까짓 목숨 따위를 보존하기 위해, 그들을 홀로 남겨두고, 남은 부대원들을 적들이 도륙하도록 전장 한복판에 내버려 두었다고 들었네. 실망이 크네.
str_comment_you_ran_from_foe_allied_spiteful|한편으론 당신이 {s54}(으)로부터 도망칠 때, 남긴 자들은 뒤에서 강탈되고 도륙되어지고, 당신은 놀란 토끼마냥 도망쳤지. 하! 살다보니 별 걸 다 보게 되는군!
str_comment_you_defeated_my_friend_enemy_pragmatic|{s54}에게 여러 번 이겼다고 자만하지 마시오,^연이어 우리 모두를 꺽을 수는 없을 것이오!
str_comment_you_defeated_my_friend_enemy_chivalrous|나는 당신이 {s54}에게 승리했다는 소식을 들었소,^그 이후로는 불안에서 당신과 칼을 나란히 하고 싸울 수가 없군.
