
ui_music_volume|음악 크기:
ui_use_instancing|인스턴싱 효과 사용
ui_error|오류
ui_error_server_full|서버가 꽉 찼습니다.
ui_error_server_full_for_non_private|서버가 전용 플레이어가 아닌 플레이어로 가득 찼습니다.
ui_error_server_password_incorrect|비밀번호가 틀렸습니다.
ui_error_incorrect_serial|시리얼키가 틀렸습니다.
ui_error_incorrect_authorization_key|허가 키가 틀렸습니다.
ui_error_banned_from_server|당신은 이 서버에서 영구퇴장 당하셨습니다.
ui_error_username_taken|당신의 프로필 이름이 이미 쓰이고 있습니다.
ui_error_authentication_failed|인증 실패.
ui_unable_to_connect_to_server|서버와 연결 종료.
ui_connection_to_server_is_lost|서버와의 연결이 끊어졌습니다.
ui_kicked_from_server|서버에서 강제퇴장 당하셨습니다.
ui_switch_to_module_question|이 서버는 당신이 현재 실행중인 모듈과 다른 모듈로 실행되고 있습니다. 당신은 마운트앤블레이드를 이 모듈로 바꾸시길 원하십니까?
ui_download_module_question|이 서버는 당신의 컴퓨터에 설치되지 않은 모듈로 실행되고 있습니다. 당신은 지금 이 모듈을 다운받을 수 있는 사이트를 방문 하시겠습니까?
ui_download_mb_new_version_question|이 서버는 %d.%d%d%d 버전으로 구동되고 있습니다. 사용자의 버전은 %d.%d%d%d으로 하위 버전입니다. 지금 TaleWorlds에 방문하여 다운로드 하시겠습니까?
ui_download_mb_old_version_question|이 서버는 %d.%d%d%d 버전으로 구동되고 있습니다. 사용자의 버전은 %d.%d%d%d으로 상위 버전입니다.
ui_download_module_new_version_question|이 서버는 당신이 구동중인 %d.%d%d%d 버전보다 새로운 %d.%d%d%d 버전으로 구동되고 있습니다. 이 모듈을 받기 위해 다운로드 사이트에 지금 방문하시겠습니까?
ui_download_module_old_version_question|이 서버는 당신이 구동중인 %d.%d%d%d 버전보다 오래된 %d.%d%d%d 버전으로 구동되고 있습니다.
ui_authenticating_with_steam|스팀 인증 중...
ui_validating_serial_number|시디키 인증 중...
ui_scanning_lan|LAN 서버 찾는 중...
ui_retrieving_servers|서버 리스트 재탐색 중...
ui_shield_size2|크기: %dx%d
ui_click_to_view_notes|노트를 보려면 클릭하십시오.
ui_retrieving_server_infos|서버 정보 재탐색 중 (%d)...
ui_connecting_to_server|서버에 연결 중...
ui_requesting_to_join_the_game|재접속 중...
ui_loading|로딩 중...
ui_group_value_control|그룹 %d!
ui_drop_weapon|무기 버리기
ui_multiplayer_message_all|모두에게 말하기
ui_multiplayer_message_team|팀에게 말하기
ui_command_line|명령 행
ui_use_ranged_weapon_as_melee|토글 무기 모드
ui_send_message_all|모두에게 말하기
ui_send_message_team|팀에게 말하기
ui_select|선택
ui_context_menu|정황 메뉴
ui_round_starts_in_value_seconds|%d초 안에 시작합니다...
ui_watching_value|%s의 화면
ui_capital_spec|관중
ui_capital_dead|사망
ui_instancing_error1|Could not lock Instance Buffer (size: %d), Disabled mesh-instancing (Error Code: %d)
ui_instancing_error2|Could not fit instanced objects, Disabled mesh-instancing
ui_by_keyboard|이동키로 조작
ui_combat_speed_slowest|가장 느림
ui_combat_speed_slower|느림
ui_combat_speed_normal|보통
ui_combat_speed_faster|빠름
ui_combat_speed_fastest|가장 빠름
ui_module_newer_than_application|당신이 선택한 모듈은 새 버전이 필요합니다.
ui_module_older_than_application|당신이 선택한 모듈은 지난 버전이 필요합니다.
ui_unbalanced|느린 공수전환
ui_can_crush_through_blocks|방어를 무너뜨리고 공격
ui_turn_camera_with_horse|1인칭 시점으로 승마시 카메라 회전 설정
ui_widescreen_mode_on|멀티 스크린 모드 가능
ui_widescreen_mode_off|멀티 스크린 모드 불가능
ui_notification_cant_upgrade|돈이 부족하여 업그레이드를 할 수 없습니다.
ui_turn_never|사용 안함
ui_turn_ranged_only|원거리 전용
ui_turn_melee_only|근접 전용
ui_turn_always|항상 사용
ui_general_options|기본 설정
ui_vac_enabled|밸브 안티 치트 허용
ui_campaign_ai|군사작전 인공지능:
ui_downloading_map|맵 다운로드 중 (%d KB)
ui_download_completed|다운로드 완료.
ui_server_filter|서버 필터
ui_has_players|플레이어 있음
ui_is_not_full|꽉차지 않은 서버
ui_is_password_free|비밀번호 없음
ui_native_only|Native만
ui_ping_limit|핑 한계
ui_filter_info|%d개의 서버와 %d명의 플레이어들이 필터되었습니다.
ui_is_version_compatible|버전과 호환되는 서버
ui_ttnet_account|TTNET Oyun 계정
ui_username|사용자 이름
ui_password|비밀번호
ui_error_incorrect_username_or_password|사용자 이름이나 비밀번호가 일치하지 않습니다.
ui_validating_account|계정 인증 중...
ui_plase_enter_your_serial_key|시리얼 키를 입력해 주십시오.
ui_cut|베기
ui_pierce|관통
ui_blunt|타격
ui_use_melee_weapons_e_|%s, 근접무기를 사용하라!
ui_use_ranged_weapons_e_|%s, 사격무기를 사용하라!
ui_order_button_use_melee_weapons|근접무기 사용
ui_order_button_use_ranged_weapons|사격무기 사용
ui_order_button_weapon_usage_orders|무기 사용 명령
ui_fire_at_my_command_e_|%s, 신호에 맞춰 사격한다!
ui_fire_now_e_|%s, 쏴라!
ui_order_button_fire_at_my_command|지시까지 사격 대기
ui_order_button_fire_now|사격 개시
ui_order_form_1_row|1열 횡대
ui_order_form_2_row|2열 횡대
ui_order_form_3_row|3열 횡대
ui_order_form_4_row|4열 횡대
ui_order_form_5_row|5열 횡대
ui_form_1_row_e_|%s, 1열로 서라!
ui_form_2_row_e_|%s, 2열로 서라!
ui_form_3_row_e_|%s, 3열로 서라!
ui_form_4_row_e_|%s, 4열로 서라!
ui_form_5_row_e_|%s, 5열로 서라!
ui_order_7|Select Order 7
ui_order_8|Select Order 8
ui_all_fire_now_e_|%s, 일제히 쏴라!
ui_left_fire_now_e_|%s 좌익, 일제히 쏴라!
ui_middle_fire_now_e_|%s 중앙, 일제히 쏴라!
ui_right_fire_now_e_|%s 우익, 일제히 쏴라!
ui_order_button_all_fire_now|일제사격
ui_order_button_left_fire_now|좌익만 일제사격
ui_order_button_middle_fire_now|중앙만 일제사격
ui_order_button_right_fire_now|우익만 일제사격
ui_crouch|앉기
