qstr_Next_Page|Next Page
qstr_Snake_Cult_Spies|Snake Cult Spies
qstr__{s64}_takes_the_new| {s64} takes the news well and manages to convey your decision to the farmers so that they do not riot.
qstr__{s64}_orders_that_t| {s64} orders that the shrine not be replaced!
qstr__{s64}_successfully_| {s64} successfully conveys to the citizens that the shrine is not to be built!
qstr__{s64}_orders_that_th| {s64} orders that the shrine not be replaced!  The Knights of the Dawn withdraw peacefully.
qstr__{s64}_takes_the_news| {s64} takes the news well, but your citizens revolt..
qstr__{s64}_orders_that_the| {s64} orders that the shrine not be replaced.  The local citizens are upset.
qstr__{s64}_tries_to_calm| {s64} tries to calm down the citizens, but to no avail.  Some of them riot in the streets causing economic upheaval!
qstr__{s64}_tells_the_Kni| {s64} tells the Knights of the Dawn of your orders and they are not at all pleased!
qstr_Astraea_Zealots!|Astraea Zealots!
qstr_Zealots!|Zealots!
qstr__{s64}_rejoices_at_y| {s64} rejoices at your decision and the local farmers praise your name. 
qstr__{s64}_happily_order| {s64} happily orders the small shrine built!
qstr__{s64}_orders_that_the_| {s64} orders that the Eunomia Stabilitis shrine be errected!
qstr__The_Knights_of_the_| The Knights of the Dawn are overjoyed.  Not only do they build their shrine to Astraea, they tear down other small shrines in the area!
qstr__The_shrine_is_built| The shrine is built, but it apparently has very few followers.
qstr__{s64}_oversees_the_| {s64} oversees the shrine, but soon after it is built, it is raided and defaced.  People are afraid to visit it.
qstr__{s64}_tries_to_calm_| {s64} tries to calm down the citizens, but to no avail.  Some of them riot in the streets causing economic upheaval. !
qstr__{s64}_infoms_the_Kn| {s64} infoms the Knights of the Dawn and they start to build their shrine.  There is widespread resistance when they attempt to destroy other shrines!
qstr__Zealots_take_arms_a| Zealots take arms against you!
qstr__{s64}_succeeds_in_s| {s64} succeeds in sending the pilgrims away.
qstr__{s64}_is_unable_to_de| {s64} is unable to deal with the pilgrims and there are hard feelings which make the general population unhappy.
qstr__{s64}_sends_for_the| {s64} sends for the Physicians of the Radiant Cross, who come with all haste to treat whose with Malady. The locals are happy with your actions.
qstr__{s64}_is_unable_to_e| {s64} is unable to enlist the aid of the Radiant Cross Knights and the citizens of {s54} are not happy.
qstr__{s64}_manages_to_fi| {s64} manages to find healers, who come with all haste to treat whose with Malady. The locals are happy with your actions.
qstr__{s64}_is_unable_to_en| {s64} is unable to enlist the aid any healers and the citizens of {s54} are not happy.
qstr__{s64}_repents_and_m| {s64} repents and manages to find herbalists, and other healers, who treat those with Malady. The locals are happy with your actions.
qstr__{s64}_prays_for_rep| {s64} prays for repentance and, ultimately, more people are afflicted with disease.  The citizens of {s54} are not happy.
qstr__{s64}_somehow_manages_t| {s64} somehow manages to find herbalists and other healers, who treat those with Malady.
qstr__{s64}_has_no_idea_w| {s64} has no idea what to do and ultimately, more people are afflicted with disease.  The citizens of {s54} are not happy.
qstr_Mettenheim_Plunderer|Mettenheim Plunderers
qstr_Veccavi_Hunters|Veccavi Hunters
qstr_Jatu_Mercenary_Raide|Jatu Mercenary Raiders
qstr_Mercenary_War_Band|Mercenary War Band
qstr_Barclay_Mercenary_Ad|Barclay Mercenary Adventurers
qstr_Melitine_Mercenary_A|Melitine Mercenary Adventurers
qstr_Singalian_Mercenary_|Singalian Mercenary Slavers
qstr__{s64}_informs_the_M| {s64} informs the Mercenary company to move along.
qstr__{s64}_informs_the_Me| {s64} informs the Mercenary company to leave immediately.
qstr__Your_generosity_att| Your generosity attracts additional Mercenaries to your cause.
qstr_{s14}|{s14}
qstr__The_{s20}_is_offend| The {s20} is offended!
qstr__The_Mercenary_compa| The Mercenary company joins your forces in {s54}.
qstr__{s64}_found_the_thi| {s64} found the thief and he most certainly was not stealing from true need.  The citizens think you are soft towards crime.
qstr__{s64}_fails_to_find_t| {s64} fails to find the culprit.  The citizens mutter about the failure to find the thief.
qstr__{s64}_improves_the_| {s64} improves the patrols and the citizens feel safer with no additional events of this nature.
qstr__{s64}_manages_to_se| {s64} manages to search many houses and finds the thief.  There was a brief but fair trial.  The citizens are relieved.
qstr__{s64}_fails_to_find_th| {s64} fails to find the culprit and upsets many citizens in the search.
qstr__{s64}_puts_out_the_| {s64} puts out the reward, and the thief is found and executed promptly. The citizens are thankful.
qstr__Even_with_the_200_d| Even with the 200 denar reward, the thief is nowhere to be found. {s64} fails to find the culprit.  The citizens mutter about the failure to find the thief.
qstr__{s64}_is_able_to_en| {s64} is able to enact the repairs with the help of {reg3} denars.
qstr__{s64}_obtains_the_s| {s64} obtains the services of two engineering students who manage to die when a wall they were constructing falls on them 
qstr__{s64}_is_somehow_ab| {s64} is somehow able to enact the repairs using his own engineering skills.
qstr__{s64}_understands_y| {s64} understands your position and the repairs are not done.
qstr__{s64}_spreads_the_d| {s64} spreads the denars around to your troops, and you have no desertions.
qstr__{s64}_somehow_manages_to| {s64} somehow manages to get tongue tied and garbles your message to the troops.  This has some unfortunate consequences.
qstr__{s64}_spreads_the_w| {s64} spreads the word and all Deserters flee the area.  The good news is you do not have to pay a single Denar!
qstr__{s64}_passes_along_| {s64} passes along your information and fate takes care of the rest.
qstr__{s64}_informs_you_t| {s64} informs you that the Deserters are outside the gates!
qstr_Brigand_Deserters!|Brigand Deserters!
qstr__{s64}_somehow_manages_to_| {s64} somehow manages to convince the trade delegation to part with 2000 Dinars.  The trade route has been set up and a significant bonus to prosperity has been achieved.
qstr__{s64}_reports_that_t| {s64} reports that the trade delgation laughed at your suggestion and left immediately.
qstr__{s64}_sets_up_the_n| {s64} sets up the necessary forms and contacts and arranges the trade route to be set up which gives a significant bonus to the prosperity of {s54}.
qstr__Somehow_{s64}_has_m| Somehow {s64} has managed to insult the trade delegation and they leave in a huff.  The trade route has not been set up.
qstr__The_trade_delegatio| The trade delegation leaves immediately.
qstr_Obliterated|Obliterated
qstr_Destroyed|Destroyed
qstr_Crushed|Crushed
qstr_Fading|Fading
qstr_Weakened|Weakened
qstr_Healthy|Healthy
qstr_Strong|Strong
qstr_Overwhelming|Overwhelming
qstr_Invincible|Invincible
qstr_Nothing_as_there_is_|Nothing as there is no Knighthood Order present.
qstr_{s8}_from_{s7}.|{s8} from {s7}.
qstr_{s6}_from_{s8}.|{s6} from {s8}.
qstr__I_promise_that_your| I promise that your defeat will be glorious!
qstr__Then_let_us_test_ou| Then let us test our battle prowess!
qstr__To_Arms!| To Arms!
qstr___Very_well:_Let_us_|  Very well: Let us do battle!
qstr__You_don_t_look_all_| You don't look all that tough to me!
qstr__If_we_must_let_us_d| If we must, let us die gloriously!
qstr__You_will_join_your_| You will join your ancestors soon!
qstr__You_don_t_look_part| You don't look particularly formidable to me.
qstr__Better_to_die_in_ba| Better to die in battle than live as maggots like you.
qstr__I_ve_seen_more_frig| I've seen more frightening sights than you in a brothel.
qstr__If_I_were_afraid_of| If I were afraid of the likes of you, I'd fall on my sword in disgust.
qstr__Make_peace_with_you| Make peace with your Gods while you still can.
qstr__Do_you_really_think| Do you really think you're all that terrifying?  Hah!
qstr__I_hope_Hell_has_eno| I hope Hell has enough room for you and all your ancestors.
qstr__If_you_think_you_ca| If you think you can win this fight, you're missing a few arrows in your quiver.
qstr__You_intend_to_fight| You intend to fight me?  Which are you, drunk or just plain stupid?
qstr__You!__Stand_aside_m| You!  Stand aside mendicant and show your betters proper respect!
qstr__I_challenge_you_war| I challenge you warrior!  Prove your honor in a feat of arms, or die trying!
qstr__Hail_and_well_met!_| Hail and well met!  Prepare yourself for a long journey.. into your next life!
qstr__Ah_good!__Just_in_t| Ah good!  Just in time to test my steel!
qstr__Have_at_thee_knave!| Have at thee, knave!
qstr__It_s_been_a_boring_| It's been a boring day so I suppose a fight with you will relieve my boredom.
qstr__Challenge_me_will_y| Challenge me, will you?  I'll cut you into ribbons, fool, before I eat your liver.
qstr__You_look_a_bit_lost| You look a bit lost.  Care for a bit of help finding your Maker?  Have at 'em, boys!
qstr__More_Blood!| More Blood!
qstr_no_tidbits_of_value|no tidbits of value
qstr_no_information_of_in|no information of interest
qstr_no_interesting_news|no interesting news
qstr_no_new_rumors_to_rep|no new rumors to report
qstr_no_new_information|no new information
qstr_very_little_worth_re|very little worth repeating
qstr_nothing_but_worthles|nothing but worthless gossip and fishwives tales
qstr_nothing_but_innuendo|nothing but innuendo and worthless boasts
qstr_no_news_worth_repeat|no news worth repeating
qstr__My_{reg63?Captain:L| My {reg63?Captain:Lady},
qstr__Business_has_been_b| Business has been brisk and
qstr__Well_in_truth_{play| Well in truth, {playername},
qstr__Hmmm_{playername}._| Hmmm, {playername}.  My sources have dried up, and
qstr__My_good_{playername| My good {playername}, I have been very busy and
qstr__I_am_sorry_{playern| I am sorry, {playername},
qstr_._Try_next_week.|. Try next week.
qstr_._Perhaps_you_should|. Perhaps you should go ask someone else.
qstr_._You_might_have_bet|. You might have better luck elsewhere.
qstr_._Ask_me_later_say_i|. Ask me later, say in about a week.
qstr_._I_am_sure_there_ar|. I am sure there are others that have the information you are looking for.
qstr_._Perhaps_later_I_wi|. Perhaps later I will overhear something of interest.
qstr_._Come_back_another_|. Come back another time.
qstr_.|.
qstr__{s2}_I_have_heard_{| {s2} I have heard {s5}{s6}
qstr__{s2}_there_have_bee| {s2} there have been {s5}{s6}
qstr__{s2}_I_have_to_say_| {s2} I have to say there is {s5}{s6}
qstr__{s2}_few_people_hav| {s2} few people have been talking and I have heard {s5}{s6}
qstr__{s2}_I_have_been_il| {s2} I have been ill, so I have heard {s5}{s6}
qstr__{s2}_I_have_been_bu| {s2} I have been busy with this shipment so I have {s5} for you{s6}
qstr__{s2}_I_haven_t_had_| {s2} I haven't had the time yet to listen for such, so unfortunately I have {s5} for you{s6}
qstr__{s2}_I_have_been_bus| {s2} I have been busy with my apprentices, so I have {s5} to tell you{s6}
qstr__Ah!_It_is_unfortuna| Ah! It is unfortunate My {reg63?Lord:Lady}, as
qstr__More_is_the_pity_go| More is the pity good {reg63?sir:madame}, as
qstr__I_have_been_idle_to| I have been idle too long, and
qstr__I_have_been_busy_wi| I have been busy with personal matters of late, and
qstr__My_ears_and_eyes_ha| My ears and eyes have been open, but,
qstr__I_am_sorry| I am sorry,
qstr_no_information_of_va|no information of value
qstr_very_little_interest|very little interesting news
qstr_no_valuable_news|no valuable news
qstr_only_worthless_whisp|only worthless whispers
qstr_nothing_but_the_chan|nothing but the change of weather and drunken songs
qstr_only_unconfirmed_whi|only unconfirmed whispers of no value
qstr_only_unsubstantiated|only unsubstantiated gossip for
qstr_._I_am_sorry_my_frie|. I am sorry my friend, there are times when I'm just not privy to the happenings of the land.
qstr_._These_things_happe|. These things happen.  In a day or two I will have some more tantalizing gossip for you.
qstr_._That_will_change_h|. That will change however, as it always does.  Then I will hear something of great value.
qstr_.__If_you_are_in_a_h|.  If you are in a hurry, try speaking to the merchants or stewards, sometimes they hear nuggets of information.
qstr_._Never_fear_my_ear_|. Never fear, my ear is to the ground and I am bound to hear something soon.. it is, after all, my profession!
qstr_._Let_me_snoop_about|. Let me snoop about and ask some questions.  In a day or two come back and I should know more.
qstr_._Perhaps_you_should_|. Perhaps you should come back tomorrow. A few drinks here, a lover's whisper there, and information flows like water.
qstr__{s2}_I_have_to_admi| {s2} I have to admit there is {s5}{s6}
qstr__{s2}_so_few_people_| {s2} so few people have been gossiping.  I have heard {s5}{s6}
qstr__{s2}_I_have_encount| {s2} I have encountered so few people of late, so I have heard {s5}{s6}
qstr__{s2}_I_have_been_en| {s2} I have been engaged on a secret mission, so I have {s5}{s6}
qstr__{s2}_I_wish_I_had_b| {s2} I wish I had better news for you, but as the fates would have it, I have {s5} for you{s6}
qstr__{s2}_I_have_been_oc| {s2} I have been occupied with business of a paying nature, so I have {s5} to tell you{s6}
qstr__Ah!_It_is_an_unluck| Ah! It is an unlucky turn of events, good {reg63?Sir:Lady}, as
qstr__Sad_tales_good_{reg| Sad tales, good {reg63?sir:madame}, as
qstr__I_have_been_too_bus| I have been too busy with the flesh trade, and
qstr__My_ears_are_open_bu| My ears are open, but,
qstr_so_little_coherent_i|so little coherent information of value
qstr_no_gossip_of_interes|no gossip of interest
qstr_very_little_interesti|very little interesting news to share
qstr_only_worthless_slave|only worthless slave talk
qstr_nothing_but_the_crie|nothing but the cries of women and moans of bench slaves
qstr_only_the_wild_tales_|only the wild tales of the soon to be shackled
qstr_only_minor_gossip_an|only minor gossip and talk of endless wars
qstr_._I_am_sorry_my_prof|. I am sorry, my profession is to enslave the unwilling, not listen to their tales of woe.
qstr_._Information_like_w|. Information like what you seek comes to me every week or so.  Check back then.
qstr_._Pity_too_as_I_coul|. Pity too, as I could use some juicy gossip to lift my spirits.
qstr_._If_you_are_in_a_hu|. If you are in a hurry, try speaking to the other patrons in the taverns and maybe even the merchants.
qstr_._If_you_want_to_kno|. If you want to know the real juicy stories, then seek out those wandering spies in the taverns.  They know a thing or two.
qstr_._Those_guild_rats_n|. Those guild-rats never tell me anything.  Just buy the flesh, pay the coin and staff the galleys!
qstr_._Hell_I_am_bound_to|. Hell, I am bound to hear something worth passing on at some point during this next week.  I always do.
qstr_._Perhaps_you_should_c|. Perhaps you should come back next week.  I am expecting a delivery soon and that source always spins a good yarn.
qstr__{s2}_I_must_tell_yo| {s2} I must tell you I have heard {s5}{s6}
qstr__{s2}_so_few_people_h| {s2} so few people have been willing to speak.  I have heard {s5}{s6}
qstr__{s2}_I_have_encounte| {s2} I have encountered only slaves of late, so I have heard {s5}{s6}
qstr__{s2}_I_have_been_sp| {s2} I have been speaking to the guild masters, so I have {s5} for you{s6}
qstr__{s2}_I_wish_that_my| {s2} I wish that my tidings were better. As the fates would have it I have heard {s5}{s6}
qstr__{s2}_I_have_been_ov| {s2} I have been overtaxed with some escaped slaves, so I have {s5} to tell you{s6}
qstr_no_news|no news
qstr_only_worthless_infor|only worthless information
qstr_nothing_but_soldiers|nothing but soldiers' tales and cooks' gossip
qstr_unsubstantiated_goss|unsubstantiated gossip
qstr__My_{reg63?Lord:Lady| My {reg63?Lord:Lady},
qstr__Castle_business_is_| Castle business is taxing and
qstr__Of_course_good_{reg| Of course good {reg63?Lord:Lady},
qstr__My_sources_are_mute| My sources are muted,
qstr_._I_am_sorry_{reg63?|. I am sorry {reg63?Lord:Lady}, I will try harder to listen in the future.
qstr_._Perhaps_you_should_a|. Perhaps you should ask someone else.  A spy perhaps?
qstr_._Have_you_tried_see|. Have you tried seeking information in the Taverns?
qstr_._Have_you_thought_o|. Have you thought of asking Merchants, they are in contact with many sorts of travelers and hear many rumors and newsworthy tidbits.
qstr_._I_am_sure_that_the|. I am sure that there are others that have the information you seek.
qstr_._I_am_not_a_rumor_m|. I am not a rumor monger my {reg63?Lord:Lady}, so I do not have a tendency to seek out gossip.
qstr_._Perhaps_you_should_co|. Perhaps you should come back another time.  One never knows what one will overhear in these halls.
qstr__{s2}_few_people_have| {s2} few people have been gossiping.  I have heard {s5}{s6}
qstr__{s2}_I_have_been_busy| {s2} I have been busy in the castle, so I have heard {s5}{s6}
qstr__{s2}_I_have_not_had| {s2} I have not had the time to listen to idle gossip, so I have {s5} for you{s6}
qstr__{s2}_I_wish_I_had_be| {s2} I wish I had better news for you, but unfortunately I have {s5} for you{s6}
qstr__{s2}_I_have_been_busy_| {s2} I have been busy with the pages, cooks, and chambermaids, so I have {s5} to tell you{s6}
qstr__a_little_something| a little something
qstr__a_rumor| a rumor
qstr__an_interesting_tale| an interesting tale
qstr__something_of_intere| something of interest
qstr__some_dark_whispers| some dark whispers
qstr__a_piece_of_informat| a piece of information
qstr__a_newsworthy_story| a newsworthy story
qstr__some_troubling_news| some troubling news
qstr__some_worthwhile_inf| some worthwhile information
qstr__a_story| a story
qstr__Ah_yes!__I_do_know{| Ah yes!  I do know{s9} which would interest you.
qstr__I_m_glad_you_asked_| I'm glad you asked {reg63?Lord:Lady} {playername}.
qstr__As_a_matter_of_fact| As a matter of fact,{s9} did pass my way.
qstr__Funny_you_should_as| Funny you should ask that.
qstr__Hmm.._yes!__I_did_h| Hmm.. yes!  I did hear{s9} recently.
qstr__Ha!__Yes_I_did_run_| Ha!  Yes, I did run across{s9} which you may find of value.
qstr__Well_yes_I_have_bee| Well, yes I have been told{s9}.
qstr__{s2}_I_have_been_so| {s2} I have been so busy with these shipments I almost forgot about it!
qstr__{s2}_Almost_slipped| {s2} Almost slipped my mind!
qstr__{s2}_Terrible_it_is| {s2} Terrible it is, terrible I tell you!  Makes one lose sleep at night it does!
qstr__{s2}_A_sad_state_of| {s2} A sad state of affairs it is too.
qstr__{s2}_Gives_me_the_c| {s2} Gives me the chills it does!  Right up my spine!
qstr__{s2}_Nasty_bit_of_b| {s2} Nasty bit of business it is too.
qstr__{s2}_Makes_me_wonde| {s2} Makes me wonder what our land is coming to ya know.
qstr__{s2}_It_makes_me_gl| {s2} It makes me glad that I am safe behind these walls let me tell you!
qstr__{s2}_May_the_fates_| {s2} May the fates protect us, my {reg63?Lord:Lady}.
qstr__Ah!_Well_met.| Ah! Well met.
qstr__Well_met_Captain.| Well met, Captain.
qstr__Ah!_I_am_glad_you_a| Ah! I am glad you asked.
qstr__Well_my_{reg63?Lord| Well, my {reg63?Lord:Lady}, I believe fortune smiles upon you.
qstr__Please_keep_your_vo| Please keep your voice down, my friend.
qstr__Please_sit_down_wit| Please sit down with me, good {reg63?Lord:lady}.
qstr__My_{reg63?lord:Lady| My {reg63?lord:Lady}, lower your voice, information is power and ears are everywhere.
qstr__Well_met_my_{reg63?| Well met, my {reg63?lord:Lady} {playername}.
qstr__{reg63?Lord:Lady}_{| {reg63?Lord:Lady} {playername}, you have come just at the right time.
qstr__Ah_yes.__You_have_c| Ah yes.  You have come to the right person.
qstr__{s10}__I_have{s9}_f| {s10}  I have{s9} for you.
qstr__{s10}__I_was_told{s| {s10}  I was told{s9} as a matter of personal trust.
qstr__{s10}__I_trust_you_| {s10}  I trust you will keep this between us.  I was given{s9} in confidence.
qstr__{s10}_I_do_indeed_h| {s10} I do indeed have{s9} for you.
qstr__{s10}__I_was_privy_| {s10}  I was privy to{s9}.
qstr__{s10}__I_did_run_ac| {s10}  I did run across{s9} that you may find of value.
qstr__{s10}__Well{s9}_was| {s10}  Well,{s9} was relayed to me.
qstr__{s2}_It_is_a_good_t| {s2} It is a good thing that I have keen ears and watch for such things!
qstr__{s2}_Very_interesti| {s2} Very interesting news, I must say!
qstr__{s2}_I_hope_you_use| {s2} I hope you use this information well!
qstr__{s2}_Important_info| {s2} Important information, like wine, does not flow freely.
qstr__{s2}_Come_sit_down_| {s2} Come, sit down and let me share the details with you.
qstr__{s2}_It_never_cease| {s2} It never ceases to amaze me what people know and are willing to share.
qstr__{s2}_I_know_you_wil| {s2} I know you will find this at least mildly useful.
qstr__{s2}_Perhaps_I_will| {s2} Perhaps I will stay here a bit longer, as traveling has become more dangerous.
qstr__{s2}_Please_use_wha| {s2} Please use what I am about to tell you well.
qstr__a_little_morsel| a little morsel
qstr__a_nasty_little_rumo| a nasty little rumor
qstr__an_interesting_yarn| an interesting yarn
qstr__a_tidbit_of_interes| a tidbit of interest
qstr__a_whisper_of_inform| a whisper of information
qstr__a_second_hand_story| a second-hand story
qstr__some_secret_gossip| some secret gossip
qstr__Ah!_Hello_Captain.| Ah! Hello, Captain.
qstr__Aye.._that_I_have.| Aye.. that I have.
qstr__You_are_in_luck.| You are in luck.
qstr__Yes_my_{reg63?Lord:| Yes, my {reg63?Lord:Lady}, I do.
qstr__Please_keep_your_voi| Please keep your voice to a whisper, my friend.
qstr__Aye_I_have_an_ear_a| Aye, I have an ear and a tale to tell.
qstr__My_{reg63?lord:Lady}| My {reg63?lord:Lady}, keep your voice to a whisper if you value both of our lives.
qstr__Well_met_my_{reg63?l| Well met, my {reg63?lord:Lady} {playername}.  If the Brotherhood found out I was selling information, then we would both be in danger.
qstr__{reg63?Lord:Lady}_{p| {reg63?Lord:Lady} {playername} you are in luck.
qstr__Preserve_me_from_sh| Preserve me from shackles, and bless me, I have what you want.
qstr__{s10}__I_was_told{s9| {s10}  I was told{s9}. Treat this as a matter of personal trust between us.
qstr__{s10}__Yes_this_mus| {s10}  Yes, this must be kept just between us.  I came across{s9}.
qstr__{s10}__I_was_fortun| {s10}  I was fortunate to have heard{s9}.
qstr__{s10}__I_was_in_the| {s10}  I was in the right place at the right time to hear{s9}.
qstr__{s10}__I_did_come_a| {s10}  I did come across{s9} that you may find of value.
qstr__{s10}__Well{s9}_was_| {s10}  Well,{s9} was told to me.
qstr__{s2}_I_meet_all_sor| {s2} I meet all sorts in my line of work and most are eager to spill their secrets if it keeps them out of shackles.
qstr__{s2}_I_hope_that_th| {s2} I hope that this information is worth it to you.
qstr__{s2}_This_is_someth| {s2} This is something that my associates would want to hear as well, just so you know.
qstr__{s2}_I_am_glad_that| {s2} I am glad that you are wary of who you talk to, not all are who they seem.
qstr__{s2}_I_put_myself_i| {s2} I put myself in danger by speaking to you, but I need the coin.
qstr__{s2}_Let_us_keep_th| {s2} Let us keep this discussion to ourselves, shall we?
qstr__{s2}_By_the_way_be_| {s2} By the way, be careful. The Brotherhood has had some inquires about your activities.
qstr__{s2}_I_must_make_a_| {s2} I must make a report of this information to Brotherhood as well, but you are hearing it first.
qstr__{s2}_Please_tell_no| {s2} Please tell no one, the Brotherhood frowns upon us making coin on the side.
qstr__a_little_rumor| a little rumor
qstr__a_tale| a tale
qstr__a_sliver_of_informa| a sliver of information
qstr__some_gossip| some gossip
qstr__Ah!_Well_met_{reg63| Ah! Well met, {reg63?Lord:Lady} {playername}.
qstr__Yes_indeed_I_have_h| Yes, indeed I have heard something.
qstr__Greetings_my_{reg63| Greetings, my {reg63?Lord:Lady}.
qstr__Yes_my_{reg63?Lord:L| Yes, my {reg63?Lord:Lady}, I do have something for you.
qstr__Favor_smiles_upon_y| Favor smiles upon you, my {reg63?Lord:Lady}.
qstr__Aye_my_{reg63?Lord:| Aye, my {reg63?Lord:Lady}, there is something I have heard.
qstr__My_{reg63?lord:Lady}_| My {reg63?lord:Lady}, I do have something worthwhile for you.
qstr__Well_met_my_{reg63?lo| Well met, my {reg63?lord:Lady} {playername}, you are in luck.
qstr__{reg63?Lord:Lady}_{pl| {reg63?Lord:Lady} {playername}, fate smiles upon you.
qstr__Not_that_I_indulge_| Not that I indulge in such rumor-mongering, my {reg63?Lord:Lady}, but I have heard something.
qstr__{s10}__I_was_told{s9}| {s10}  I was told{s9} that made me think of you.
qstr__{s10}__Yes{s9}_was_| {s10}  Yes,{s9} was told to me and I made it a point to remember it.
qstr__{s10}__I_overheard{| {s10}  I overheard{s9} and was fortunate enough to make a note of it.
qstr__{s10}__I_was_inform| {s10}  I was informed of{s9} that may pique your interest.
qstr__{s2}_Usually_I_am_t| {s2} Usually I am too busy to pay attention to such gossip.
qstr__{s2}_I_hope_that_yo| {s2} I hope that you will find this useful.
qstr__{s2}_I_do_hope_that| {s2} I do hope that this will be of some use to you.
qstr__{s2}_Makes_me_wonder| {s2} Makes me wonder what dangers lurk outside these walls.
qstr__{s2}_I_have_gained_| {s2} I have gained a new appreciation for the dangers which you face.
qstr__{s2}_It_is_my_duty_| {s2} It is my duty and honor to serve you, {reg63?Lord:Lady}. I hope this is the sort of information you were looking for.
qstr__{s2}_By_the_way_my_| {s2} By the way, my {reg63?Lord:Lady}, be careful in your journeys.
qstr__{s2}_The_castle_is_| {s2} The castle is bustling with activity, my {reg63?Lord:Lady}, and usually I cannot spare the time to engage in this type of information gathering.
qstr__{s2}_Even_I_found_t| {s2} Even I found this of interest, my {reg63?Lord:Lady}.
qstr_{s2}_It_s_regarding_|{s2} It's regarding {s14}. {s4}
qstr_{s2}_{s4}_about_{s14|{s2} {s4} about {s14}.
qstr_{s2}_{s4}_regarding_|{s2} {s4} regarding {s14}.
qstr_{s2}_{s4}_concerning|{s2} {s4} concerning {s14}.
qstr_{s2}_My_informant_{s|{s2} My informant, {s11} told me {s9} about {s14}.
qstr_{s2}_It_s_{s9}_from_|{s2} It's {s9} from {s11} about {s14}.
qstr_{s3}_{s4}_{s34}|{s3} {s4} {s34}
qstr_a_story|a story
qstr_a_tale|a tale
qstr_a_rumor|a rumor
qstr_a_piece_of_gossip|a piece of gossip
qstr_an_intriguing_story|an intriguing story
qstr_a_piece_of_informati|a piece of information
qstr_a_fascinating_tale|a fascinating tale
qstr_a_yarn|a yarn
qstr_an_interesting_story|an interesting story
qstr_an_interesting_rumor|an interesting rumor
qstr_a_sordid_tale|a sordid tale
qstr_{s50}|{s50}
qstr_a_nameless_acquainta|a nameless acquaintance,
qstr_conducting_business_|conducting business which we will not discuss
qstr_waiting_to_meet_some|waiting to meet someone
qstr_waiting_for_someone|waiting for someone
qstr_someone_who_shall_no|someone who shall not be named,
qstr_hurrying_to_meet_som|hurrying to meet someone important
qstr_was_collecting_somet|was collecting something owed to him
qstr_avoiding_the_militia|avoiding the militia patrol
qstr_a_person_best_not_na|a person best not named,
qstr_hurrying_to_meet_a_f|hurrying to meet a friend
qstr_waiting_to_meet_an_a|waiting to meet an associate
qstr_hiding_to_avoid_bein|hiding to avoid being followed
qstr_a_person_who_is_best|a person who is best left in shadows,
qstr_waiting_to_receive_a|waiting to receive a report from an underling
qstr_on_the_way_to_meet_a|on the way to meet an associate
qstr_waiting_to_meet_one_|waiting to meet one of his men
qstr_an_acquaintance|an acquaintance,
qstr_minding_his_own_busi|minding his own business
qstr_not_paying_much_atte|not paying much attention
qstr_an_acquaintance_name|an acquaintance named {s12},
qstr_doing_some_chores|doing some chores
qstr_going_to_meet_someon|going to meet someone
qstr_{s12}_an_acquaintanc|{s12}, an acquaintance of mine,
qstr_a_mercenary_calling_|a mercenary calling himself {s12},
qstr_waiting_for_his_capt|waiting for his captain
qstr_looking_for_some_ent|looking for some entertainment
qstr_looking_for_his_swor|looking for his sword mates
qstr_heading_to_town_to_s|heading to town to seek work
qstr_on_a_scouting_missio|on a scouting mission for his captain
qstr_looking_for_his_capt|looking for his captain
qstr_a_strange_traveler|a strange traveler,
qstr_looking_for_somewher|looking for somewhere to eat
qstr_wandering_the_town|wandering the town
qstr_resting_on_the_side_|resting on the side of the road
qstr_cooking_some_hens_ov|cooking some hens over a small campfire
qstr_walking_along_the_ro|walking along the road
qstr_a_traveler_named_{s1|a traveler named {s12},
qstr_looking_for_somethin|looking for something to eat
qstr_exploring|exploring
qstr_making_camp_along_th|making camp along the side of the road
qstr_breaking_camp|breaking camp
qstr_walking_with_a_group|walking with a group of refugees
qstr_a_refugee|a refugee,
qstr_looking_for_shelter|looking for shelter
qstr_heading_to_the_next_|heading to the next town
qstr_a_young_hunter_named|a young hunter named {s12},
qstr_waiting_for_another_|waiting for another hunter
qstr_preparing_to_go_on_a|preparing to go on a hunting trip
qstr_heading_out_of_the_t|heading out of the town
qstr_looking_for_game|looking for game
qstr_a_traveling_merchant|a traveling merchant,
qstr_waiting_for_his_appr|waiting for his apprentice
qstr_moving_inventory_ont|moving inventory onto his wagon
qstr_looking_for_his_cara|looking for his caravan guards
qstr_heading_to_town_to_se|heading to town to sell his goods
qstr_riding_along_the_roa|riding along the road
qstr_a_merchant_named_{s1|a merchant named {s12},
qstr_looking_for_his_appr|looking for his apprentice
qstr_meeting_a_money_lend|meeting a money lender
qstr_waiting_for_a_custom|waiting for a customer
qstr_making_camp|making camp
qstr_a_wandering_Knight_o|a wandering Knight of the Dawn,
qstr_looking_for_his_squi|looking for his squire
qstr_tending_to_his_horse|tending to his horse
qstr_patrolling_the_stree|patrolling the street
qstr_helping_some_refugee|helping some refugees
qstr_patrolling_the_road|patrolling the road
qstr_an_adventurer_callin|an adventurer calling himself {s12},
qstr_looking_for_his_frie|looking for his friend
qstr_resting_under_a_tree|resting under a tree alongside the road
qstr_an_abbot_called_{s12|an abbot called {s12},
qstr_rushing_to_the_aid_o|rushing to the aid of a sick friend
qstr_helping_refugees|helping refugees
