str_no_string|NO STRING!
str_npc_lethaldiran_home_intro|Hmm, we're a trifle close to my home territory for my comfort, but I admit I've missed these woods. I hunted here often as a lad.
str_npc_jocelyn_home_intro|This is a fine town, filled with handsome houses and prosperous burghers, with a rich trade in furs. I have missed the snows of Barclay.
str_npc_alistair_home_intro|I miss our Barclay banquets. My father used to order criminals and other riffraff tortured during his feasts, and their shrieks of agony quite stimulated my appetite. His torturer was exceptionally skillful.
str_npc_rayne_home_intro|Behold the walls of Rane, the strongest fortress in all Pendor. My father spent many summers here, jousting for the honor of the Knights of the Falcon in the tournaments held here. He won ten tournaments straight in his youth, a record that stands to this day.
str_npc_julia_home_intro|Ah! Do you smell that fresh air, Captain? This was my home, before I left under the circumstances we previously discussed. It's good to be here again, though it brings me bittersweet memories. Somewhere near is the cave I hid in, the first month after I left Janos.
str_npc_frederick_home_intro|There is too much fresh air in Pendor. I miss the smoke and acrid scents of smelting ore, the clang of weapons being forged. I find I do not care for the odors of dung and fresh-plowed earth.
str_npc_ediz_home_intro|In the deep desert, the vistas are endless; an eternity of sand broken only by gusts of wind, the tracks of sand snakes and bones left by the vultures. It is stark, but very beautiful.
str_npc_sara_home_intro|Ah, such a lovely spot, here by the deep lake. I spent many a happy day here, the summer before last.
str_npc_donavan_home_intro|Do you see that fortress over there? I spent a winter there some years back, trying to train the lord's men.
str_npc_diev_home_intro|Rane's a fine town, for all the poor outnumber the rich by fifty to one. I had some fine times with what a lord would call 'riffraff' here, I can tell you. Each time I shot a wild boar or a deer in the Lord's preserve, we'd feast in the alleys.
str_npc_alyssa_home_intro|I miss the Sserpent Temple, with its undulating carvingss and the quiet there. I also greatly miss my little pet. He wass emerald color, with ssilvery eyes and coiled about my neck like a necklace more beautiful than any jewel.
str_npc_roland_home_intro|I was born near Cez, as I may have told you. It's a beautiful city, bustling with traders, with the lapping of the waves as background music. Marius has done much for it, most particularly in his efforts to drive out the accursed Snake Cult. Our shrines are to Damia Provideo, the original Pendor godesss.
str_npc_kaverra_home_intro|We're near my home village, Captain. It's just a fishing village, but we made a good living before the Raiders started coming so often. Jayek has a fleet of twenty fishing boats, you know, the biggest village fleet in the Fierdsvain.
str_npc_sigismund_home_intro|That's my village, just over the next hill. I can smell the new-turned earth already; they must be plowing today. Thanks to us in no small part, they can plow in safety, with a fair chance of getting a good harvest from their labors.
str_npc_boadice_home_intro|The longer I stay in this revolting land, the more I miss my island. Our weather was quite temperate, and I slept each night with the sound of waves for a lullaby. I should like to command an army again, as well, rather than simply being a common trooper.
str_npc_adonja_home_description|Vejovis appears in the form of a mountain cat, but only to our shamans. When the shamans see Vejovis, they know he's telling us it's time for another foray, and he'll watch over us while we're raiding.
str_npc_leslie_home_description|People say the Fierdsvainers are barbarians, but they have good heads for trade. The people up and down the coast grow flax, which they weave into linen. It can't compete with Janos silks and velvets as a luxury fabric, but it makes good summertime wear, as well as sails for ships. Linen was one of the few goods that someone else in Pendor wasn't already making.
str_npc_ansen_home_description|Ethos has wet winters and hot summers, but the people here build great cisterns to water their crops. They grow wonderful grapes - Ethosian wine is famous, my {reg63?Lord:Lady}. Those who can afford it have walled gardens, where fruit trees grow in abundance. We'd sit at night listening to music, or playing chess, or just enjoying the sweet scents of the night air.
str_npc_riva_home_description|The King of Sarleon declared this to be his personal hunting preserve, and said he'd hang anyone who as much as strung a bow here. What's the result? A family grows hungry, and the father poaches to feed them. The Lord's Sheriff hangs him, and takes his land. His sons, rather than starve, turn bandit. Naturally, anyone in the valley escaping a debt, a nagging wife or a vengeful noble comes up here and joins them, living on wild pigs, berries and the purses of unwary travelers.
str_npc_kassim_home_description|The D'Shar have long come here, to trade and raid, and in the last days of the Kingdom of Pendor, we began to settle. Our ancestors took the King's coin to keep the other tribes at bay. We began trading and built settlements to protect our markets. Those settlements became the cities that you see today. Odd that a nomadic people could tolerate living in the same place for even a week, let alone centuries.
str_npc_lethaldiran_home_description|I do find it difficult being surrounded by humans, rather than amongst my own kind. Have you any idea how foul most of you smell? Noldor cleanliness standards are vastly higher than those of humans.
str_npc_jocelyn_home_description|I've grown to like snow here in Pendor, so now I enjoy crispy air and the feel of a cold day, the sound of snow crunching beneath my horse's hooves. My energies wane in warmer climes. It is a pleasure to ride in snow again.
str_npc_alistair_home_description|His torturer used to flay them, layer by layer, and could make them last throughout the feast. He was quite talented. What delightful evenings they were!
str_npc_rayne_home_description|I have often wondered if Rane's glory influenced my father's choice of name for me, his only son. I never asked him, and now that he's dead, I cannot. It is a fine name though, don't you think? Too bad that I am the last, both of my Knighthood Order and of my line. I alone am charged by the gods to restore my order, and I cannot rest until I have done so.
str_npc_julia_home_description|It was one of the most frightening times of my life. The Snake Cult was everywhere back then, currying favor with their foul God in revolting ways. No one was safe. Marius changed all of that, and good for him. He is the only noble I'd say is worth a damn. Still, I don't doubt he has an evil side as well. All nobles keep dark secrets and stain their souls with treachery.
str_npc_frederick_home_description|I would give much to see Mettenheim again, to walk its rocky tracks, to see our great volcano belching smoke to rival the smoke of our forges.
str_npc_ediz_home_description|I'd like to ride once again across the desert with my clanbrothers at my side, rivalling the wind itself with our speed.
str_npc_sara_home_description|Once, I came here with a small group of friends for a picnic. There were ten of us, two ladies, seven young lords and me. We were attacked by a coven of Heretics, who thought we'd be easy pickings. Two of the lads fled straight away and the others proved no match for the coven. The two young ladies and I were left with five bloodthirsty Heretics who planned to sacrifice us on the spot. The only sacrifices made that day were the lives of those Heretics!
str_npc_donavan_home_description|I say 'trying' because, in my opinion, the men of Ravenstern don't understand discipline. They are undoubtedly the finest archers in Pendor, and good riders too, but they've no talent for fighting in ranks. Their skills serve them well enough against bandits and Mystmountain Raiders, and against an army when they're behind walls. Get them outside the walls, though, and a company of heavy lances can cut through a Ravenstern formation like a knife through butter. For my money, the Empire produces the best soldiers. Their Pikemen and Legionnaires are the most disciplined soldiers I have encountered outside Barclay.
str_npc_diev_home_description|It's a crime, it is, that a few in Rane are so rich, when so many go hungry every day. I despise those fat Lords and merchants, who sit gorging on food they don't need, while brats in the alleys cry from hunger and steal garbage to eat.
str_npc_alyssa_home_description|We sspend our days in quiet contemplation of the greatness of Azi Dahaka, broken only by forays to obtain fressh ssacrifices.
str_npc_roland_home_description|We were on our way to the Harvest Festival when the Serpents took my parents. I still remember those festivals, Damia's shrine heaped with ripe ears of corn, everyone celebrating the end of a good harvest. Musicians came from miles around and there was dancing in the town square at night.
str_npc_kaverra_home_description|My granfer used special woods to smoke our fish, gave it a taste no other smoked fish had, and brought us a better price from the traders. I heard tell that even the King used to ask for Jayek smoked fish for his table. Far's I'm concerned, if I never eat another fish, it'll be too soon.
str_npc_sigismund_home_description|I'd give all I have, if I could once again be a simple village farmer. End of the day, I'd take my Claire's hand and lead her home, and never leave. If she even mentioned soldiering, I'd shut her mouth with a kiss right quick, and tell her home's the place for people like us.
str_npc_boadice_home_description|A balmy wind would carry the rattle of palm fronds and the scent of our gardens throughout the city. I was given only the greatest respect by our male slaves, utterly unlike the disrespect shown me by the ungelded clods here in Pendor.
str_npc_adonja_home_description_2|The feel of an icy mist on your face wakes you up right in the morning. I'm tired of warm weather. I'd like to see the snow on my mountains again.
str_npc_leslie_home_description_2|My brother and I had saffron, cinnamon, cloves, pepper and other spices and a chest full of denars. From Javiksholm, we travelled towards Laria, to trade for Noldor artifacts and pottery. We estimated that, even if we couldn't find artifacts, we could buy linens, furs, velvet, iron and wool, the extra horses to carry them back to Javiksholm, and still make a profit. If only we'd taken the Jatu into account!
str_npc_ansen_home_description_2|The poets call Ethos a paradise, and I think that, for once, they do not take poetic license.
str_npc_riva_home_description_2|I know this because I was taken by bandits, and held for ransom, but I got away. That's really all there is to tell.
str_npc_kassim_home_description_2|Our famous D'Shar warrior poet, Khushal Khan Khattack was born here. This is one of the best lines from his immortal verse: 'My soul rejoices as my scimitar reddens, sticky with the blood of my enemies; I gain strength from my kills and my wounds are as nothing. I laugh with delight as the vultures devour their rotting dead.'
str_npc_lethaldiran_home_description_2|I also miss our music - your clumsy pipes and whistles cannot compare to a Noldor flute, and your croaking is by and large unmelodious.
str_npc_jocelyn_home_description_2|In Barclay as a child, I greatly enjoyed snowball fights. It snows rarely there, so a snowstorm is always a special event to us.
str_npc_alistair_home_description_2|I made full use of our right of jus primae noctis in our villages, as well, since dear Pater was a trifle past such activities, due to his drinking habits. I can safely say that even the plainest virgins went to their marriage beds considerably more experienced than they came to mine. Even the fat ones had a certain cushiony appeal, and they were soft to sleep on when I was done with them.
str_npc_rayne_home_description_2|I spent most of my life in the hall of our Order in Rane, studying and training with sword and lance. I still miss those days and will treasure my memories of them for the rest of my life. Our order was outlawed when Gregory IV assumed the throne over his elder sister, Madame Ursula. She was a knight of our Order, and none could dispute the strength of her arm. Politics in Ravenstern were not always thus. Under the Kings of old, many Knighthood Orders cooperated for the sake of the King and the people. It is a pity those times have gone forever.
str_npc_julia_home_description_2|Before Julius turned evil, we'd hike here to search the ruins for ancient artifacts. We'd find old pottery and other interesting things when we were lucky. Once we found an old dagger buried in the mud. The handle had rotted away, but the blade was as clean and sharp as one new-made. We gave it to my Dad, and I hate to think what he used it for. I hope that priestess lady he guarded died by it. That would be a fitting use for such a blade, wouldn't it?
str_npc_frederick_home_description_2|These paltry hillocks you call mountains here in Pendor cannot compare with the magnificence of our central volcano, Aysenberg, rising like a spire in the center of our island.
str_npc_ediz_home_description_2|I long for the smell of kebab roasting over a dried dung fire, for the nutty taste the dung imparts to the meat. I would kill for a pot of my mother's pulao.
str_npc_sara_home_description_2|When I was done, the ladies were in hysterics and the lads were all wounded. I concocted a tale for their sires of how their valor had saved us all. The lads knew who the real heroine was, but were ashamed to admit that I'd saved all their lives. For the rest of that summer, they went in terror that I'd reveal what had really happened. I thought to make a song about our adventure, but relented in the end, and did not.
str_npc_donavan_home_description_2|If anyone ever unifies Pendor, I'll serve them, free of charge. I'll sail to Barclay, hire a a few companies and bring them back here. Barclay is more advanced than Pendor in the ways of warcraft. A company of Barclay infantry and two companies of Barclay Imperial Lanciers would make the king invincible.
str_npc_diev_home_description_2|Still, I might go back to Rane one day, if only to see how my adoptive parents are. They had a comfortable house and a good life there, and I might have more of a taste for that sort of life now than I had as a lad.
str_npc_alyssa_home_description_2|I am ssick of eating only bread, cabbage and apples! Do these Pendorians grow no vegetables at all?!
str_npc_roland_home_description_2|The Empire celebrates no festivals now, because those filthy Serpent Cultists are everywhere. We must find and kill more of them, Captain, they befoul all Pendor, not just the Empire. Though my loyalty is to my Order, now, I cannot help but mourn what the Empire has become.
str_npc_kaverra_home_description_2|Our fishermen can find schools of fish better'n most. They got a thing called a 'compass' that tells 'em where they are, Granfer got it from some Ravenstern trader. Our farmland's good, too, and Thallo walks our fields each spring. My uncle saw her once.
str_npc_sigismund_home_description_2|I used to hope I'd see Thallo, walking my fields of an early morn, and think she'd maybe give me one of her flowers. Her flowers make the seeds sprout quicker and the harvest heavier, you know, if she gifts a farmer with one.
str_npc_boadice_home_description_2|At the snap of my fingers, a dozen male slaves appeared, all eager to please me. A wave of my hand sent them scurrying to do my bidding.
str_npc_adonja_home_recap|I'm proud to come from the Catsclaw clan, and strong because I grew up in the Mystmountains under Vejovis' protection. If you have friendly enough relations with the tribes, ask me about connections; I might have something that would interest you.
str_npc_leslie_home_recap|I was born over the Western Sea, in the city-state called Barclay. I'm a merchant, the daughter of a merchant, and the granddaughter of a merchant.
str_npc_ansen_home_recap|I was born in my father's house in {s20}, but I spent much of my childhood in {s21}.
str_npc_riva_home_recap|I grew up in a manor just outside Laria. Its nothing like it once was, but it has been in our family for generations.
str_npc_kassim_home_recap|I was born in the high passes on the other side of the Pamirs, past Torbah, but I have relatives in Singal.
str_npc_lethaldiran_home_recap|I am of the House of Ithilrandir and take pride in my ancestry, despite my exile.
str_npc_jocelyn_home_recap|I hope to retire to Barclay and perhaps train the young sons of nobles in the knightly skills. Alas, there is no longer a place within my Order to house me in my old age.
str_npc_alistair_home_recap|Ah, the refinements of Barclay! Pendor's lack of amenities is quite nearly insupportable and I long for the delights and comforts of home.
str_npc_rayne_home_recap|I was born in Senderfall but spent most of my life in Rane, where the Halls of the Order of the Falcon once stood.
str_npc_julia_home_recap|I was born and raised in Janos. Maybe someday I will return.
str_npc_frederick_home_recap|I have nearly lost hope that I will ever see Mettenheim again. I fear they think me dead with the rest of the delegation.
str_npc_ediz_home_recap|The day I ride once again into my home camp with my honor restored will be the happiest day of my life.
str_npc_sara_home_recap|Oh, far away from here, my Captain. I live here and there, but I don't call any place home for very long. That would be too boring.
str_npc_donavan_home_recap|I am the younger son of the Count of Dunglave, whose fief lies northwest of Barclay, across your Western Sea.
str_npc_diev_home_recap|I had some right fine times in Rane, and sometimes I wonder if any of my friends there are still alive.
str_npc_alyssa_home_recap|I would never have tried to poisson my rival, had I known my action would lead to thiss misserable exile in Pendor.
str_npc_roland_home_recap|I recall the scents of Cez, as well, spice, fish, overripe vegetables in the market, overlaid with the scents of the flowers planted in the boxes on the fronts of all the houses.
str_npc_kaverra_home_recap|Sometimes I miss going to sleep to the sound of the waves in Jayek, but that's about all I miss about living in a fishing village. I'd rather gut a man than a fish, any day.
str_npc_sigismund_home_recap|Maybe, one day, I'll go back to Vezin. Still, as they say, you can't turn back time, and nobody gets to go home again. Likely the village wouldn't want a man like me living there anyway.
str_npc_boadice_home_recap|When I rule Veccavi once again, my sister's head shall be the first to roll!
str_npc_adonja_honorific|Chief, er, Captain
str_npc_leslie_honorific|{reg63?Sir:Madam}
str_npc_ansen_honorific|my {reg63?Lord:Lady}
str_npc_riva_honorific|{reg63?Sir:Madam}
str_npc_kassim_honorific|{reg63?Bahadur:Bibi} {playername}
str_npc_lethaldiran_honorific|{reg63?Lord:Madame} Captain
str_npc_jocelyn_honorific|{reg63?Sir:Madam} Captain
str_npc_alistair_honorific|My dear {playername}
str_npc_rayne_honorific|my good {reg63?Sir:Lady}
str_npc_julia_honorific|Centurion, er... captain
str_npc_frederick_honorific|Mein Kapitan
str_npc_ediz_honorific|Honored Captain
str_npc_sara_honorific|My Captain
str_npc_donavan_honorific|Commander
str_npc_diev_honorific|Commander
str_npc_alyssa_honorific|{playername}
str_npc_roland_honorific|My good {reg63?Sir:Madam} Captain
str_npc_kaverra_honorific|Captain
str_npc_sigismund_honorific|{reg63?Sir:Madam} Commander
str_npc_boadice_honorific|Captain
str_npc_adonja_kingsupport_1|Well, you could hardly be a worse ruler than those fools whose backsides currently warm the various Pendor thrones! With you in charge, we could work out a trade deal with the Mystmountain tribes, so our clans could trade in Ravenstern instead of raiding?
str_npc_leslie_kingsupport_1|Captain, I suspect you'd be a fair ruler and rid Pendor of the bandits and invaders who plague caravans and traders? If you did that and set up a proper merchant's guild, maybe relaxed the import tariffs those greedy kings impose, we could make Pendor a very profitable place to trade.
str_npc_ansen_kingsupport_1|Well, my {reg63?lord:lady}, if any person could hold that sort of power and remain uncorrupted, it would surely be you. You've already proved to me that you are not the sort to go to war every five minutes, like the morons who lead the Pendor factions. If you'd further the cause of universal education as well, that would be a fine thing!
str_npc_riva_kingsupport_1|Well, captain, you've shown respect for the well-born like me, and I should think the lords of this land would welcome a {reg63?king:queen} who understood the responsibilities as well as the prestige of belonging to the noble class.
str_npc_kassim_kingsupport_1|A fine idea, {reg63?Bahadur:Bibi}, if you can govern with a strong but even hand on all. So long, of course, as you allow the D'Shar to hold to our ancient traditions and do not attempt to end our blood feuds or favor one tribe over another.
str_npc_lethaldiran_kingsupport_1|You have, by and large, imposed unity on a troop composed of very diverse people, and I think you could do the same for Pendor. If your rule encompassed fairness for my people, too, I'd be pleased to support you.}
str_npc_jocelyn_kingsupport_1|You have been a fine leader of this troop, Captain and I see no reason why you could not rule Pendor. Certainly, eradication of any and all Heretics should be part of your agenda, and I'd support you if you pledge to me you'll do that.
str_npc_alistair_kingsupport_1|You could hardly do worse than Pendor's current rulers. I think I could support you as {reg63?king:queen} of Pendor, assuming you swore to do something to civilize this land!
str_npc_rayne_kingsupport_1|Very good, my {reg63?lord:lady}, you are a fine commander and I think you could rule well. I doubt you'd exile worthy knighthood Orders, either, and if we refounded the Knights of the Falcon, you could command a loyal group of valiant knights as well, {reg63?sir:my lady}.
str_npc_julia_kingsupport_1|Well, Centurion, you know my feelings about nobility, but you've done much to rid the Empire of the Snake Cult, and I think you'd do a better job than that fool, Marius, were you the {reg63?king:queen}. Mind you don't fall into the ways of the nobility, though!
str_npc_frederick_kingsupport_1|Pendor needs a strong ruler, one who can impose order with force but govern with efficiency and kindness. You appear to have the abilities needed. I will support you as Pendor's {reg63?king:queen}.
str_npc_ediz_kingsupport_1|We Singalians killed off our rulers a long time ago, but Pendor appears to need one more than we did. I respect you, Captain, and I will stand behind you as you reach for a crown.
str_npc_sara_kingsupport_1|So you aspire to become a {reg63?king:queen}, O Valorous One? There are many tales and ballads of those who, through wisdom and military skill ascended to a throne. I rather fancy the idea of being a {reg63?king's:queen's} court bard.
str_npc_donavan_kingsupport_1|Well, {reg63?sir:madam}, I've said this before - I'd train men gratis for a ruler who unified Pendor, and I'll hold to my word. I could make your army invincible, given the time, authority and funds.
str_npc_diev_kingsupport_1|You gave me the chance to prove I am no coward, Captain, and my bow is at your service. If you can be fair to the people those lordly bastards consider 'riffraff', I will support you in your bid for the throne.
str_npc_alyssa_kingsupport_1|Yess, you sshow resspect for me, despite your misguided dislike of the Sserpent Cult. Perhapss you might make a good {reg63?king:queen} of Pendor. You could hardly be worse than those who currently rule here.
str_npc_roland_kingsupport_1|You show respect for Astraea and the Pendor gods and have led our troop wisely to many victories. I have noted your personal virtue, as well, and you have gained my respect. I believe you would make a fine {reg63?king:queen}.
str_npc_kaverra_kingsupport_1|What the hell, Captain, why not? With you in charge, them Vanskerries will not dare raid our Fierdsvain villages no more. You let me lead patrols and the bastids will rue the day HafSigla blew 'em onto Pendor shores. I reckon I could give Kodan Ironsword a run fer his money as a patrol captain.
str_npc_sigismund_kingsupport_1|You are not a half-bad commander, Captain. If Pendor was unified, the people could farm in peace, and not fear that all their labor would be lost to squabbling lords and raiders. I coud see my way clear to supporting your claim to the throne.
str_npc_boadice_kingsupport_1|Why not? I would be pleased to advise you on matters which, not being a hereditary {reg63?king:queen}, you may not understand fully. Being a {reg63?king:queen} makes one the slave of the people, rather than the reverse, and it is a great responsibility. I think you could manage it.
str_npc_adonja_kingsupport_2|A {reg63?king:queen} who showed some kindness to us Mystmountain clans, and let us sell our furs and crafts in Ravenstern, maybe allowed us to settle a village or two, would never have to worry much about raids, though a few will always follow our old clan ways, but you know how to deal with them.
str_npc_leslie_kingsupport_2|A wise {reg63?king:queen} looks after the economic interests of the land {reg63?he:she} rules and ensures the trading routes are safe. The common people value stability and prosperity above all.
str_npc_ansen_kingsupport_2|I have a book of Pendor history, my {reg63?lord:lady} which details how the {reg63?kings:queens} of old convened councils of both the lords and representatives of all the Pendor guilds. That council had the power to overrule oppressive taxes or the unfair treatment of a citizen. Were you to form such a council again, you'd be praised by the people.
str_npc_riva_kingsupport_2|Captain, the difficulty will come in persuading the nobility to accept you. As you know, lineage is of great importance to the lords, and even peasants traditionally support only those who are nobly born. Have you a noble Pendor ancestor whom you have not mentioned? Descent from a noble Pendor line would increase the credibility of your claim.
str_npc_kassim_kingsupport_2|By Vata, yes, {reg63?Bahadur:Bibi}. In those far-off days when our clans came first to Pendor, we had the right to live as nomads, shifting our herds to different pastures over the seasons. If our tribes heard directly from you that our ancient rights would be restored, you would gain much respect from them. We are ever a traditional people and a Bahadur Khan who turned a blind eye to the odd raid or a small blood feud would be highly regarded by the tribes.
str_npc_lethaldiran_kingsupport_2|I would. I still have friends amongst my people, despite my exile, and I'd let them know that our position would improve under your governance. I'll also watch your back most carefully - you'll need a good assassin in your court!
str_npc_jocelyn_kingsupport_2|I will assuredly do that, Captain. My ex-Order, of course, will make trouble for you, but the rest of Pendor's Orders can be brought to support you with a bit of persuasion.
str_npc_alistair_kingsupport_2|I would, but on condition you promise to permit me to introduce customs to your new court suitable to a proper {reg63?king:queen}, including feasts with something fit to eat for a change! I can also recommend an excellent torturer to help persuade the recalcitrant that you are the best ruler for Pendor.
str_npc_rayne_kingsupport_2|As you know, Gregory brought down Fire and Sword upon the Knights of the Falcon, but some still remain in hiding or exile. Should you restore our Order and call them from hiding, you would find strong support in Ravenstern, too, since our Knights were all of noble birth. There is many a Ravenstern family that would like to welcome home an exiled younger son or brother.
str_npc_julia_kingsupport_2|Certainly, Centurion. You know how Marius judged me guilty of murder and never gave me the chance to tell my side of the story. If you made it known that all men would receive a fair hearing before being arbitrarily sentenced to death by some lord, we common folk would love you for it.
str_npc_frederick_kingsupport_2|While you lack maturity, Captain, you are wise for your years and have ever shown an even hand in dealing with our troop. I see no reason why you could not govern a land as well.
str_npc_ediz_kingsupport_2|Of course, captain. You have shown respect for the traditions of individual members of our troop. Do the same for all in Pendor, and you will be a popular {reg63?king:queen}, and would perhaps even gain respect from the Singalians.
str_npc_sara_kingsupport_2|Assuredly, O Valorous One. I shall see to it that ballads of your bravery and poems praising your goodness, generosity and mercy circulate in every tavern in the land.
str_npc_donavan_kingsupport_2|I would indeed, Captain. You just unite this land, and then I'll raise you army such as Pendor has never seen, augmented by those Barclay dragoons I once mentioned to you.
str_npc_diev_kingsupport_2|I surely would. The lords will cavil that you've no blue blood, but they bleed as red as you from a sword cut and the common folk will be pleased with you.
str_npc_alyssa_kingsupport_2|Yess, indeed, I begin to warm to your planss to rule. It would please me if you ordered the peasantss to cultivate more vegetables, however, and sshowed some mercy to those who follow my goddess.
str_npc_roland_kingsupport_2|With Astraea's guidance I shall be your strong right arm, my {reg63?lord:lady} so long as you are just and merciful to the people of Pendor. If rule corrupts you, I shall confront you with your sins, however, and punish you in Astraea's name!
str_npc_kaverra_kingsupport_2|Sure enough, Captain. You make it so a woman can travel this land without fearing rape, kidnap or worse, and send those Vanskerries packing, back to that frozen hell of a land they come from, and I'll lay down my life in your cause if you need me to!
str_npc_sigismund_kingsupport_2|Right then, Captain. I'll drink to that! You make life safe for village craftsmen and farmers, and I'll be your sworn man all my days.
str_npc_boadice_kingsupport_2|Then, {reg63?Sir:Madam} Captain, I shall begin training troops on my fief, towards your and my own greater honor, against the day I leave to take back my throne!
str_npc_adonja_kingsupport_2a|Interesting - I wonder if the Mystmountain Raiders would cooperate.
str_npc_leslie_kingsupport_2a|What you suggest is most sensible and perfectly feasible.
str_npc_ansen_kingsupport_2a|Please tell me more. Your knowledge is invaluable.
str_npc_riva_kingsupport_2a|Of course - let me tell you of my noble Pendoran lineage.
str_npc_kassim_kingsupport_2a|I might overlook small quarrels or raids, and could restore your D'Shar rights.
str_npc_lethaldiran_kingsupport_2a|I think it is high time the Noldor were considered Pendor citizens like any others.
str_npc_jocelyn_kingsupport_2a|I will enforce order ruthlessly, but temper justice with mercy...
str_npc_alistair_kingsupport_2a|Hmmm, I suppose every court needs someone to act as a social arbiter.
str_npc_rayne_kingsupport_2a|Gregory violated Pendor law with that ban, and your Order will be restored.
str_npc_julia_kingsupport_2a|Of course I would give my subjects those rights.
str_npc_frederick_kingsupport_2a|Even-handedness is crucial to any monarch, and I will never forget that.
str_npc_ediz_kingsupport_2a|A fair ruler must be a brave one, but harsh to those who break the laws.
str_npc_sara_kingsupport_2a|That would be very helpful. I thank you, my Court Bard to be.
str_npc_donavan_kingsupport_2a|That would be amazing - Pendor would be invincible!
str_npc_diev_kingsupport_2a|I had faith in you and you proved me right...
str_npc_alyssa_kingsupport_2a|I will allow freedom of religion, subject to Pendor laws. Sacrifice, however, must end.
str_npc_roland_kingsupport_2a|I will always want you at my right hand to advise me; you are my moral compass.
str_npc_kaverra_kingsupport_2a|You know I would do that...
str_npc_sigismund_kingsupport_2a|Keeping the peasants safe is little enough to ask and I promise to do so.
str_npc_boadice_kingsupport_2a|I will lend you what aid I can when you fight for your throne.
str_npc_adonja_kingsupport_2b|I have fought and killed a lot of your clanspeople...
str_npc_leslie_kingsupport_2b|What's the point in seeking support from greedy merchants, unless there's profit in it?
str_npc_ansen_kingsupport_2b|I cannot pledge to follow only archaic ways.
str_npc_riva_kingsupport_2b|Hmph, that obsession again. I've no interest in pretentiousness of that sort.
str_npc_kassim_kingsupport_2b|I wish to be {reg63?king:queen}, not adjudicate tribal blood feuds and encourage trespass or raids.
str_npc_lethaldiran_kingsupport_2b|I may not be able to live up to your expectations for the Noldor.
str_npc_jocelyn_kingsupport_2b|You ask rather more than I can likely deliver.
str_npc_alistair_kingsupport_2b|That's a rather presumptuous condition.
str_npc_rayne_kingsupport_2b|I'm not sure that restoring your Order would be quite that easy.
str_npc_julia_kingsupport_2b|I'll need some time to consider your words.
str_npc_frederick_kingsupport_2b|Mettenheim ways are not the ways of Pendor.
str_npc_ediz_kingsupport_2b|I will not permit slavers to continue their trade in Singal!
str_npc_sara_kingsupport_2b|I do believe my modesty would be offended by that.
str_npc_donavan_kingsupport_2b|I've no wish to impose sadistic military discipline or import troops.
str_npc_diev_kingsupport_2b|I'd be {reg63?king:queen} of the alley scaff and raff, at best, I fear. Enough of such talk.
str_npc_alyssa_kingsupport_2b|I cannot allow the Snake Cult to kidnap girl babies or practice human sacrifice.
str_npc_roland_kingsupport_2b|I think your standards are too high for me to live up to...
str_npc_kaverra_kingsupport_2b|I don't think your wish is possible - there will always be dangers in Pendor.
str_npc_sigismund_kingsupport_2b|I cannot offend the lords by favoring peasants at the lords' expense...
str_npc_boadice_kingsupport_2b|I cannot, however, pledge to allow your countrywomen to capture men here.
str_npc_adonja_kingsupport_3|I know a few merchants and traders who don't disdain doing a little business with the Mystmountain Clans. I could talk to them, maybe sound them out on supporting you. If I told them you'd end the raids, they'd likely comply with your aims.
str_npc_leslie_kingsupport_3|If you like, I might visit the guildhalls and inns where I have trading contacts, and tell them about your plans to expand the Pendor economic system and improve trade. If I told them you'd lower tariffs and taxes, they would go along! What do you say to that, captain?
str_npc_ansen_kingsupport_3|If you pledged to respect the old traditions of Pendor, my {reg63?lord:lady}, many of the merchants would accept your rule. If you restore the old Pendorian system, then arguably you are a more legitimate {reg63?king:queen} than any of these come-lately usurpers. Give me leave for several weeks, and I will inform the merchant houses of your intention to restore their ancient rights.
str_npc_riva_kingsupport_3|Ah, yes, an ancient and honorable line, indeed. If you give me leave, 'Majesty', I shall visit the villages and castles of this realm and make known the details of your royal ancestry. Of course, I trust you will remember my service to you, when you begin to distribute lands...
str_npc_kassim_kingsupport_3|{reg63?Bahadur:Bibi}, we D'Shar live by honor and herding our flocks. Grant me a few weeks to tell my kin that you support the restoration of our ancient rights, and will not be overly harsh should we lapse on occasion into tribal feuds. When our tribes speak of you as Bahadur, you will be halfway into the khan's tent!
str_npc_lethaldiran_kingsupport_3|Though I am exiled from my people, I yet speak with old friends amongst them. If I tell them that as {reg63?king:queen}, you will end persecution of the Noldor, some will be persuaded. I may, ahem, remove a few of the more strident objectors.
str_npc_jocelyn_kingsupport_3|I've friends yet in Eventide, as well as other Orders. I'll see what support for you I can raise amongst Pendor's knightly Orders.
str_npc_alistair_kingsupport_3|I'm sure a few of my old cohorts will lend me an ear and some support for your cause. Shall I see what I can do for you?
str_npc_rayne_kingsupport_3|You are wise, {reg63?sir:madam}. A restored Order of the Falcon will prove a strong aid to your conquest and defense of Pendor. I shall inform the nobility of your intentions - I need only a few weeks to get the word out where it will do the most good. Court gossip will do the rest.
str_npc_julia_kingsupport_3|Well then, just give me leave for a few weeks and see how fast I can tell the common folk that you will rule justly and equitably, and that lords and commoners alike will be as be one under your law. When they begin to speak of you as {reg63?king:queen}, they'll begin to think of you as one...
str_npc_frederick_kingsupport_3|Support from Mettenheim would aid your cause, and I am sure that I can convince some of the Mettenheim troops in Pendor to follow you, if I go amongst them for a time.
