str_no_string|STRING 없습니다!
str_npc_alistair_backstory_c|당신은 새벽의 질서를 사랑해야 할 이유가 없습니다. 우리는 그들과 싸우기 위해 힘을 합친다고 말합니까? 나는 칼날과 랜스에 능숙하고, 훌륭한 군비를 받고, 적절한 보수를 위해 당신의 명령에 따라 싸울 것입니다. 나는 또한 전술과 포위 공격 훈련을 받았습니다. 그러나 나는 새벽의 살해 놈들에게 자비를 베푸는 피가 나는 마음 아래에서 봉사하지 않을 것입니다. 따라서 당신이 그들과 리그에 있다면, 당신과 함께하라는 제의를 철회하십시오.
str_npc_rayne_backstory_c|나는 영적으로 태어나지 않은 사람에게 가능한 유일한 영예로운 직업이기 때문에 합당한 선장에게 검을 제공하기를 희망합니다. 그동안 나는 도둑, 배가 본드, 상인, 길의 타락 사이에 살고 있습니다.
str_npc_julia_backstory_c|우리의 싸움은 율리우스의 죽음으로 끝났다. 나는 Janos를 도망 가고 여행 상인의 경비원으로 고용되어 캐러밴 경비원으로 생계를 유지했습니다. 소녀로서, 나는 아버지 께서 저에게 드릴 훈련을 미워하고, 그의 가죽을 저주했지만, 나는 그들에게 감사합니다. 숙련 된 전투기가 필요하십니까?
str_npc_frederick_backstory_c|펜 도르에서 대검을 휘두르는 사람은 아무도 없으며 전투 경험이나 전술에 대한 지식이 많은 사람은 거의 없습니다. 내 칼은 Mettenheim으로 제작되었으며 Pendor Smith가 꿈꾸는 품질입니다.
str_npc_ediz_backstory_c|당신은 내 백성의 수가 너무 많아짐에 따라 카라반 용병이 아닌, 용맹 한 전사를 봅니다. 나는 불량 기사를 위해 싸울 것입니다.
str_npc_sara_backstory_c|나는 오해로 인해 약간 어려운 처지에 처해 있음을 상기시킵니다. 오히려 잘 생긴 청년이 나에게 푹 빠졌으며, 그의 욕구를 추구하는 데는 끊임없는 노력을 기울였습니다. 청년이 주님의 아들이므로 즉시이 도시를 떠나야합니다. 우리가 말하면서, 그의 남자들은 그의 '사랑하는'을 찾고 있습니다. 나는 내 레이피어로 자유를 얻기 위해 붙잡 히거나 강요 당하지 않기를 원합니다.
str_npc_donavan_backstory_c|그의 병사들을 mollycoddle하기보다는 전투에서 승리하기를 원하는 지휘관을 알고 있다면, 저에게 지시 해 주시면 감사하겠습니다.
str_npc_diev_backstory_c|그래서 나는 여기에, 어떤 effete, 고귀한 찌르기, 용감하고 정직한 전사가 아닌 사령관을 찾고 있습니다. 다시는 귀족의 명령에 맞서 싸울 수 없습니다.
str_npc_alyssa_backstory_c|나는 내 동료 SSerpent Cultists가 어떻게 생각하는지 이해하고, 당신의 전략을 다시 정립하고 싸우는 데 도움을 줄 수 있습니다.
str_npc_roland_backstory_c|주문서에 실린 방패와 칼을 가져 가서 나의 명령은 도둑을 선포했습니다. 내가 새벽의 명령을 떠나기 전에, 나는 훈련의 모든면에서 뛰어나고 성기사로 올라 갔다. 그들은 나를 무법자로 만들었을지 모르지만, 나의 업적으로 얻은 직책을 버릴 수 없습니다. 나는 Astraea의 가르침과 내가 그녀에게 맹세 한 서약에 충실합니다.
str_npc_kaverra_backstory_c|며칠 후 그들은 에일을 전리품으로 얻었고 욕심 많은 돼지들이 그 자리에서 모두 마셨다. 곧 그들은 마치 돼지처럼 코를 passed으며, 나는 밧줄로 묶었 다. 그 다음 나는 모든 놈들을 죽이고 그들이 누워있는 곳에서 피를 흘리도록 묶었 다.
str_npc_sigismund_backstory_c|우리 밴드는 경험을 통해 싸우는 방법을 배웠고, 곧 승리를 시작했습니다. 우리의 전리품은 우리를 무장시키고 장비를 갖추 었으며 몇 년 동안 공정한 지역에 걸쳐 안전을 유지했습니다. 그들은 우리의 명성이 퍼지면서 나를 '매디 건의 영웅'이라고 불렀습니다. 어쨌든, 해안을 따라 우리의 성공은 우리를 쓰러 뜨리기로 결정한 강력한 Vanskerry Jarl의 관심을 끌었습니다. 내 부하들은 건초처럼 깎아졌다 용감한 클레어는 포기하기를 거부하고 항아리를 단일 전투에 도전했습니다. 그는 격렬한 싸움에도 불구하고 10 분 안에 내 사랑을 죽였다.
str_npc_boadice_backstory_c|나는 실력이 뛰어나고 무장하며, 모든 왕실과 마찬가지로 전투를 즐깁니다. 나는 여러 세대의 베카 비안 군인들로부터 왔습니다.
str_npc_adonja_backstory_later|나는 내 말과 무기 이외의 모든 것을 팔았습니다. 나는 여관 주인에게 빚을졌으며 곧 디나르로 지불하지 않으면 법안을 다시 지불해야 함을 암시합니다.
str_npc_leslie_backstory_later|나는 부츠를 팔아 마을에서 마을로 물건을 젓는 데 나르를 몇 개 만들었지 만, 위험하고 이익은 헛소리입니다.
str_npc_ansen_backstory_later|나는 지나가는 캐러밴에 서기관이자 여행사 상인으로 고용했으며 적어도 저에게 먹이를주었습니다. 그러나이 작업은 미래를 제공하지 않으며 도로에서의 생활은 매우 지루합니다.
str_npc_riva_backstory_later|나는 집으로 돌아가서 사냥을했다. 나는 아직도 사람들이들을 때 두려움에 떨게 할 자신의 이름을 만들 계획이다. 나는 아직 그렇게하지 않았으므로 여기에 다시 일자리를 찾고 있습니다.
str_npc_kassim_backstory_later|나는이 부드럽고 배가 고른 땅을 여행하면서 맹렬하고 풍족한 칸의 소금을 먹기를 바랐습니다.
str_npc_lethaldiran_backstory_later|나는 때때로 이상한 일을한다. 그러나 나는 항상 내 어깨 너머로 바라 보는 것에 지쳤다. 알다시피, 오른쪽 선장 아래에서 병사로 데려 갈 수도 있습니다.
str_npc_jocelyn_backstory_later|좋은 하루 되세요, {reg63? 선생님 : 부인}. 저는 여전히 합당한 선장을 찾고 있습니다. 당신은 나를 위해 당신의 회사에서 자리를 만들지 않습니까?
str_npc_alistair_backstory_later|나는 사건의 질서와 함께 펜 도르에 와서 성스러운 새벽의 재치와 싸웠습니다. 우리는 Barclay에서 그들을 Pendor에게가함으로써 그들을 없애 버렸습니다! 내가 당신의 파티에 얼마나 가치있는 일이되는지 아십니까?
str_npc_rayne_backstory_later|나는 몇몇 군주에게 내 검을 주었지만 내 소속이 부끄러워했다. 그들은 나에게 농민을 훈련 시키거나 편지를 보내거나 기사가 아닌 다른 일을하도록 부탁한다.
str_npc_julia_backstory_later|내가 당신에게 말했는지 모르겠지만, 나중에 아버지는 군단병에 의해 체포되어 모든 뱀 숭배자들에게 경고로 남문에서 매달 렸습니다. 그가 지키고 있던 귀족들은 도망 쳤고 이후로는 보지 못했다. 나는 여전히 내 머리에 가격이 있는지 확인하기 위해 Janos로 돌아 오지 않았습니다. 그것은 지금 무의미 해 보입니다.
str_npc_frederick_backstory_later|나는 Mettenheim으로부터 아무런 말도없고 새로운 대표단이 도착하지 않았기 때문에 여전히 내 기술에 합당한 주장을 찾고 있습니다.
str_npc_ediz_backstory_later|나는 아직 내 잃어버린 명예를 되 찾는 데 도움이되지 않았으며 시도에서 솔로와 싸우지 않는 것을 선호합니다. 감사합니다. 나는 여전히 당신의 남자들과 함께하고 싶습니다.
str_npc_sara_backstory_later|나는 펜 도르를 떠돌아 다니며 사랑에 빠진 남성들과 매우 화난 여성들을 남겼습니다. 나는 그와 같은 쉬운 도전에 지 쳤고, 최근에 내 손을 더 무술 추구로 돌리는 것을 고려했다.
str_npc_donavan_backstory_later|나는 성에서 법정으로 갔지만 아직 마음에 드는 군주를 찾지 못했습니다.
str_npc_diev_backstory_later|나는 여기서 '사냥'을 통해 내 요새의 일부를 지불했지만, 주님은 지금 내게 임 하셨으며 자주 사냥을 할 수 없습니다. 그 외에는 여전히 올바른 사령관을 찾고 있습니다.
str_npc_alyssa_backstory_later|Sserpent Cult는 어제 야 내 인생에 또 다른 시도를했다, 함장. 본인의 이익뿐만 아니라 제 자신을 위해 회사에 합류 할 수 있도록 요청해야합니다.
str_npc_roland_backstory_later|필자는 불의에 부딪쳐 최종적으로 아스트라에 아의 귀환 수단이 되리라는 희망으로 펜 도르에게 정의를 회복하고자하는 나의 노력을 계속하고있다. 새벽 기사단이 바클레이에서 추방되고 펜 도르에게 영향을 미쳤지 만, 나는 혼자서 질서의 진정한 탐구를 계속합니다.
str_npc_kaverra_backstory_later|내가 마지막으로 본 이후로 가족 보석을 잃어버린 몇 가지 자식이 더 있습니다.
str_npc_sigismund_backstory_later|다시 또 응? 마지막으로 본 이후로 아무것도 변하지 않았습니다. 죽이고 마시고 슬퍼합니다. 나는 용병으로 고용합니다. 나는 돈을 받고 마신다. 돈이 없어지면 다시 고용합니다.
str_npc_boadice_backstory_later|최소한 선한 선장에서 빈곤을 즐겁게 느끼지 못하고 회사에 다시 참여할 수 있도록 다시 요청해야합니다.
str_npc_adonja_backstory_response_1|Mystmountain Raiders 팩을 처음 접할 때 당신이 우리에게서 약탈을 시도하거나 내 군대를 버리지 않으려는 것을 어떻게 알 수 있습니까?
str_npc_leslie_backstory_response_1|글쎄, 아마도 당신에게 일을 제안 할 수있을 것입니다. 싸울 수 있습니까?
str_npc_ansen_backstory_response_1|사실, 나는 용병 회사를 운영하고 있습니다.
str_npc_riva_backstory_response_1|나는 그런 회사를 운영하고 여분의 블레이드를 고용 할 수 있습니다.
str_npc_kassim_backstory_response_1|우리가 D' Shar와 싸워야한다면 당신이 사막에 빠지지 않을 것이라고 확신 할 수 있다면 당신을 고용하는 것을 고려할 것입니다.
str_npc_lethaldiran_backstory_response_1|내가 당신을 믿을 수 있다고 생각한다면 당신이 유용하다고 생각할 수도 있습니다.
str_npc_jocelyn_backstory_response_1|당신이 우리와 함께 타면, 나는 당신에게 이단의 서 프릿을 죽일 것을 약속 할 수 있으며, 아마도 당신의 추종자가 그들 사이에있을 것입니다.
str_npc_alistair_backstory_response_1|내 파티의 기사들을 성가 시게하지 말 것을 맹세하는 것은 전적으로 조건 일 것입니다.
str_npc_rayne_backstory_response_1|아마도 당신은 잠시 동안 우리 회사에 합류하고 싶습니다, 나이트 선생님.
str_npc_julia_backstory_response_1|당신이 일자리를 찾고 있다면, 나는 숙련 된 전투기를 사용할 수 있습니다.
str_npc_frederick_backstory_response_1|나는 나이와 경험이 젊음과 열정에 비해 어느 정도 장점이 있다고 생각합니다.
str_npc_ediz_backstory_response_1|당신이 정말로 죽는 것이 아니라, 명예를 되찾고 싶다면 그것을 고려할 것입니다.
str_npc_sara_backstory_response_1|회사에서 여분의 칼을 사용할 수도 있습니다.
str_npc_donavan_backstory_response_1|내 몫은 확실히 약간의 훈련과 약간의 훈련을 사용할 수 있습니다.
str_npc_diev_backstory_response_1|흠, 내 군대가 싸움을 할 때 꼬리를 돌리지 않을 것이라고 확신합니까?
str_npc_alyssa_backstory_response_1|내가 당신을 모집하고 뱀 같은 행동의 징후 하나를 보게되면, 당신은 외출입니다!
str_npc_roland_backstory_response_1|우리는 많은 공통점을 가지고 있습니다. 펜도를 추월하는 악을 물리 치기 위해 힘을 합치고 함께 싸울까요?
str_npc_kaverra_backstory_response_1|재밌어요! 당신은 일자리를 찾고 있습니까? 우리 병력은 우리가 그들을 만날 때마다 Vanskerries와 싸 웁니다.
str_npc_sigismund_backstory_response_1|저의 부대는 도적, Mystmountain Raiders 및 Vanskerries를 죽이는 것을 전문으로합니다. 내 군대에 합류하면 클레어에게 복수하면서 돈과 전리품을 얻을 수 있습니다.
str_npc_boadice_backstory_response_1|나는 당신의 전투 기술이 당신의 왕실 오트보다 더 클 것으로 생각합니다.
str_npc_adonja_backstory_response_2|미안하지만, 미스터 마운틴 레이더를 모집 할 수는 없습니다. 내 남자들은 분노 할 것이다.
str_npc_leslie_backstory_response_2|불행히도 요즘 이야기는 전혀 드문 일이 아닙니다. 앞으로 귀하의 재산이 개선되기를 바랍니다.
str_npc_ansen_backstory_response_2|대 수도원으로 돌아가십시오. 솔저 링은 어려운 직업이며 오래된 두루마리를 읽음으로써 배울 수있는 것은 아닙니다.
str_npc_riva_backstory_response_2|아니요, 죄송합니다. 들어 본 적이 없습니다.
str_npc_kassim_backstory_response_2|그래서 당신은 당신의 칸을 귀찮게 할뿐만 아니라 당신을 뒤쫓아 온 D' Shar 부족도 있습니다. 나는 D' Shar 혈액 불화를 섞고 싶지 않습니다.
str_npc_lethaldiran_backstory_response_2|내 뾰족한 친구 야 미안해 발굽이 고생하는 것 같아
str_npc_jocelyn_backstory_response_2|죄송합니다, 나이트 선생님,하지만 이미 개인적인 이유로 싸우는 병력이 너무 많습니다.
str_npc_alistair_backstory_response_2|나는 당신 주위에 5 분 이상있을 수 있다고 확신하지 않습니다.
str_npc_rayne_backstory_response_2|내 가장 친한 친구 중 일부는 'vagabonds'와 'detritus of the road'입니다. 좋은 하루 되세요
str_npc_julia_backstory_response_2|당신은 풍성한 장점으로 머리를 올가미로 끝낼 것입니다. 어떻게 자기 형을 죽일 수있어?!
str_npc_frederick_backstory_response_2|미안하지만 내 군대에는 이미 사령관이 너무 많습니다.
str_npc_ediz_backstory_response_2|나는 내 군대에서 자살 부족 미치광이를 원하지 않습니다. 죄송합니다.
str_npc_sara_backstory_response_2|아냐, 미안하지만 너를 맡을 수 없어 당신은 내 군대에 절대적인 신체 상해를 일으킬 것입니다.
str_npc_donavan_backstory_response_2|내가 들었 으면 알려 드리겠습니다. 좋은 날.
str_npc_diev_backstory_response_2|미안하지만, 당신은 내가 군대에서 원하는 종류가 아닙니다. 나는 내 남자들을 의지 할 수 있어야한다.
str_npc_alyssa_backstory_response_2|나는 당신을 사로 잡을만큼 오랫동안 당신의 억양을들을 수 있다고 생각하지 않습니다.
str_npc_roland_backstory_response_2|정말 죄송합니다, 나이트 선생님,하지만 당신이 제게 너무 미덕이 될 것 같군요.
str_npc_kaverra_backstory_response_2|죄송합니다, 라스, 당신은 맞아요,하지만 당신은 내 부하들을 반쯤 겁주게 했어요.
str_npc_sigismund_backstory_response_2|나는 술 취한 병사를위한 병력이 없지만, 앞으로 더 나은 운이 있기를 바랍니다.
str_npc_boadice_backstory_response_2|난 당신의 왕실을 내 직책에있는 것을 좋아하지 않습니다, 부인
str_npc_adonja_signup|봐요, 치프, 군대는 당신의 일족, 가족입니다 당신은 당신의 가족을 훔치거나 싸움에서 그들을 버리지 않습니다. 이것이 Catsclaw Clan 코드이며 이에 따라 살고 있습니다. 내가 당신과 함께하면, 당신은 나의 상사이고 당신의 부대는 내 일족입니다.
str_npc_leslie_signup|글쎄, 나는 무역에 의한 군인이 아니지만, 내 몸에 너무 관심이있는 저소득층을 낙담시킬 수 있습니다.
str_npc_ansen_signup|당신 은요? 나는 당신 같은 사람을 만나기를 바랐습니다! 당신과 함께하게되어 기쁩니다.
str_npc_riva_signup|좋은! 나는 당신의 적을 물리 치고 우리 이름의 명성을 널리 알리기를 기대합니다.
str_npc_kassim_signup|물론, 그것은 당신이 당신이 맹렬한만큼 풍족하다고 가정 할 때 가장 관대 한 제안입니다.
str_npc_lethaldiran_signup|선장님, 저를 고용하십시오. 제게 충성하는 한 내 충성도는 당신입니다. 그 외에는 약속이 없습니다.
str_npc_jocelyn_signup|저의 유일한 소망은 온 땅에 독버섯처럼 생겨나는 이단 적 악의 펜 도르를 퍼지하는 것입니다. 물론, 사건의 질서를 피하기 위해.
str_npc_alistair_signup|당신의 기사들 사이에 나를 데려 갈 것이라는 전망이 당신 앞에 매달려있을 때 어떻게 당신은 어떻게 계속 캐논 할 수 있습니까? 그런 크레 틴이되지 마십시오.
str_npc_rayne_signup|그것이 확고한 제안이라면, 내 좋은 {reg63? Sir : Lady} 제안을 받아들입니다.
str_npc_julia_signup|당신은 할 수 있습니까? 글쎄, 그 가능성이 있습니다!
str_npc_frederick_signup|나는 모든 Forlorn Hope 연대에서 가장 훌륭한 검객이며, 당신은 나를 입대하지 않는 바보가 될 것입니다!
str_npc_ediz_signup|내가 당신의 평균 Singalian 용병이 아니라고 몇 번이나 말해야합니까?
str_npc_sara_signup|과연? 당신의 저의 입대는 상호 이익이 될 것입니다. 나는 당신의 적들을 파나 치로 죽이는 동안 당신의 착취의 서사시를 부를 것입니다.
str_npc_donavan_signup|나는 적어도 얼마 동안 당신과 함께 지불하고 전리품을 공유하게되어 기쁩니다.
str_npc_diev_signup|이거 가져와, 겁쟁이가 아니야 나는 당신이 아직 보지 못한 활 기술을 가지고 있으며, 나는 치명적인 정확성으로 내 워해머를 사용하고 나는 강력한 전투기입니다.
str_npc_alyssa_signup|내가 당신과 함께하면 내 snakeish 성질을 불러 일으키지 만, 당신이 내 'snakeish 행동'이라고하는 것을 억제하기 위해 노력할 것입니다.
str_npc_roland_signup|혹시. 그러나 나는 당신에게 경고하고, 불의를 저 지르거나 불법에 빠지므로 더 이상 당신과 함께 가지 않을 것입니다.
str_npc_kaverra_signup|어쩌면 당신은 당신의 부대에있는 그 시끄러운 큰 소리로 그들이 나에게 친숙해지면, 가족 보석을 빼고, gullet에서 배꼽으로 찢어지고, 어부가 물고기를 내장 할 수 있다는 것을 빨리 알게 될 것입니다.
str_npc_sigismund_signup|그 말이 맞을 수 있습니다, 사령관 아마도 당신의 군대에 합류함으로써 나는 진정한 목적을 다시 찾을 수 있습니다. 적어도 나는 살인에 대한 정당한 이유가 있습니다.
str_npc_boadice_signup|경의를 표하기 위해 모든 노력을 다하겠습니다. 그러나 그렇게하는 것은 자연스럽게 나에게 오지 않습니다.
str_npc_adonja_signup_2|나는 내 활과 최고의 라이더, 내 칼날과 훌륭한 라이더와 잘 맞습니다. 전리품이 없는데도 전리품을 찾을 수 있습니다. 나는 당신 부대의 자산이 될 것입니다.
str_npc_leslie_signup_2|나는 빠른 학습자입니다. 나는 탈 수 있고 거래와 가격을 알고 있습니다. 더 양심적 인 쿼터 마스터는 어디에도 없습니다.
str_npc_ansen_signup_2|나는 당신의 계급에 가장 귀중한 추가 될 것입니다. 나는 의료 과학에 정통하며 군대의 의료진으로 봉사 할 수 있습니다. 더 중요한 것은, 당신이 저에게 기꺼이 가르치고 자하는 모든 것을 행복하게 배울 것입니다.
str_npc_riva_signup_2|그러나 참고하십시오. 부드럽게 태어난 사람으로서 나는 하녀, 요리사 또는 하인이 될 수 없습니다. 나는 당신의 무기 동지 일 뿐이며 그렇게 취급 될 것으로 기대합니다.
str_npc_kassim_signup_2|나는 당신이 칸의 의무를 존중하는 한, 충분히 정기적으로 저를 지불하고 전리품을 가질 수있는 기회를 허용함으로써 당신을 배신하지 않을 것입니다. 당신은 또한 이길 가능성이없는 전투로 나를 끌어들이는 것을 삼가야합니다. 제발 소금을 제발주세요 – 충성의 맹세로서 칸의 손에서 소금을 먹는 것이 D' Shar 관습입니다.
str_npc_lethaldiran_signup_2|단검을 던지고, 정확하게 쏘고, 칼로 뛰어나며, 퀵실버처럼 미끄러 워집니다. 당신은 내가 싸움 안팎에서 모두 유용하다고 생각합니다.
str_npc_jocelyn_signup_2|{reg63? sir : madam} 대장님, 제가 당신에게 내 무기와 충성을 맹세합니다. 아스트라이아가 우리에게 싸울 이리 틱스의 좋은 공급을 보내 주시길 바랍니다!
str_npc_alistair_signup_2|당신이 당신의 감각에 왔을 때입니다. 나는 전투에서 지휘 할 때 당신의 어리 석음이 분명하지 않다고 믿습니다.
str_npc_rayne_signup_2|나는 기사이며 내 계급의 사람들과 만 어울리는 것을 선호합니다. 당신의 추종자들이 저에게 너무 친숙하지 않다고 가정 할 때, 출생에 관계없이 숙련 된 선장과 함께 봉사하는 것은 부끄러워하지 않습니다. 나는 그것이 문제가되지 않을 것이라고 믿는가?
str_npc_julia_signup_2|날 데리고 후회하지 않을게, 함장, 나는 석궁으로 치명적이다. 뱀이나 귀족의 검은 심장을 백 걸음으로 칠 수 있습니다. 한 가지 분명한 점을 말씀 드리겠습니다. 나는 당신에게서 고귀한 명령을 내리지 않고 당신 에게서만 주문을받습니다.
str_npc_frederick_signup_2|나는 몇 년 동안 명령을 따랐습니다. 함장님, 저에게도 당신의 명령도 마찬가지입니다.
str_npc_ediz_signup_2|전투에서 벗어나거나 비겁하게 행동하지 않는 한, 나는 당신을 위해 충실하게 싸울 것입니다.
str_npc_sara_signup_2|나는 약간의 프레임처럼 보일 수 있지만, 내 칼날은 내 혀만큼이나 치명적입니다! 나는 전문가 이퀘 트리 엔이며, 당신이 발견 할 수있는 몇 가지 추가 기술이 있습니다.
str_npc_donavan_signup_2|나는 숙련 된 검술사이며, 당신의 부하들을 훈련시키고 훈련시킬 수도 있습니다. 그러나 나는 당신에게 징계 문제가 허술한 지도자 아래에서 봉사하지 않을 것이라고 미리 경고합니다. 왜냐하면 진정한 군인은 부드러운 손을 존중하지 않기 때문입니다.
str_npc_diev_signup_2|상사는 내가 경비대에서 최고의 궁수라고 말했고, 전투 기술을 계속 키우면 언젠가 상사를 사 d 것입니다. 기회를 줘서 용기를 보여 줄게
str_npc_alyssa_signup_2|확실히 당신은 당신의 회사에 내 소트 중 하나를 갖는 이점을 볼 수 있습니까?
str_npc_roland_signup_2|우리는 함께 독방 성기사보다, 특히 지금 내 명령을 떠난 것보다 공의라는 이름으로 더 많은 것을 성취 할 수 있음을 인정할 것입니다.
str_npc_kaverra_signup_2|Vanskerry Raider, Captain을 알려주세요. 거세 된 시체를 드릴게요!
str_npc_sigismund_signup_2|전 Sigismund Sinclair 사령관은 도전 할 적들과 맞서 싸울 것을 맹세합니다.
str_npc_boadice_signup_2|내가 여왕이되기 전에 나는 병사 였고, 선장님, 당신은 나에게 명령을 따를 수없는 사람을 찾지 못할 것입니다. 물론 그것이 합리적 순서라고 가정합니다.
str_npc_adonja_signup_response_1|아주 잘, 나는 예약했지만, 나는 당신에게 기회를 줄 것이다. 날 잘못 증명하면 내 군대에서 즉시 나왔어
str_npc_leslie_signup_response_1|글쎄요, 시작입니다. 갑옷으로 덮힌 몸통이 많은 관심을 불러 일으키지 않을 것입니다.
str_npc_ansen_signup_response_1|좋은. 우리는 두려워하지 말고 싸울 것을 가르쳐 줄 것입니다. 장비를 포장하고 정문에서 만나십시오.
str_npc_riva_signup_response_1|아주 잘. '나의 아가씨'와 함께하게되어 영광입니다.
str_npc_kassim_signup_response_1|확실히. 내 소금을 드세요.
str_npc_lethaldiran_signup_response_1|흥미로운 다양한 일을 할 수있는 것 같습니다. 내가 당신을 고용 할 것입니다.
str_npc_jocelyn_signup_response_1|당신은 내 부대에 훌륭한 추가를 할 것입니다. 우리와 함께, 당신은 보호와 복수를 찾을 수 있습니다.
str_npc_alistair_signup_response_1|잘, 당신은 우리와 함께 할 수 있습니다. 당신이 자신을 행동 참조하십시오.
str_npc_rayne_signup_response_1|당신은 내 군대의 모든 구성원과 동등하거나 우리를 떠나게됩니다. 나는 코를 좋아하지 않는다.
str_npc_julia_signup_response_1|아주 좋아요 우리와 함께하게되어 기쁘다
str_npc_frederick_signup_response_1|알았어 알았어, 포론 프레드
str_npc_ediz_signup_response_1|나는 '부족의 미치광이'를 용병 회사의 별개의 자산으로 생각할 수있다.
str_npc_sara_signup_response_1|좋은. 내 남자들이 유혹하지 않고 싸우기 위해 고용되었다는 것을 기억하십시오!
str_npc_donavan_signup_response_1|좋은. 당신 같은 사람을 고용하게되어 기쁩니다.
str_npc_diev_signup_response_1|좋아, 기회가있어 나는 당신에게 경고하지만, 전투에서 약간 흔들리면 약 탈당합니다.
str_npc_alyssa_signup_response_1|이것은 나의 더 나은 판단에 위배되지만, 알겠습니다.
str_npc_roland_signup_response_1|그렇다면 우리는 동의합니다. 내 손과 말이 있습니다 내 부하들을 너무 가혹하게 판단하지 마십시오.
str_npc_kaverra_signup_response_1|당신은 고용되었습니다. 나는 남자들이 그것을 이해하도록 확실히 할 것입니다!
str_npc_sigismund_signup_response_1|내 군대에 당신을 받아들입니다. 펌프 아래에 머리를 대십시오. 근무 중 취한 사람을 잡으면 나가는 것입니다.
str_npc_boadice_signup_response_1|우리 회사 '당신의 폐하'에 오신 것을 환영합니다.
str_npc_adonja_signup_response_2|정말 죄송합니다, 제발, 당신은 저에게 너무 위험합니다.
str_npc_leslie_signup_response_2|미안하지만 거래 기술이 아닌 전투 경험을 찾고 있습니다. 당신에게 좋은 일.
str_npc_ansen_signup_response_2|죄송합니다. 귀하와는 다른 업적을 찾고 있습니다.
str_npc_riva_signup_response_2|사실, 나는 혈통을 발명 한 산적을 고용하는 습관이 아닙니다. 좋은 하루 되세요, 부인
str_npc_kassim_signup_response_2|두 번째 생각으로, 나는 군대에 D' Shar를 원하지 않습니다. 죄송합니다.
str_npc_lethaldiran_signup_response_2|내 부하들은 절대 Noldor를 믿지 않을 것입니다. 미안하지만 아뇨
str_npc_jocelyn_signup_response_2|죄송 합니다만, 지금 더 많은 기사를 지불 할 여유가 없습니다.
str_npc_alistair_signup_response_2|지옥이 얼어 붙은 그 날의 냉담한 자아를 고용 할 것입니다.
str_npc_rayne_signup_response_2|당신의 가정은 표에서 벗어났습니다. 우리 회사에서는 고귀한 출생이 중요하지 않습니다. 우리는 용기와 기술을 존중합니다.
str_npc_julia_signup_response_2|다시 생각해 볼 때, 나는 회사에서 고귀한 피를 가진 사람들을 고용 할 위험이 너무 높다고 생각합니다. 좋은 날.
str_npc_frederick_signup_response_2|죄송하지만 현재 귀하의 서비스를 감당할 수 없습니다.
str_npc_ediz_signup_response_2|나는 펜 도르에서 모든 부족의 길 잃은 것을 모을 수 없기 때문에 거절해야한다.
str_npc_sara_signup_response_2|다시 생각하면, 당신은 우리 회사에 가지기에는 너무 위험하다고 생각합니다.
str_npc_donavan_signup_response_2|나는 내 계급에서 반란을 일으키고 싶지 않기 때문에 거절해야합니다. 좋은 하루 되세요
str_npc_diev_signup_response_2|미안하지만 당신은 내 군대에 맞지 않을 것입니다. 좋은 사령관을 찾아서 행운을 빈다.
str_npc_alyssa_signup_response_2|솔직히, 나는 당신을 고용하는 것보다 당신이있는 곳에 당신을 죽일 것입니다.
str_npc_roland_signup_response_2|미안하지만, 우리 회사는 당신 같은 기사에게는 덕이 없습니다.
str_npc_kaverra_signup_response_2|죄송합니다. 한 사람이라도 잃을 위험이 없으며, 적어도 한 명은 당신을 화나게 할 것입니다.
str_npc_sigismund_signup_response_2|군대에 취한 곳은 없습니다. 죄송합니다.
str_npc_boadice_signup_response_2|죄송합니다. '당신의 능력'입니다.
str_npc_adonja_payment|어, 치프, 여관에 청구서에 문제가 있습니다. {reg3}을 절약하여 해결할 수 있습니까?
str_npc_leslie_payment|.
str_npc_ansen_payment|.
str_npc_riva_payment|우수한. 출발하기 전에 {reg3} 디나르에게 친절하게 빌려주겠습니까? 나는 여기에 가족 가보를 낳아야했다. 그리고 우리가 떠나기 전에 그것을 찾고 싶다.
str_npc_kassim_payment|감사합니다. 이제 동맹을 맺기 위해 {reg3} 디나르를 요청합니다. 아버지 께서 제게 알려 주신 조언입니다. '{reg63? he : she}가 당신의 가치를 금으로 지불하지 않는 한, 비 종족을 위해 싸우지 마십시오'.
str_npc_lethaldiran_payment|그렇다면 {reg3} 디나르 만 지불하면됩니다. 여러분 만의 Noldor 암살자가 있습니다!
str_npc_jocelyn_payment|선장님, 여기 시장에서 내 말을 다시 구매해야하므로 귀하와 함께하기 전에 {reg3}의 합계를 요청해야합니다. 그는 훌륭한 군마이고 나는 그를 다시 사고 싶어요.
str_npc_alistair_payment|물론 당신과 합류하기 전에 팰 트리 {reg3} 디나르가 필요합니다. 당신이 내 서비스를 감당할 수 없다면, 나는 매우 이해합니다.
str_npc_rayne_payment|정말 잘 하시네요 내가 가입하기 전에 지난 몇 달 동안 신용 카드를 빌려준 여관 주인에게 {reg3} 디나르를 빌려 줄 수 있습니까?
str_npc_julia_payment|좋은 소식이지만, 캡틴 {s20}에서 빚을 갚아야하는데, 항상 빚진 것을 지불합니다. {reg3} 디나르를 아껴 줄 수 있습니까?
str_npc_frederick_payment|Mijn Commandant, 나는 {reg3} 디나르의 합을 입대 보너스로 요청합니다. 나는 자격이 있고 그 가치가 있습니다.
str_npc_ediz_payment|존경하는 선장님, 저는 빚을 져야하며, 추종자들과 합류하기 전에 {reg3} 디나르의 합계를 요청해야합니다.
