ui_music_volume|음악 음량 :
ui_custom|커스텀
ui_medium|매질
ui_male|남성
ui_female|여자
ui_gender|성별을 선택하십시오.
ui_edit_profile|프로필 수정
ui_new_profile|새 프로필
ui_enter_username|사용자 이름을 입력하십시오 :
ui_invalid_username|사용자 이름은 문자, 숫자 또는 '_'문자 만 포함 할 수 있습니다.
ui_confirmation|확실합니까?
ui_multiplayer|멀티 플레이어
ui_server_name|섬기는 사람
ui_module_name|구성 단위
ui_game_type|게임 타입
ui_map_name|지도
ui_ping|핑
ui_dedicated|전용
ui_number_of_players|선수
ui_password_protected|암호
ui_connect|잇다
ui_local_area_network|근거리 통신망
ui_internet|인터넷
ui_favorites|즐겨 찾기
ui_source|출처:
ui_server_password|서버 암호:
ui_refresh|새롭게 하다
ui_start_search|검색 시작
ui_add_to_favorites|즐겨 찾기에 추가
ui_remove_from_favorites|즐겨 찾기에서 삭제하기
ui_use_speedtree|Speedtree 사용
ui_use_instancing|인스 턴싱 사용
ui_error|오류
ui_error_server_full|서버가 가득 찼습니다.
ui_error_server_full_for_non_private|개인 회원 비밀번호가없는 플레이어는 서버가 가득 찼습니다.
ui_error_server_password_incorrect|잘못된 비밀번호.
ui_error_incorrect_serial|일련 번호가 잘못되었습니다.
ui_error_incorrect_authorization_key|인증 키가 잘못되었습니다.
ui_error_banned_from_server|이 서버에서 금지되었습니다.
ui_error_username_taken|프로필 이름은 다른 플레이어가 사용합니다.
ui_error_authentication_failed|인증 실패.
ui_unable_to_connect_to_server|서버에 연결할 수 없습니다.
ui_connection_to_server_is_lost|서버 연결이 끊어졌습니다.
ui_kicked_from_server|서버에서 쫓겨났습니다.
ui_switch_to_module_question|이 서버는 현재 실행중인 것과 다른 모듈을 실행 중입니다. Mount & Blade를이 모듈로 전환 하시겠습니까?
ui_download_module_question|이 서버는 컴퓨터에 설치되지 않은 모듈을 실행 중입니다. 이 모듈의 다운로드 사이트를 지금 방문 하시겠습니까?
ui_download_mb_new_version_question|이 서버는 현재 실행중인 서버보다 최신 버전 (%d. %d %d %d)의 Mount & Blade를 실행 중입니다 (%d. %d %d [ []]). 지금 TaleWorlds 다운로드 사이트를 방문 하시겠습니까?
ui_download_mb_old_version_question|이 서버는 이전 버전 (%d. %d %d %d)의 Mount & Blade를 실행 중이며 현재 실행중인 버전 (%d. %d %d보다 %d).
ui_download_module_new_version_question|이 서버는 현재 모듈의 최신 버전 (%d. %d %d %d)을 실행중인 서버 (%d. %d %d %d). 이 모듈의 다운로드 사이트를 지금 방문 하시겠습니까?
ui_download_module_old_version_question|이 서버는 현재 모듈의 이전 버전 (%d. %d %d %d)을 실행중인 서버 (%d. %d %d %d).
ui_authenticating_with_steam|Steam으로 인증하는 중 ...
ui_validating_serial_number|일련 번호 확인 중 ...
ui_scanning_lan|근거리 통신망 스캔 중 ...
ui_retrieving_servers|서버 목록을 검색하는 중 ...
ui_shield_size2|크기 : %d x %d
ui_click_to_view_notes|클릭하여 메모보기
ui_retrieving_server_infos|서버에서 정보를 검색하는 중 (%d) ...
ui_connecting_to_server|서버에 연결하는 중 ...
ui_requesting_to_join_the_game|게임 참여 요청 중 ...
ui_loading|불러오는 중 ...
ui_group_value_control|%d 그룹!
ui_drop_weapon|드롭 무기
ui_multiplayer_message_all|모든 사람에게 메시지 보내기
ui_multiplayer_message_team|팀에게 메시지 보내기
ui_command_line|커맨드 라인
ui_use_ranged_weapon_as_melee|무기 모드 전환
ui_send_message_all|모든 사람에게 메시지 보내기
ui_send_message_team|팀에게 메시지 보내기
ui_select|고르다
ui_context_menu|상황에 맞는 메뉴
ui_round_starts_in_value_seconds|%d 초 후에 라운드가 시작됩니다 ...
ui_watching_value|팔로 잉 %s
ui_capital_spec|투기
ui_capital_dead|죽은
ui_instancing_error1|인스턴스 버퍼를 잠글 수 없습니다 (크기 : %d), 비활성화 된 메시 인스 턴싱 (오류 코드 : %d)
ui_instancing_error2|인스턴스화 된 객체에 맞지 않음, 비활성화 된 메시 인스 턴싱
ui_by_keyboard|이동 키로
ui_combat_speed_slowest|가장 느림
ui_combat_speed_slower|느리게
ui_combat_speed_normal|표준
ui_combat_speed_faster|더 빠른
ui_combat_speed_fastest|가장 빠른
ui_module_newer_than_application|선택한 모듈에는 최신 버전의 게임이 필요합니다.
ui_module_older_than_application|선택한 모듈에는 이전 버전의 게임이 필요합니다.
ui_unbalanced|불안정한
ui_can_crush_through_blocks|블록을 뚫을 수 있습니다
ui_turn_camera_with_horse|1 인칭 말로 카메라 돌리기 :
ui_widescreen_mode_on|다중 화면 모드 활성화
ui_widescreen_mode_off|다중 화면 모드 비활성화
ui_notification_cant_upgrade|(업그레이드 할 수 없음 : 돈이 충분하지 않습니다)
ui_turn_never|못
ui_turn_ranged_only|원거리
ui_turn_melee_only|근접 만
ui_turn_always|항상
ui_general_options|일반 옵션
ui_vac_enabled|밸브 안티 치트 활성화
ui_campaign_ai|캠페인 AI :
ui_downloading_map|지도 다운로드 중 (%d KB)
ui_download_completed|다운로드가 완료되었습니다.
ui_server_filter|서버 필터
ui_has_players|선수가있다
ui_is_not_full|가득 참
ui_is_password_free|비밀번호가 없습니다
ui_native_only|네이티브 만
ui_ping_limit|핑 제한
ui_filter_info|%d 게임 및 %d 플레이어 필터링
ui_is_version_compatible|버전과 호환
ui_ttnet_account|TTNET Oyun 계정
ui_username|사용자 이름
ui_password|암호
ui_error_incorrect_username_or_password|잘못된 사용자 이름 또는 비밀번호
ui_validating_account|계정 확인 중 ...
ui_plase_enter_your_serial_key|시리얼 키를 입력하십시오
ui_cut|절단
ui_pierce|꿰뚫는
ui_blunt|무딘
ui_use_melee_weapons_e_|%s 근접 무기를 사용하십시오!
ui_use_ranged_weapons_e_|%s 원거리 무기를 사용하십시오!
ui_order_button_use_melee_weapons|근접 무기 사용
ui_order_button_use_ranged_weapons|원거리 무기 사용
ui_order_button_weapon_usage_orders|무기 사용 주문
ui_fire_at_my_command_e_|%s 내 명령에 발사!
ui_fire_now_e_|%s 불!
ui_order_button_fire_at_my_command|내 명령에 불
ui_order_button_fire_now|불
ui_order_form_1_row|1 행
ui_order_form_2_row|2 행
ui_order_form_3_row|3 행
ui_order_form_4_row|양식 4 행
ui_order_form_5_row|양식 5 행
ui_form_1_row_e_|%s 1 행!
ui_form_2_row_e_|%s 양식 2 행!
ui_form_3_row_e_|%s 3 행!
ui_form_4_row_e_|%s 양식 4 행!
ui_form_5_row_e_|%s 5 행을 지어 라!
ui_order_7|주문 선택 7
ui_order_8|주문 선택 8
ui_all_fire_now_e_|%s 발리 발사!
ui_left_fire_now_e_|%s 왼쪽 옆구리 불!
ui_middle_fire_now_e_|%s 중간 그룹 발리 화재!
ui_right_fire_now_e_|%s 오른쪽 옆구리 화재!
ui_order_button_all_fire_now|모든 발리 화재
ui_order_button_left_fire_now|왼쪽 측면 발리 화재
ui_order_button_middle_fire_now|중간 그룹 발리 화재
ui_order_button_right_fire_now|오른쪽 측면 발리 화재
ui_crouch|웅크림
