qstr_Next_Page|다음 페이지
qstr__{s64}_orders_that_t|{s64}는 신사가 교체되지 않도록 명령합니다!
qstr__{s64}_successfully_|{s64}는 시민에게 신사를 지을 수 없다는 것을 성공적으로 전달합니다!
qstr__{s64}_orders_that_th|{s64}는 신사가 교체되지 않도록 명령합니다! 새벽 기사단은 평화롭게 철수합니다.
qstr__{s64}_takes_the_news|{s64}는 뉴스를 잘 받아들이지 만 시민들은 반란을 일으 킵니다.
qstr__{s64}_orders_that_the|{s64}는 신사가 교체되지 않도록 명령합니다. 지역 시민들이 화를 내고 있습니다.
qstr__{s64}_tries_to_calm|{s64}는 시민들을 진정 시키려고하지만 아무 소용이 없습니다. 그들 중 일부는 거리에서 폭동하여 경제적 격변을 일으켰습니다!
qstr__{s64}_tells_the_Kni|{s64}는 새벽 기사단에게 당신의 명령을 말하는데 전혀 기뻐하지 않습니다!
qstr_Astraea_Zealots!|아스트라에 아 열성!
qstr_Zealots!|열성 자!
qstr__{s64}_rejoices_at_y|{s64}는 당신의 결정에 기뻐하며 현지 농부들은 당신의 이름을 칭찬합니다.
qstr__{s64}_happily_order|{s64}는 작은 신사가 지은 것을 행복하게 주문합니다!
qstr__{s64}_orders_that_the_|{s64}는은 오미아 (Eunomia) 안정 염 신전을 세우라고 명령합니다!
qstr__The_Knights_of_the_|새벽 기사단이 기뻐합니다. 그들은 아스트라에 아에 성전을 지을뿐만 아니라 그 지역의 다른 작은 성전을 무너 뜨립니다!
qstr__The_shrine_is_built|신사는 지어졌지만 팔로워는 거의 없습니다.
qstr__{s64}_oversees_the_|{s64}는 신사를 감독하지만, 신전이 세워진 직후에는 습격 당하고 훼손됩니다. 사람들은 그것을 방문하는 것을 두려워합니다.
qstr__{s64}_tries_to_calm_|{s64}는 시민들을 진정 시키려고하지만 아무 소용이 없습니다. 그들 중 일부는 거리에서 폭동하여 경제적 격변을 일으켰습니다. !
qstr__{s64}_infoms_the_Kn|{s64}는 새벽 기사단을 알리고 신사를 짓기 시작합니다. 그들이 다른 신사를 파괴하려고 할 때 널리 저항이 있습니다!
qstr__Zealots_take_arms_a|열심은 당신에게 무기를 가져갑니다!
qstr__{s64}_succeeds_in_s|{s64}는 순례자를 보내는데 성공했습니다.
qstr__{s64}_is_unable_to_de|{s64}는 순례자를 다룰 수 없으며 일반 대중을 불행하게 만드는 어려운 감정이 있습니다.
qstr__{s64}_sends_for_the|{s64}는 빛의 십자가의 의사를 보내어 마디에게 누구를 대하든지 서둘러 온다. 현지인들은 당신의 행동에 만족합니다.
qstr__{s64}_is_unable_to_e|{s64}는 Radiant Cross Knights의 도움을받을 수 없으며 {s54}의 시민은 행복하지 않습니다.
qstr__{s64}_manages_to_fi|{s64}는 Malady로 누구를 치료하기 위해 모든 서두르는 치료사를 찾을 수 있습니다. 현지인들은 당신의 행동에 만족합니다.
qstr__{s64}_is_unable_to_en|{s64}는 어떤 치료 사나 {s54} 시민들이 행복하지 않은 도움을받을 수 없습니다.
qstr__{s64}_repents_and_m|{s64}는 회개하고 관리하여 약초 치료사와 Malady로 치료하는 다른 치료사를 찾습니다. 현지인들은 당신의 행동에 만족합니다.
qstr__{s64}_prays_for_rep|{s64}는 회개를 위해기도하며 궁극적으로 더 많은 사람들이 질병에 시달립니다. {s54}의 시민은 행복하지 않습니다.
qstr__{s64}_somehow_manages_t|{s64}는 Malady로 치료하는 약초 학자와 다른 치료사를 어떻게 든 찾아냅니다.
qstr__{s64}_has_no_idea_w|{s64}는 무엇을해야할지 몰랐으며 궁극적으로 더 많은 사람들이 질병에 시달리고 있습니다. {s54}의 시민은 행복하지 않습니다.
qstr_Mettenheim_Plunderer|메텐 하임 플 런더
qstr_Veccavi_Hunters|베카 비 헌터
qstr_Jatu_Mercenary_Raide|Jatu 용병 해적
qstr_Mercenary_War_Band|용병 전쟁 대
qstr_Barclay_Mercenary_Ad|바클레이 용병 모험가
qstr_Melitine_Mercenary_A|멜리 틴 용병 모험가
qstr_Singalian_Mercenary_|싱 갈리 안 용병 노예
qstr__{s64}_informs_the_M|{s64}는 용병 회사에 따라 움직일 것을 지시합니다.
qstr__{s64}_informs_the_Me|{s64}는 용병 회사에 즉시 떠날 것을 알립니다.
qstr__Your_generosity_att|당신의 관대함은 당신의 대의에 추가 용병을 끌어들입니다.
qstr_{s14}|{s14}
qstr__The_{s20}_is_offend|{s20}이 (가) 불쾌합니다!
qstr__The_Mercenary_compa|용병 회사는 {s54}에서 당신의 군대에 합류합니다.
qstr__{s64}_found_the_thi|{s64}는 도둑을 발견했으며, 가장 확실하게 진정한 필요를 훔치지 않았습니다. 시민들은 당신이 범죄에 부드럽다 고 생각합니다.
qstr__{s64}_fails_to_find_t|{s64}가 범인을 찾지 못했습니다. 시민들은 도둑을 찾지 못한 것에 대해 중얼 거렸다.
qstr__{s64}_improves_the_|{s64}는 순찰을 향상 시키며 시민들은 이러한 성격의 추가 사건없이 더 안전하다고 느낍니다.
qstr__{s64}_manages_to_se|{s64}는 많은 집을 수색하고 도둑을 찾습니다. 간단하지만 공정한 재판이있었습니다. 시민들이 안심입니다.
qstr__{s64}_fails_to_find_th|{s64}가 범인을 찾지 못하고 검색에서 많은 시민을 화나게합니다.
qstr__{s64}_puts_out_the_|{s64}가 보상을 내고 도둑을 찾아서 즉시 처형합니다. 시민들은 감사합니다.
qstr__Even_with_the_200_d|200 데 나르 보상으로도 도둑을 찾을 수 없습니다. {s64}가 범인을 찾지 못했습니다. 시민들은 도둑을 찾지 못한 것에 대해 중얼 거렸다.
qstr__{s64}_is_able_to_en|{s64}는 {reg3} 디나르의 도움으로 수리를 시행 할 수 있습니다.
qstr__{s64}_obtains_the_s|{s64}는 건축 벽이 넘어 질 때 죽을 수있는 두 명의 공학 학생의 서비스를 얻습니다.
qstr__{s64}_is_somehow_ab|{s64}는 어떻게 든 자신의 엔지니어링 기술을 사용하여 수리를 시행 할 수 있습니다.
qstr__{s64}_understands_y|{s64}는 귀하의 위치를 이해하고 수리는 수행되지 않습니다.
qstr__{s64}_spreads_the_d|{s64}는 디나르를 부대로 퍼 뜨리고 사막은 없습니다.
qstr__{s64}_somehow_manages_to|{s64}는 어떻게 든 혀를 묶어 군대에 당신의 메시지를 왜곡시킵니다. 이것은 불행한 결과를 초래합니다.
qstr__{s64}_spreads_the_w|{s64}는 단어를 전파하고 모든 사막 사람들은 그 지역을 피합니다. 좋은 소식은 하나의 디나르를 지불 할 필요가 없다는 것입니다!
qstr__{s64}_passes_along_|{s64}는 정보를 전달하고 운명은 나머지를 처리합니다.
qstr__{s64}_informs_you_t|{s64}는 Deserter가 게이트 밖에 있음을 알려줍니다!
qstr_Brigand_Deserters!|브리 건 데저트!
qstr__{s64}_somehow_manages_to_|{s64}는 무역 대표단에게 2000 디나르와 헤어 지도록 설득합니다. 무역 경로가 설정되었고 번영에 대한 상당한 보너스가 달성되었습니다.
qstr__{s64}_reports_that_t|{s64}는 무역 파견이 귀하의 제안을 비웃고 즉시 떠났다고보고합니다.
qstr__{s64}_sets_up_the_n|{s64}는 필요한 양식과 연락처를 설정하고 거래 경로를 설정하여 {s54}의 번영에 상당한 보너스를 제공합니다.
qstr__Somehow_{s64}_has_m|어쨌든 {s64}는 무역 대표단을 모욕했고 그들은 허풍에 빠졌습니다. 거래 경로가 설정되지 않았습니다.
qstr__The_trade_delegatio|무역 대표단은 즉시 떠납니다.
qstr_Obliterated|말살
qstr_Destroyed|파괴됨
qstr_Crushed|밀어 넣는
qstr_Fading|페이딩
qstr_Weakened|약해진
qstr_Healthy|건강한
qstr_Strong|강한
qstr_Overwhelming|압도적
qstr_Invincible|무적
qstr_Nothing_as_there_is_|기사단 명령이없는 것은 없습니다.
qstr_{s8}_from_{s7}.|{s7}의 {s8}
qstr_{s6}_from_{s8}.|{s8}의 {s6}
qstr__I_promise_that_your|나는 당신의 패배가 영광 스러울 것이라고 약속합니다!
qstr__Then_let_us_test_ou|그런 다음 전투 능력을 테스트 해 봅시다!
qstr__To_Arms!|팔에!
qstr___Very_well:_Let_us_|아주 잘 : 우리가 전투를하자!
qstr__You_don_t_look_all_|당신은 나에게 그렇게 힘든 것처럼 보이지 않습니다!
qstr__If_we_must_let_us_d|우리가해야한다면, 영광스럽게 죽자!
qstr__You_will_join_your_|조상들과 함께하게 될 것입니다!
qstr__You_don_t_look_part|당신은 나에게 특히 강해 보이지 않습니다.
qstr__Better_to_die_in_ba|너처럼 구더기처럼 사는 것보다 전투에서 죽는 것이 낫다.
qstr__I_ve_seen_more_frig|매음굴에서 당신보다 더 무서운 광경을 보았습니다.
qstr__If_I_were_afraid_of|내가 당신의 좋아하는 것을 두려워한다면, 나는 혐오에 내 칼에 떨어질 것입니다.
qstr__Make_peace_with_you|당신이 할 수있는 동안 당신의 신들과 평화를 이루십시오.
qstr__Do_you_really_think|당신은 정말 당신이 그렇게 무서운 생각하십니까? 하!
qstr__I_hope_Hell_has_eno|지옥이 당신과 당신의 모든 조상들을위한 충분한 공간을 갖기를 바랍니다.
qstr__If_you_think_you_ca|이 싸움에서 이길 수 있다고 생각하면 떨림에 몇 개의 화살이 없습니다.
qstr__You_intend_to_fight|당신은 저와 싸울 생각입니까? 술에 취했거나 그냥 멍청한 사람은 누구입니까?
qstr__You!__Stand_aside_m|당신! 징계를 제쳐두고 더 나은 존경을 나타내십시오!
qstr__I_challenge_you_war|나는 당신에게 전사를 도전! 무기의 위업으로 당신의 명예를 증명하거나 죽어라!
qstr__Hail_and_well_met!_|우박과 만났다! 다음 여행으로의 긴 여정을 준비하십시오!
qstr__Ah_good!__Just_in_t|아 좋다! 내 강철을 시험 할 시간이야!
qstr__Have_at_thee_knave!|너를 잡아라.
qstr__It_s_been_a_boring_|지루한 날이어서 당신과의 싸움이 내 지루함을 덜어 줄 것이라고 생각합니다.
qstr__Challenge_me_will_y|도전 해 보겠 니? 간을 먹기 전에 리본으로 바보를 잘라 줄게
qstr__You_look_a_bit_lost|당신은 조금 잃어버린 것 같습니다. 메이커를 찾는 데 약간의 도움이 필요하십니까? 얘들 아!
qstr__More_Blood!|더 많은 피!
qstr_no_tidbits_of_value|가치가 없다
qstr_no_information_of_in|관심없는 정보
qstr_no_interesting_news|재미있는 소식이 없습니다
qstr_no_new_rumors_to_rep|보고 할 새로운 소문이 없다
qstr_no_new_information|새로운 정보가 없습니다
qstr_very_little_worth_re|반복 할 가치가 거의 없다
qstr_nothing_but_worthles|무가치 한 가십과 어부 이야기
qstr_nothing_but_innuendo|아무것도 아니고 가치없는 자랑
qstr_no_news_worth_repeat|반복 할만한 뉴스가 없다
qstr__My_{reg63?Captain:L|내 {reg63? Captain : Lady},
qstr__Business_has_been_b|사업은 활발하고
qstr__Well_in_truth_{play|사실 {playername} 님,
qstr__Hmmm_{playername}._|흠, {playername}. 내 소식통이 마르고
qstr__My_good_{playername|나의 좋은 {playername}, 나는 매우 바빴고
qstr__I_am_sorry_{playern|죄송합니다, {playername}
qstr_._Try_next_week.|. 다음 주에 시도하십시오.
qstr_._Perhaps_you_should|. 아마도 다른 사람에게 물어봐야 할 것입니다.
qstr_._You_might_have_bet|. 당신은 다른 곳에서 더 나은 행운을 가질 수 있습니다.
qstr_._Ask_me_later_say_i|. 약 1 주일 후에 나중에 물어보십시오.
qstr_._I_am_sure_there_ar|. 나는 당신이 찾고있는 정보를 가지고있는 다른 사람들이 있다고 확신합니다.
qstr_._Perhaps_later_I_wi|. 나중에 나는 관심있는 것을들을 것이다.
qstr_._Come_back_another_|. 다시 오세요
qstr_.|.
qstr__{s2}_I_have_heard_{|{s2} {s5} {s6}을 들었습니다
qstr__{s2}_there_have_bee|{s2}이 (가) {s5} {s6}
qstr__{s2}_I_have_to_say_|{s2} {s5}가 있다고 말해야합니다. {s6}
qstr__{s2}_few_people_hav|{s2} 소수의 사람들이 말하고 있으며 {s5} {s6}
qstr__{s2}_I_have_been_il|{s2} 아파서 {s5} {s6}을 들었습니다
qstr__{s2}_I_have_been_bu|{s2}이 배송으로 바빠서 {s5}가 있습니다 {s6}
qstr__{s2}_I_haven_t_had_|{s2} 아직 그런 말을 듣지 못했습니다. 불행히도 나는 당신을 위해 {s5}를 가지고 있습니다 {s6}
qstr__{s2}_I_have_been_bus|{s2} 견습생으로 바빠서 {s5} 님에게 알려주세요 {s6}
qstr__Ah!_It_is_unfortuna|아! 불행히도 내 {reg63? Lord : Lady}
qstr__More_is_the_pity_go|동정은 좋은 {reg63? sir : madame}입니다.
qstr__I_have_been_idle_to|나는 너무 오랫동안 유휴 상태였습니다.
qstr__I_have_been_busy_wi|나는 늦게 개인적인 일로 바빴으며
qstr__My_ears_and_eyes_ha|내 귀와 눈은 열려 있지만
qstr__I_am_sorry|미안 해요,
qstr_no_information_of_va|가치가없는 정보
qstr_very_little_interest|아주 재미있는 뉴스
qstr_no_valuable_news|중요한 소식은 없다
qstr_only_worthless_whisp|쓸모없는 속삭임
qstr_nothing_but_the_chan|날씨와 취한 노래의 변화 만
qstr_only_unconfirmed_whi|가치가없는 확인되지 않은 속삭임 만
qstr_only_unsubstantiated|근거없는 험담 만
qstr_._I_am_sorry_my_frie|. 나는 친구에게 미안하다. 나는 그 땅의 일에 사로 잡히지 않을 때가있다.
qstr_._These_things_happe|. 이런 일이 발생합니다. 하루나 이틀 안에 나는 당신을 위해 더 소름 끼치는 가십을 가질 것입니다.
qstr_._That_will_change_h|. 그러나 항상 그렇듯이 변경됩니다. 그런 다음 큰 가치가있는 것을들을 것입니다.
qstr_.__If_you_are_in_a_h|. 급한 경우 상인이나 청지기에게 말하십시오. 때로는 정보가 부족합니다.
qstr_._Never_fear_my_ear_|. 걱정하지 마라. 내 귀는 땅에 있으며 곧 무언가를들을 수밖에 없다. 결국 그것은 내 직업이다!
qstr_._Let_me_snoop_about|. 스누핑하고 몇 가지 질문을하겠습니다. 하루나 이틀 후에 돌아와서 더 알아야합니다.
qstr_._Perhaps_you_should_|. 아마도 내일 다시 오셔야 할 것 같습니다. 여기에 몇 잔의 음료, 연인의 속삭임, 정보가 물처럼 흐릅니다.
qstr__{s2}_I_have_to_admi|{s2} {s5}가 있음을 인정해야합니다. {s6}
qstr__{s2}_so_few_people_|{s2}는 험담 한 사람이 거의 없습니다. {s5} {s6}을 들었습니다
qstr__{s2}_I_have_encount|{s2} 늦게 만난 사람이 많으므로 {s5} {s6}
qstr__{s2}_I_have_been_en|{s2} 나는 비밀 임무를 수행하고 있으므로 {s5} {s6}
qstr__{s2}_I_wish_I_had_b|{s2} 나는 당신에게 더 좋은 소식이 있었으면 좋겠지 만, 운명은 그랬듯이 {s5}가 있습니다 {s6}
qstr__{s2}_I_have_been_oc|{s2} 나는 돈을 지불하는 사업에 종사해 왔기 때문에 {s5}에게 당신에게 말할 것입니다 {s6}
qstr__Ah!_It_is_an_unluck|아! 불행한 이벤트 전환입니다. {reg63? Sir : Lady}는 다음과 같습니다.
qstr__Sad_tales_good_{reg|슬픈 이야기, 좋은 {reg63? sir : madame}
qstr__I_have_been_too_bus|나는 육체 거래에 너무 바빠서
qstr__My_ears_are_open_bu|내 귀는 열려 있지만
qstr_so_little_coherent_i|가치가 거의없는 일관된 정보
qstr_no_gossip_of_interes|관심없는 가십
qstr_very_little_interesti|공유 할 아주 흥미로운 뉴스
qstr_only_worthless_slave|쓸모없는 노예 이야기
qstr_nothing_but_the_crie|여성의 울부 짖음과 벤치 노예의 신음
qstr_only_the_wild_tales_|속삭이는 곧 야생 이야기 만
qstr_only_minor_gossip_an|사소한 가십과 끝없는 전쟁 이야기
qstr_._I_am_sorry_my_prof|. 유감스럽게도, 내 직업은 의지의 노예를 노예로 만들고 그들의 비애에 대한 이야기를 듣지 않는 것입니다.
qstr_._Information_like_w|. 당신이 찾는 것과 같은 정보는 매주 나에게 온다. 다시 확인하십시오.
qstr_._Pity_too_as_I_coul|. 나는 육즙이 많은 가십을 사용하여 내 영혼을 들어 올릴 수 있기 때문에 동정심도 있습니다.
qstr_._If_you_are_in_a_hu|. 급한 경우에는 선술집의 다른 후원자와 심지어 상인에게도 이야기하십시오.
qstr_._If_you_want_to_kno|. 실제 육즙이 많은 이야기를 알고 싶다면 선술집에서 방황하는 스파이들을 찾아보십시오. 그들은 한두 가지를 알고 있습니다.
qstr_._Those_guild_rats_n|. 길드-랫은 아무 말도하지 않습니다. 육체를 사서 동전을 지불하고 갤리 직원에게 맡기십시오!
qstr_._Hell_I_am_bound_to|. 지옥, 나는이 다음 주 동안 어느 시점에서 가치가있는 것을들을 수밖에 없다. 나는 항상한다.
qstr_._Perhaps_you_should_c|. 아마도 다음 주에 다시 와야 할 것입니다. 나는 곧 배달을 기대하고 있으며 그 소스는 항상 좋은 원사를 회전시킵니다.
qstr__{s2}_I_must_tell_yo|{s2} {s5} {s6}의 소리를 들었습니다
qstr__{s2}_so_few_people_h|{s2}는 소수의 사람들이 기꺼이 말하고 있습니다. {s5} {s6}을 들었습니다
qstr__{s2}_I_have_encounte|{s2} 늦게 만 노예를 만났으므로 {s5} {s6}
qstr__{s2}_I_have_been_sp|{s2} 길드 마스터와 대화를 나 have습니다. {s5}
qstr__{s2}_I_wish_that_my|{s2} 내 소식이 더 좋기를 바랍니다. 운명에 따라 {s5} {s6}
qstr__{s2}_I_have_been_ov|{s2} 탈출 한 노예로 세금이 과도하게 부과되었으므로 {s5}에게 알려줄 것입니다 {s6}
qstr_no_news|무소식
qstr_only_worthless_infor|쓸모없는 정보 만
qstr_nothing_but_soldiers|군인의 이야기와 요리사의 험담 만
qstr_unsubstantiated_goss|근거없는 험담
qstr__My_{reg63?Lord:Lady|내 {reg63? Lord : Lady},
qstr__Castle_business_is_|성 사업은 과세
qstr__Of_course_good_{reg|물론 좋은 {reg63? Lord : Lady},
qstr__My_sources_are_mute|내 소스가 음소거되었습니다.
qstr_._I_am_sorry_{reg63?|. {reg63? Lord : Lady} 님, 죄송합니다. 앞으로 더 잘 들으려고 노력할 것입니다.
qstr_._Perhaps_you_should_a|. 아마도 다른 사람에게 물어보십시오. 아마 스파이?
qstr_._Have_you_tried_see|. 선술집에서 정보를 찾아 보셨습니까?
qstr_._Have_you_thought_o|. 상인에게 물어 보는 것에 대해 생각해 보았는데, 그들은 많은 종류의 여행자와 접촉하고 있으며 많은 소문과 뉴스 가치있는 소문을 듣습니다.
qstr_._I_am_sure_that_the|. 나는 당신이 찾는 정보를 가지고있는 다른 사람들이 있다고 확신합니다.
qstr_._I_am_not_a_rumor_m|. 저는 {reg63? Lord : Lady} 소문이 아니므로 가십을 찾는 경향이 없습니다.
qstr_._Perhaps_you_should_co|. 아마도 당신은 다른 시간에 다시 와야 할 것입니다. 이 홀에서 어떤 소리를들을 지 아무도 모릅니다.
qstr__{s2}_few_people_have|{s2} 험담 한 사람이 거의 없습니다. {s5} {s6}을 들었습니다
qstr__{s2}_I_have_been_busy|{s2} 저는 성에서 바빠서 {s5} {s6}을 들었습니다.
qstr__{s2}_I_have_not_had|{s2} 유휴 가십을들을 시간이 없었으므로 {s5}가 있습니다 {s6}
qstr__{s2}_I_wish_I_had_be|{s2} 더 좋은 소식이 있었으면 좋겠지 만 불행히도 {s5}가 있습니다 {s6}
qstr__{s2}_I_have_been_busy_|{s2} 페이지, 쿡 및 체임버로 바빴으므로 {s5} 님에게 알려줄 것입니다 {s6}
qstr__a_little_something|약간의
qstr__a_rumor|소문
qstr__an_interesting_tale|재미있는 이야기
qstr__something_of_intere|관심있는 것
qstr__some_dark_whispers|어두운 속삭임
qstr__a_piece_of_informat|정보
qstr__a_newsworthy_story|유쾌한 이야기
qstr__some_troubling_news|문제가되는 뉴스
qstr__some_worthwhile_inf|가치있는 정보
qstr__a_story|이야기
qstr__Ah_yes!__I_do_know{|아 예! 나는 당신에게 관심이있는 것을 알고 있습니다 {s9}.
qstr__I_m_glad_you_asked_|{reg63? Lord : Lady} {playername}에게 문의 해 주셔서 감사합니다.
qstr__As_a_matter_of_fact|실제로 {s9}은 (는) 저를 지났습니다.
qstr__Funny_you_should_as|재밌게 물어봐
qstr__Hmm.._yes!__I_did_h|흠 .. 네! 최근에 들었습니다 {s9}.
qstr__Ha!__Yes_I_did_run_|하아! 예, 가치가있는 {s9}을 (를) 가로 질러갔습니다.
qstr__Well_yes_I_have_bee|예, 들었습니다. {s9}.
qstr__{s2}_I_have_been_so|{s2}이 배송 물로 너무 바빠서 거의 잊어 버렸습니다!
qstr__{s2}_Almost_slipped|{s2} 거의 내 마음을 미끄러 뜨렸다!
qstr__{s2}_Terrible_it_is|{s2} 끔찍합니다. 끔찍합니다. 밤에 잠을 잃게 만듭니다!
qstr__{s2}_A_sad_state_of|{s2} 슬픈 일도 마찬가지입니다.
qstr__{s2}_Gives_me_the_c|{s2} 나에게 오한을 줘! 내 척추 바로!
qstr__{s2}_Nasty_bit_of_b|{s2} 불쾌한 일입니다.
qstr__{s2}_Makes_me_wonde|{s2} 우리 땅이 무엇을 알게 될지 궁금합니다.
qstr__{s2}_It_makes_me_gl|{s2}이 벽 뒤에서 내가 안전하다는 것을 알게되어 기쁩니다.
qstr__{s2}_May_the_fates_|{s2} 내 {reg63? Lord : Lady}, 운명이 우리를 보호하기를 바랍니다.
qstr__Ah!_Well_met.|아! 잘 만났다.
qstr__Well_met_Captain.|반갑습니다
qstr__Ah!_I_am_glad_you_a|아! 물어봐서 다행입니다.
qstr__Well_my_{reg63?Lord|글쎄, 내 {reg63? Lord : Lady}, 나는 당신에게 행운의 미소를 믿습니다.
qstr__Please_keep_your_vo|친구, 목소리를 낮추십시오.
qstr__Please_sit_down_wit|나와 함께 앉으세요, 좋은 {reg63? Lord : lady}.
qstr__My_{reg63?lord:Lady|내 {reg63? lord : Lady} 님, 목소리를 낮추십시오. 정보는 힘이 있고 귀는 어디에나 있습니다.
qstr__Well_met_my_{reg63?|내 {reg63? lord : Lady} {playername} 님을 만났습니다.
qstr__{reg63?Lord:Lady}_{|{reg63? Lord : Lady} {playername}, 당신은 적시에 왔어요.
qstr__Ah_yes.__You_have_c|아 예. 당신은 올바른 사람에게 왔습니다.
qstr__{s10}__I_have{s9}_f|당신을 위해 {s10} 있습니다.
qstr__{s10}__I_was_told{s|{s10} 나는 개인적인 신뢰의 문제로 들었습니다 {s9}.
qstr__{s10}__I_trust_you_|{s10} 나는 당신이 우리 사이에 이것을 유지할 것이라고 믿습니다. 나는 확신을 가지고 {s9} 받았다.
qstr__{s10}_I_do_indeed_h|{s10} 당신을 위해 정말로 있습니다 {s9}.
qstr__{s10}__I_was_privy_|{s10} 나는 대단했다 {s9}.
qstr__{s10}__I_did_run_ac|{s10} 나는 당신이 가치를 찾을 수있는 것을 발견했습니다 {s9}.
qstr__{s10}__Well{s9}_was|{s10} 글쎄, {s9}는 나에게 전달되었습니다.
qstr__{s2}_It_is_a_good_t|{s2} 귀를 기울여 그런 것들을 지켜 보는 것이 좋은 일입니다!
qstr__{s2}_Very_interesti|{s2} 매우 흥미로운 소식입니다.
qstr__{s2}_I_hope_you_use|{s2}이 정보를 잘 활용하시기 바랍니다.
qstr__{s2}_Important_info|{s2} 와인과 같은 중요한 정보가 자유롭게 흐르지 않습니다.
qstr__{s2}_Come_sit_down_|{s2} 와서 앉아 자세한 내용을 알려 드리겠습니다.
qstr__{s2}_It_never_cease|{s2} 사람들이 알고 공유하고자하는 것을 놀라게하는 것이 결코 끝나지 않습니다.
qstr__{s2}_I_know_you_wil|{s2} 나는 이것이 당신이 적어도 약간 유용하다는 것을 알고 있습니다.
qstr__{s2}_Perhaps_I_will|{s2} 여행이 더 위험 해지면서 여기에 조금 더 머무를 것입니다.
qstr__{s2}_Please_use_wha|{s2} 말씀 드리고 싶은 것을 사용하십시오.
qstr__a_little_morsel|작은 홍합
qstr__a_nasty_little_rumo|불쾌한 소문
qstr__an_interesting_yarn|재미있는 원사
qstr__a_tidbit_of_interes|관심의 대상
qstr__a_whisper_of_inform|정보의 속삭임
qstr__a_second_hand_story|간접적 인 이야기
qstr__some_secret_gossip|비밀스러운 가십
qstr__Ah!_Hello_Captain.|아! 안녕하세요 캡틴
qstr__Aye.._that_I_have.|알았어
qstr__You_are_in_luck.|운이 좋았습니다.
qstr__Yes_my_{reg63?Lord:|예, {reg63? Lord : Lady}입니다.
qstr__Please_keep_your_voi|친구, 당신의 목소리를 속삭이십시오.
qstr__Aye_I_have_an_ear_a|예, 말할 귀와 이야기가 있습니다.
qstr__My_{reg63?lord:Lady}|내 {reg63? lord : Lady}, 두 사람의 삶을 모두 소중히 여기는 경우 목소리를 속삭이십시오.
qstr__Well_met_my_{reg63?l|내 {reg63? lord : Lady} {playername} 님을 만났습니다. 형제단이 내가 정보를 팔고 있다는 것을 알게되면 우리 둘 다 위험에 처하게됩니다.
qstr__{reg63?Lord:Lady}_{p|{reg63? Lord : Lady} {playername} 운이 좋았습니다.
qstr__Preserve_me_from_sh|족쇄에서 나를 보존하고 축복하십시오. 나는 당신이 원하는 것을 가지고 있습니다.
qstr__{s10}__I_was_told{s9|{s10} 나는 들었다 {s9}. 이것을 우리 사이의 개인적인 신뢰의 문제로 취급하십시오.
qstr__{s10}__Yes_this_mus|{s10} 예, 이것은 우리 사이에 유지되어야합니다. 나는 {s9}를 만났다.
qstr__{s10}__I_was_fortun|{s10} 나는 운이 좋았다 {s9}.
qstr__{s10}__I_was_in_the|{s10} 저는 제 때에 적절한 장소에있었습니다 {s9}.
qstr__{s10}__I_did_come_a|{s10} 나는 당신이 가치를 찾을 수있는 것을 발견했습니다 {s9}.
qstr__{s10}__Well{s9}_was_|{s10} 글쎄, {s9}는 나에게 들었다.
qstr__{s2}_I_meet_all_sor|{s2} 나는 모든 업무 라인에서 모든 종류의 사람들을 만나며 대부분 비밀을 족쇄에 빠뜨리지 않으면 비밀을 쏟고 싶어합니다.
qstr__{s2}_I_hope_that_th|{s2}이 정보가 귀하에게 가치가 있기를 바랍니다.
qstr__{s2}_This_is_someth|{s2} 이것은 내 동료들이 듣고 싶어하는 것입니다.
qstr__{s2}_I_am_glad_that|{s2} 나는 당신이 누구와 대화하는지에 대해 기쁘다.
qstr__{s2}_I_put_myself_i|{s2} 나는 당신에게 말함으로써 위험에 처했지만 동전이 필요합니다.
qstr__{s2}_Let_us_keep_th|{s2}이 토론을 우리 자신에게 맡기겠습니다.
qstr__{s2}_By_the_way_be_|{s2} 그런데 조심하세요. 형제단은 당신의 활동에 대해 몇 가지 질문을했습니다.
qstr__{s2}_I_must_make_a_|{s2}이 정보를 Brotherhood에게도보고해야하지만 먼저 들으십시오.
qstr__{s2}_Please_tell_no|{s2} 아무에게도 말하지 마십시오. 형제애는 우리에게 동전을 만들어 찌푸리게합니다.
qstr__a_little_rumor|약간의 소문
qstr__a_tale|꼬리
qstr__a_sliver_of_informa|정보의 은색
qstr__some_gossip|가십
qstr__Ah!_Well_met_{reg63|아! {reg63? Lord : Lady} {playername}을 (를) 충족했습니다.
qstr__Yes_indeed_I_have_h|네, 실제로 뭔가를 들었습니다.
qstr__Greetings_my_{reg63|안녕하세요, {reg63? Lord : Lady} 님.
qstr__Yes_my_{reg63?Lord:L|예, 내 {reg63? Lord : Lady}, 당신을 위해 무언가가 있습니다.
qstr__Favor_smiles_upon_y|내 {reg63? Lord : Lady}, 당신에게 호의를 베 풀었습니다.
qstr__Aye_my_{reg63?Lord:|Aye, 내 {reg63? Lord : Lady}, 내가들은 것이 있습니다.
qstr__My_{reg63?lord:Lady}_|내 {reg63? lord : Lady}, 나는 당신에게 가치있는 것을 가지고 있습니다.
qstr__Well_met_my_{reg63?lo|내 {reg63? lord : Lady} {playername} 님, 만나 셨습니다. 운이 좋았습니다.
qstr__{reg63?Lord:Lady}_{pl|{reg63? Lord : Lady} {playername}, 운명은 당신에게 미소를 짓습니다.
